OBJECTID_1,,GPA_ID,,GPA_NAME,,GPA_NAME_E,,Contae,,County,,GUID,,Shape__Area,,Shape__Length,
24,,79020,,Ciarraí Thiar,,West Kerry,,Contae Chiarraí,Ciarraí Munster Ireland http://sws.geonames.org/2963517/,Kerry,Ciarraí Munster Ireland http://sws.geonames.org/2963517/,24D3D467-7219-431F-B2E0-4A240AB499B1,,0.045646499402881,,3.43868923148676,
26,,169020,,Ráth Chairn agus Baile Ghib,,Rathcarran and Gibstown,,Contae na Mí,An Mhí Leinster Ireland http://sws.geonames.org/2962661/,Meath,An Mhí Leinster Ireland http://sws.geonames.org/2962661/,038DBFE3-CD0F-4514-86EF-35713937F261,,0.005976295276892,,0.758233977564941,
16,,49021,,Múscraí,,Muskerry,,Contae Chorcaí,,Cork,County Cork Munster Ireland http://sws.geonames.org/2965139/,A47C61C7-7F53-4E1E-930D-84DA352F1807,,0.033409379584242,,1.40472671512563,
5,,59025,,An Ghaeltacht Láir,,Mid Region Gaeltacht,,Contae Dhún na nGall,County Donegal Ulster Ireland http://sws.geonames.org/2964751/,Donegal,County Donegal Ulster Ireland http://sws.geonames.org/2964751/,864B7AC0-1B5E-4E27-AA20-EF415D4603F8,,0.058108174244142,,1.84171517946811,
7,,69027,,Bearna agus Cnoc na Cathrach,,Barna and Knocknacarragh,,Contae na Gaillimhe,,Galway,Galway Airport Ireland Ireland http://sws.geonames.org/6452625/,45DA65E0-4EA7-4C4A-A615-CBB4EC93A2AA,,0.003676555893499,,0.417953881812754,
3,,59022,,"Cloich Chionnaola, Gort an Choirce, An Fál Carrach agus Machaire Rabhartaigh",,"Clochaneely, Gortahork, Falcarragh and Magheraroarty",,Contae Dhún na nGall,County Donegal Ulster Ireland http://sws.geonames.org/2964751/,Donegal,County Donegal Ulster Ireland http://sws.geonames.org/2964751/,9AC3D136-E843-467B-AC39-B3DB50828265,,0.022920736831967,,1.55126780525191,
18,,159020,,Maigh Eo Thuaidh,,North Mayo,,Contae Mhaigh Eo,Maigh Eo Connaught Ireland http://sws.geonames.org/2962666/,Mayo,Maigh Eo Connaught Ireland http://sws.geonames.org/2962666/,610B2D7E-2A4A-48A9-A108-D46E11E7A67D,,0.080508788551431,,6.3616127899022,
23,,59020,,Tuaisceart Dhún na nGall,,North Donegal,,Contae Dhún na nGall,County Donegal Ulster Ireland http://sws.geonames.org/2964751/,Donegal,County Donegal Ulster Ireland http://sws.geonames.org/2964751/,A84CBD4F-A1FE-4558-A501-40440114CB12,,0.026448567117853,,3.81661008686375,
9,,69022,,An Cheathrú Rua,,Carraroe,,Contae na Gaillimhe,,Galway,Galway Airport Ireland Ireland http://sws.geonames.org/6452625/,0565A2D4-A23C-449E-B88F-F075985FBFE6,,0.004665564138118,,1.02768311451153,
21,,69021,,Ceantar na nOileán,,The Islands Region,,Contae na Gaillimhe,,Galway,Galway Airport Ireland Ireland http://sws.geonames.org/6452625/,6AE7ECAC-7E6E-4E13-B43F-D379C2464701,,0.006268719291862,,2.37592078939385,
