OBJECTID_1,,OBJECTID,,GPA_ID,,GPA_NAME,,GPA_NAME_E,,Contae,,County,,GUID,,Shape__Area,,Shape__Length,
24,,24,,79020,,Ciarraí Thiar,,West Kerry,,Contae Chiarraí,http://sws.geonames.org/2963517/,Kerry,http://sws.geonames.org/2963517/,24D3D467-7219-431F-B2E0-4A240AB499B1,,0.045631605881901,,2.55180255892993,
20,,20,,69020,,Oileáin Árann,,The Aran Islands,,Contae na Gaillimhe,,Galway,http://sws.geonames.org/6452625/,540FC21C-0869-4361-BD15-8D2291F9CB3E,,0.006366223827798,,1.00285134464017,
22,,22,,59027,,Toraigh,,Tory,,Contae Dhún na nGall,http://sws.geonames.org/2964751/,Donegal,http://sws.geonames.org/2964751/,321A5FB1-E729-4DEA-B313-132FDC386918,,0.000471319674053,,0.200988221527586,
25,,25,,159021,,Maigh Eo Thiar,,West Mayo,,Contae Mhaigh Eo,http://sws.geonames.org/2962666/,Mayo,http://sws.geonames.org/2962666/,D915A13E-4215-4BB1-886D-77557D425F1B,,0.020757869421027,,1.91286364004888,
4,,4,,69029,,An tEachréidh,,An tEachréidh,,Contae na Gaillimhe,,Galway,http://sws.geonames.org/6452625/,4106B1F2-D45C-4D0D-873B-DC6342ACD9D4,,0.015618982204838,,0.921110626838588,
1,,1,,59021,,"Gaoth Dobhair, Rann na Feirste, Anagaire agus Loch an Iúir",,"Gweedore, Rannafast, Annagary and Loughanure",,Contae Dhún na nGall,http://sws.geonames.org/2964751/,Donegal,http://sws.geonames.org/2964751/,23758E72-1C05-4726-BA8F-475ABD6380A2,,0.036969885261802,,2.07452409443176,
16,,16,,49021,,Múscraí,,Muskerry,,Contae Chorcaí,,Cork,http://sws.geonames.org/2965139/,A47C61C7-7F53-4E1E-930D-84DA352F1807,,0.033410776740525,,1.36689650764317,
26,,26,,169020,,Ráth Chairn agus Baile Ghib,,Rathcarran and Gibstown,,Contae na Mí,http://sws.geonames.org/2962661/,Meath,http://sws.geonames.org/2962661/,038DBFE3-CD0F-4514-86EF-35713937F261,,0.005977582371895,,0.742760440432198,
21,,21,,69021,,Ceantar na nOileán,,The Islands Region,,Contae na Gaillimhe,,Galway,http://sws.geonames.org/6452625/,6AE7ECAC-7E6E-4E13-B43F-D379C2464701,,0.006253701898936,,1.5803991163392,
15,,15,,69026,,Maigh Cuilinn,,Moycullen,,Contae na Gaillimhe,,Galway,http://sws.geonames.org/6452625/,A4741732-6C2D-4A14-B84C-A2AB55278420,,0.013091687303448,,0.990783644332567,
