OBJECTID_1,,TD_ID,,TD_ENGLISH,,TD_GAEILGE,,COUNTY,,CONTAE,,PROVINCE,,CENTROID_X,,CENTROID_Y,,GUID,,Shape__Area,,Shape__Length,
48878,,180480,,COOLE,,Cúil an Chnapaire [TRC: Cruachán],,OFFALY,http://sws.geonames.org/2962187/,Uíbh Fhailí,http://sws.geonames.org/2962187/,Leinster,http://sws.geonames.org/2962979/,649599,,731021,,C691EFFD-750F-4448-A8D7-B400C99D8044,,0.000437991701208,,0.107411691000897,
8564,,220369,,BOOLABRIEN LOWER,,Buaile Bhriain Íochtarach,,WATERFORD,http://sws.geonames.org/2960991/,Port Láirge,http://sws.geonames.org/2960991/,Munster,http://sws.geonames.org/2962350/,619364,,615186,,FF35B9A5-B649-44C6-9DED-BCED8DE36D6B,,0.000166038841501,,0.052315506884391,
950,,170162,,BARNDONAGH,,Barr na dTamhnach,,MONAGHAN,http://sws.geonames.org/2962567/,Muineachán,http://sws.geonames.org/2962567/,Ulster,http://sws.geonames.org/7521316/,681057,,803957,,ABBAB26D-7C8D-4F73-9E7B-6FACEC8745B4,,6.4322058889e-05,,0.041881192380314,
21196,,170023,,AGHAGLASS,,Achadh Glas,,MONAGHAN,http://sws.geonames.org/2962567/,Muineachán,http://sws.geonames.org/2962567/,Ulster,http://sws.geonames.org/7521316/,693705,,804010,,098EED61-DC00-4E8B-8401-1FB50CFE97B8,,7.0798114197e-05,,0.037367818196343,
36442,,70200,,BALLYBRACK,, ,,KERRY,http://sws.geonames.org/2963517/,Ciarraí,http://sws.geonames.org/2963517/,Munster,http://sws.geonames.org/2962350/,450595,,565077,,62FA7866-EF6B-4296-9EC6-0BC3C7C1E988,,7.2542611064e-05,,0.039084365320247,
27396,,100278,,CARRIGEEN,, ,,LAOIS,http://sws.geonames.org/2963031/,Laois,http://sws.geonames.org/2963031/,Leinster,http://sws.geonames.org/2962979/,654690,,700229,,53EC96E7-CC83-442F-B887-6CBA7ECB246C,,9.2976973593e-05,,0.046116003797033,
14400,,43189,,INCHAKEVIN,, ,,CORK,http://sws.geonames.org/2965139/,Corcaigh,http://sws.geonames.org/7778678/,Munster,http://sws.geonames.org/2962350/,563828,,607556,,925DCBD0-B8B3-458D-BFF3-3031A8B06427,,4.3628943919e-05,,0.048300551863923,
17674,,230434,,CLONYDONNIN,, ,,WESTMEATH,http://sws.geonames.org/2960972/,An Iarmhí,http://sws.geonames.org/2960972/,Leinster,http://sws.geonames.org/2962979/,613444,,734118,,0514AE0F-21B9-4F55-B8B6-430270A1D030,,0.000202948642811,,0.095878861469322,
29878,,43746,,KNOCKAVULLIG,, ,,CORK,http://sws.geonames.org/2965139/,Corcaigh,http://sws.geonames.org/7778678/,Munster,http://sws.geonames.org/2962350/,542544,,570627,,F481251F-2039-43FB-A7E5-F51B16108CDB,,0.000248172113445,,0.068566115114507,
4082,,191080,,DOUGHLOON,, ,,ROSCOMMON,http://sws.geonames.org/2961731/,Ros Comáin,http://sws.geonames.org/2961731/,Connacht,http://sws.geonames.org/7521313/,592810,,782615,,247D4725-F00A-457D-9AAD-79509E4A7209,,3.3200399697e-05,,0.022487434437215,
