OBJECTID_12,,ED_ID,,ED_ENGLISH,,ED_GAEILGE,,COUNTY,,CONTAE,,PROVINCE,,CENTROID_X,,CENTROID_Y,,OBJECTID,,ED_ID_1,,FIRST_COUNTY,,FIRST_CONTAE,,FIRST_PROVINCE,,FIRST_ED_ENGLISH,,FIRST_ED_GAEILGE,,MaxSimpTol,,MinSimpTol,,GUID,,ObjectID_1,,Shape__Area,,Shape__Length,
1072,,57049,,CULDAFF,Culdaff County Donegal Ireland http://sws.geonames.org/2964951/, ,,DONEGAL,County Donegal Ulster Ireland http://sws.geonames.org/2964751/,Dún na nGall,County Donegal Ulster Ireland http://sws.geonames.org/2964751/,Ulster,Ulster Ireland Ireland http://sws.geonames.org/7521316/,651357,,948009,,2735,,57049,,DONEGAL,County Donegal Ulster Ireland http://sws.geonames.org/2964751/,Dún na nGall,County Donegal Ulster Ireland http://sws.geonames.org/2964751/,Ulster,Ulster Ireland Ireland http://sws.geonames.org/7521316/,CULDAFF,Culdaff County Donegal Ireland http://sws.geonames.org/2964951/, ,,100,,100,,2AE1962920CF13A3E055000000000001,,2735,,0.003676278231095,,0.435638089323672,
2499,,37100,,KILSEILY,Kilseily An Clár Ireland http://sws.geonames.org/2963216/, ,,CLARE,An Clár Munster Ireland http://sws.geonames.org/2965479/,An Clár,An Clár Munster Ireland http://sws.geonames.org/2965479/,Munster,Munster County Cork Ireland http://sws.geonames.org/2962350/,555599,,672091,,2231,,37100,,CLARE,An Clár Munster Ireland http://sws.geonames.org/2965479/,An Clár,An Clár Munster Ireland http://sws.geonames.org/2965479/,Munster,Munster County Cork Ireland http://sws.geonames.org/2962350/,KILSEILY,Kilseily An Clár Ireland http://sws.geonames.org/2963216/, ,,100,,100,,2AE196291FFD13A3E055000000000001,,2231,,0.003704487126624,,0.370900652495918,
1642,,107036,,CULLAHILL,Cullahill County Tipperary Ireland http://sws.geonames.org/2964946/, ,,LAOIS,Laois Leinster Ireland http://sws.geonames.org/2963031/,Laois,Laois Leinster Ireland http://sws.geonames.org/2963031/,Leinster,Leinster Kildare Ireland http://sws.geonames.org/2962979/,633123,,673307,,36,,107036,,LAOIS,Laois Leinster Ireland http://sws.geonames.org/2963031/,Laois,Laois Leinster Ireland http://sws.geonames.org/2963031/,Leinster,Leinster Kildare Ireland http://sws.geonames.org/2962979/,CULLAHILL,Cullahill County Tipperary Ireland http://sws.geonames.org/2964946/, ,,100,,100,,2AE1962916B313A3E055000000000001,,36,,0.002260858180653,,0.291234665347468,
1874,,67156,,KYLEMORE,Kylemore County Galway Ireland http://sws.geonames.org/2963071/, ,,GALWAY,Galway Airport Ireland Ireland http://sws.geonames.org/6452625/,Gaillimh,Galway City Connaught Ireland http://sws.geonames.org/7778676/,Connacht,Connaught Ireland Ireland http://sws.geonames.org/7521313/,591541,,722197,,2990,,67156,,GALWAY,Galway Airport Ireland Ireland http://sws.geonames.org/6452625/,Gaillimh,Galway City Connaught Ireland http://sws.geonames.org/7778676/,Connacht,Connaught Ireland Ireland http://sws.geonames.org/7521313/,KYLEMORE,Kylemore County Galway Ireland http://sws.geonames.org/2963071/, ,,100,,100,,2AE19629234D13A3E055000000000001,,2990,,0.003435124289033,,0.31601396364502,
688,,268133,,RATHMINES WEST B,, ,,DUBLIN,Baile Átha Cliath Leinster Ireland http://sws.geonames.org/2964573/,Baile Átha Cliath,Baile Átha Cliath Leinster Ireland http://sws.geonames.org/2964573/,Leinster,Leinster Kildare Ireland http://sws.geonames.org/2962979/,715690,,732013,,2010,,268133,,DUBLIN,Baile Átha Cliath Leinster Ireland http://sws.geonames.org/2964573/,Baile Átha Cliath,Baile Átha Cliath Leinster Ireland http://sws.geonames.org/2964573/,Leinster,Leinster Kildare Ireland http://sws.geonames.org/2962979/,RATHMINES WEST B,, ,,100,,100,,2AE196291DD813A3E055000000000001,,2010,,4.5313038713e-05,,0.027719001163308,
1110,,257068,,STRATFORD,Stratford Wicklow Ireland http://sws.geonames.org/2961336/, ,,WICKLOW,Wicklow Leinster Ireland http://sws.geonames.org/2960935/,Cill Mhantáin,Wicklow Leinster Ireland http://sws.geonames.org/2960935/,Leinster,Leinster Kildare Ireland http://sws.geonames.org/2962979/,687484,,694438,,1703,,257068,,WICKLOW,Wicklow Leinster Ireland http://sws.geonames.org/2960935/,Cill Mhantáin,Wicklow Leinster Ireland http://sws.geonames.org/2960935/,Leinster,Leinster Kildare Ireland http://sws.geonames.org/2962979/,STRATFORD,Stratford Wicklow Ireland http://sws.geonames.org/2961336/, ,,100,,100,,2AE196291EC113A3E055000000000001,,1703,,0.001250458018224,,0.192903336971792,
1344,,217158,,TEMPLETOUHY,Templetuohy County Tipperary Ireland http://sws.geonames.org/2961236/,Teampall Tuaithe,,TIPPERARY,County Tipperary Munster Ireland http://sws.geonames.org/2961191/,Tiobraid Árann,County Tipperary Munster Ireland http://sws.geonames.org/2961191/,Munster,Munster County Cork Ireland http://sws.geonames.org/2962350/,617233,,671353,,1256,,217158,,TIPPERARY,County Tipperary Munster Ireland http://sws.geonames.org/2961191/,Tiobraid Árann,County Tipperary Munster Ireland http://sws.geonames.org/2961191/,Munster,Munster County Cork Ireland http://sws.geonames.org/2962350/,TEMPLETOUHY,Templetuohy County Tipperary Ireland http://sws.geonames.org/2961236/,Teampall Tuaithe,,100,,100,,2AE196291C0D13A3E055000000000001,,1256,,0.005584271623042,,0.396622707838542,
2784,,157094,,KILGARVAN,Kilgarvan House County Tipperary Ireland http://sws.geonames.org/2963411/, ,,MAYO,Maigh Eo Connaught Ireland http://sws.geonames.org/2962666/,Maigh Eo,Maigh Eo Connaught Ireland http://sws.geonames.org/2962666/,Connacht,Connaught Ireland Ireland http://sws.geonames.org/7521313/,533286,,819481,,541,,157094,,MAYO,Maigh Eo Connaught Ireland http://sws.geonames.org/2962666/,Maigh Eo,Maigh Eo Connaught Ireland http://sws.geonames.org/2962666/,Connacht,Connaught Ireland Ireland http://sws.geonames.org/7521313/,KILGARVAN,Kilgarvan House County Tipperary Ireland http://sws.geonames.org/2963411/, ,,100,,100,,2AE19629193013A3E055000000000001,,541,,0.007569534786455,,0.523789883122872,
1520,,228002,,BALLYBEG SOUTH,,An Baile Beag Theas,,WATERFORD,Waterford Munster Ireland http://sws.geonames.org/2960991/,Port Láirge,Waterford Munster Ireland http://sws.geonames.org/2960991/,Munster,Munster County Cork Ireland http://sws.geonames.org/2962350/,657819,,609512,,1369,,228002,,WATERFORD,Waterford Munster Ireland http://sws.geonames.org/2960991/,Port Láirge,Waterford Munster Ireland http://sws.geonames.org/2960991/,Munster,Munster County Cork Ireland http://sws.geonames.org/2962350/,BALLYBEG SOUTH,,An Baile Beag Theas,,100,,100,,2AE196291B7F13A3E055000000000001,,1369,,0.000279840283297,,0.109498764500836,
2229,,137032,,FOXHALL,Foxhall County Galway Ireland http://sws.geonames.org/2964231/, ,,LONGFORD,Longford Uíbh Fhailí Ireland http://sws.geonames.org/2962841/,An Longfort,Longford An Longfort Ireland http://sws.geonames.org/2962840/,Leinster,Leinster Kildare Ireland http://sws.geonames.org/2962979/,624635,,764101,,381,,137032,,LONGFORD,Longford Uíbh Fhailí Ireland http://sws.geonames.org/2962841/,An Longfort,Longford An Longfort Ireland http://sws.geonames.org/2962840/,Leinster,Leinster Kildare Ireland http://sws.geonames.org/2962979/,FOXHALL,Foxhall County Galway Ireland http://sws.geonames.org/2964231/, ,,100,,100,,2AE19629190113A3E055000000000001,,381,,0.002550424028541,,0.249639922013989,
