X,,Y,,OBJECTID,,County,,Contae,,Local_Government_Area,,Limistéar_Rialtas_Áitiúil,,Classification,,Cineál,,Gaeltacht,,Town_Classification,,ID,,English_Name,,Irish_Name,,Foirm_Ghinideach,,Alternative_Name,,IG_E,,IG_N,,ITM_E,,ITM_N,,Irish_Validation,,Legislation,,Validated_By,,Date_,,Comment_,
-7.208259361662343,,52.378704812724379,,1730,,KILKENNY,Kilkenny Maigh Eo Ireland http://sws.geonames.org/10130170/,Cill Chainnigh,Kilkenny Leinster Ireland http://sws.geonames.org/2963397/,KILKENNY,Kilkenny Maigh Eo Ireland http://sws.geonames.org/10130170/,,,ED,,T,,N,,,,97065,,KILLAHY,Killahy Kilkenny Ireland http://sws.geonames.org/2963381/,Cill Achaidh,,,,,,253966,,125484,,653905,,625534,,1,,520,,LH,,2007-01-09T00:00:00.000Z,,,
-8.000291196865692,,54.201118559554736,,95,,CAVAN,An Cabhán Ulster Ireland http://sws.geonames.org/2965534/,An Cabhán,An Cabhán Ulster Ireland http://sws.geonames.org/2965534/,CAVAN,An Cabhán Ulster Ireland http://sws.geonames.org/2965534/,,,ED,,T,,N,,,,27041,,DOWRA,Dowra An Cabhán Ireland http://sws.geonames.org/2964677/,An Damhshraith,,,,,,200030,,328015,,599981,,828022,,,,,,Fiontar,,,,,
-7.548069753255803,,53.364063958807428,,3202,,WESTMEATH,An Iarmhí Leinster Ireland http://sws.geonames.org/2960972/,An Iarmhí,An Iarmhí Leinster Ireland http://sws.geonames.org/2960972/,WESTMEATH,An Iarmhí Leinster Ireland http://sws.geonames.org/2960972/,,,ED,,T,,N,,,,237073,,LAUREE,,Laitean,,,,,,230136,,234942,,630080,,734969,,,,,,Fiontar,,,,,
-9.760822853356039,,54.123102254741674,,2256,,MAYO,Maigh Eo Connaught Ireland http://sws.geonames.org/2962666/,Maigh Eo,Maigh Eo Connaught Ireland http://sws.geonames.org/2962666/,MAYO,Maigh Eo Connaught Ireland http://sws.geonames.org/2962666/,,,ED,,T,,N,,,,157031,,BANGOR,Bangor Maigh Eo Ireland http://sws.geonames.org/2966367/,Baingear,,,,,,84924,,320764,,484900,,820773,,,,,,Fiontar,,,,,
-8.21224207560152,,52.865513528432061,,2958,,TIPPERARY,County Tipperary Munster Ireland http://sws.geonames.org/2961191/,Tiobraid Árann,County Tipperary Munster Ireland http://sws.geonames.org/2961191/,NORTH TIPPERARY,North Tipperary Munster Ireland http://sws.geonames.org/2961190/,,,ED,,T,,N,,,,217136,,NENAGH WEST URBAN,,An tAonach Thiar (Uirbeach),,,,,,185755,,179383,,585709,,679422,,1,,847,,FJF,,2006-11-20T00:00:00.000Z,,,
-8.356510760482898,,52.604312171953154,,1993,,LIMERICK,Limerick Loch Garman Ireland http://sws.geonames.org/2962942/,Luimneach,Limerick City Munster Ireland http://sws.geonames.org/7778675/,LIMERICK,Luimneach County Limerick Ireland http://sws.geonames.org/2962943/,,,ED,,T,,N,,,,127039,,CAPPAMORE,Cappamore Ciarraí Ireland http://sws.geonames.org/3294923/,An Cheapach Mhór,,,,,,175895,,150354,,575851,,650399,,1,,522,,FF,,2007-01-26T00:00:00.000Z,,,
-8.318942942502362,,54.659928110991792,,792,,DONEGAL,County Donegal Ulster Ireland http://sws.geonames.org/2964751/,Dún na nGall,County Donegal Ulster Ireland http://sws.geonames.org/2964751/,DONEGAL,County Donegal Ulster Ireland http://sws.geonames.org/2964751/,,,ED,,T,,N,,,,57091,,INVER,Inver Maigh Eo Ireland http://sws.geonames.org/2963602/,Inbhear,,,,,,179465,,379135,,579421,,879131,,,,,,Fiontar,,,,,
-7.45109173519639,,54.102461689437639,,67,,CAVAN,An Cabhán Ulster Ireland http://sws.geonames.org/2965534/,An Cabhán,An Cabhán Ulster Ireland http://sws.geonames.org/2965534/,CAVAN,An Cabhán Ulster Ireland http://sws.geonames.org/2965534/,,,ED,,T,,N,,,,27013,,BELTURBET,Belturbet An Cabhán Ireland http://sws.geonames.org/2966201/,Béal Tairbirt (Uirbeach),,,,,,235957,,317173,,635900,,817182,,,,,,Fiontar,,,,,
-6.98378847043187,,54.170009309650936,,2484,,MONAGHAN,County Monaghan Ulster Ireland http://sws.geonames.org/2962567/,Muineachán,County Monaghan Ulster Ireland http://sws.geonames.org/2962567/,MONAGHAN,County Monaghan Ulster Ireland http://sws.geonames.org/2962567/,,,ED,,T,,N,,,,177013,,CADDAGH,Caddagh An Iarmhí Ireland http://sws.geonames.org/9866270/,Cadach,,,,,,266417,,325030,,666354,,825037,,1,,523,,FF,,2007-03-06T00:00:00.000Z,,,
-7.022516155777524,,54.140990197813927,,2527,,MONAGHAN,County Monaghan Ulster Ireland http://sws.geonames.org/2962567/,Muineachán,County Monaghan Ulster Ireland http://sws.geonames.org/2962567/,MONAGHAN,County Monaghan Ulster Ireland http://sws.geonames.org/2962567/,,,ED,,T,,N,,,,177056,,LISNAVEANE,,Lios Mór (Uirbeach),,,,,,263933,,321764,,663870,,821772,,1,,523,,FF,,2007-03-06T00:00:00.000Z,,,
