OBJECTID,,SETTLEMENT,,SETTL_NAME,,EAST,,NORTH,,GUID,,Shape__Area,,Shape__Length,
591,,18093,,Bweeng,Bweeng County Cork Ireland http://sws.geonames.org/3292074/,550181.573663,,588387.557935,,3F34ADAD-87D3-4D5A-9434-73390AF25566,,4.9885354982e-05,,0.070115216762142,
471,,18060,,Aghada-Farsid-Rostellan,,585580.12464,,565431.22985,,6B66F12A-8B99-46C1-93BC-D8F6787DC990,,0.000140358000812,,0.126633062008424,
738,,04012,,Rush,Rush Leinster Ireland http://sws.geonames.org/8642971/,726076.133932,,754078.0349,,A82FD0BA-D585-4527-9961-AC4AF2321B20,,0.000792540500938,,0.16648267999589,
699,,06006,,Ballyoulster,Ballyoulster Leinster Ireland http://sws.geonames.org/8643288/,698990.824514,,733557.15231,,D8013E22-4AFA-4AC6-B278-E1699775D330,,0.000157965456759,,0.119836599603172,
689,,18023,,Béal Átha An Ghaorthaidh,Ballingeary County Cork Ireland http://sws.geonames.org/2966731/,514949.16927,,567037.51111,,157C8C92-DD36-4530-9E3E-5148C87341A4,,4.8564079508e-05,,0.066292195103857,
778,,19004,,Waterville-Spunkane,,450467.093812,,566740.15733,,088883DB-0EE6-4A48-BA9A-FC0C913A35D4,,0.00020720519604,,0.107643251617602,
121,,15031,,Coolboy,Coolboy Wicklow Ireland http://sws.geonames.org/2965210/,703819.61555,,669082.076551,,8030F9CD-9656-41CD-A32E-F247671000FB,,2.3643717725e-05,,0.044253061200887,
711,,33008,,Pettigo,Pettigoe County Donegal Ireland http://sws.geonames.org/2962056/,610513.631562,,866679.84807,,AEA9825B-758E-4A40-9C31-363B490CA889,,6.0338600401e-05,,0.076743958239629,
45,,14011,,Gorey,Gorey County Donegal Ireland http://sws.geonames.org/2963961/,715426.11407,,659769.184581,,B0B0FE43-FB42-4A36-AAFC-D0903B083CEE,,0.000703125425025,,0.164458674332787,
255,,31015,,Tubbercurry,Tobercurry Sligo Ireland http://sws.geonames.org/2961182/,552011.266867,,811667.073816,,32BF025C-AE8B-4699-966E-05651EB0040A,,0.000310508814656,,0.180985213538298,
