_id,,program,,podprogram,,ziadatel,,adresa_ulica,,adresa_psc,,adresa_obec,,adresa_okres,,adresa_kraj,,ico,,cislo_ziadosti,,datum_zmluvy,,cislo_zmluvy,,nazov_projektu,,dotacia_ziadost_euro,,dotacia_pridelena_euro,
3107,,3,,3.1,,"Stredná odborná škola obchodu a služieb, Vrbická 632, 031 01 Liptovský Mikuláš",,Vrbická 632,,031 38,,Liptovský Mikuláš,Okres Liptovský Mikuláš Zilina Slovak Republic http://sws.geonames.org/3059049/,Liptovský Mikuláš,Okres Liptovský Mikuláš Zilina Slovak Republic http://sws.geonames.org/3059049/,SK031,,42069866,,MK-3105/2016/3.1,,None,,MK-3105/2016/3.1,,"Stredná odborná škola obchodu a služieb, Vrbická 632, 031 01 Liptovský Mikuláš",,0,,0,
272,,1,,1.1,,"Rímskokatolícka cirkev, farnosť Nižný Medzev",,Mariánske Námestie 36,,044 25,,Medzev,Medzev Kosice Slovak Republic http://sws.geonames.org/724159/,Košice - okolie,,Košický,,31998348,,MK-498/2016/1.1,,None,,MK-498/2016/1.1,,"Medzev, Rímskokatolícky kostol Narodenia Panny Márie, č. ÚZPF 426/1 – odizolovanie interiéru od zemnej vlhkosti a zjednotenie dlažby kostola.",,77034,,0,
257,,1,,1.1,,Cirkevný zbor Evanjelickej cirkvi augsubrského vyznania na Slovensku Betliar,,Kaštieľná 260,,049 21,,Betliar,Betliar Kosice Slovak Republic http://sws.geonames.org/725130/,Rožňava,Okres Rožňava Kosice Slovak Republic http://sws.geonames.org/723712/,Košický,,31966691,,MK-468/2016/1.1,,None,,MK-468/2016/1.1,,"Maľba exteriéru kostola, vstupný vchod a oporný múr",,14872,,0,
1317,,3,,3.1,,Základná škola s materskou školou Gerlachov,,"Mlynská ,21",,059 42,,Gerlachov,Gerlachov Slovak Republic Slovak Republic http://sws.geonames.org/724788/,Poprad,Poprad Slovak Republic Slovak Republic http://sws.geonames.org/723845/,SK041,,37942379,,MK-1315/2016/3.1,,None,,MK-1315/2016/3.1,,Základná škola s materskou školou Gerlachov,,0,,0,
3805,,3,,3.1,,"Základná škola J. Kollára, Ul. L. Svobodu č.40, 969 01 Banská Štiavnica",,L. Svobodu 40,,969 01,,Banská Štiavnica,Banská Štiavnica Okres Banská Bystrica Slovak Republic http://sws.geonames.org/3061184/,Banská Štiavnica,Banská Štiavnica Okres Banská Bystrica Slovak Republic http://sws.geonames.org/3061184/,SK032,,35991488,,MK-3803/2016/3.1,,None,,MK-3803/2016/3.1,,"Základná škola J. Kollára, Ul. L. Svobodu č.40, 969 01 Banská Štiavnica",,0,,0,
2874,,3,,3.1,,"Gymnázium, Trebišovská 12, Košice",,Trebišovská 12,,040 11,,Košice,Košice Kosice Slovak Republic http://sws.geonames.org/724443/,Košice II,Košice II Kosice Slovak Republic http://sws.geonames.org/8986336/,SK042,,398900,,MK-2872/2016/3.1,,None,,MK-2872/2016/3.1,,"Gymnázium, Trebišovská 12, Košice",,0,,0,
2300,,3,,3.1,,"Základná škola  Ul.karpatská 803/11,  Svidník",,Ul.karpatská 803/11,,089 01,,Svidník,Okres Svidník Presov Slovak Republic http://sws.geonames.org/723416/,Svidník,Okres Svidník Presov Slovak Republic http://sws.geonames.org/723416/,SK041,,35509082,,MK-2298/2016/3.1,,None,,MK-2298/2016/3.1,,"Základná škola  Ul.karpatská 803/11,  Svidník",,0,,0,
2775,,3,,3.1,,"Súkromná spojená škola, Starozagorská 8, Košice",,Starozagorská 8,,040 23,,Košice,Košice Kosice Slovak Republic http://sws.geonames.org/724443/,Košice II,Košice II Kosice Slovak Republic http://sws.geonames.org/8986336/,SK042,,42322855,,MK-2773/2016/3.1,,None,,MK-2773/2016/3.1,,"Súkromná spojená škola, Starozagorská 8, Košice",,0,,0,
790,,1,,1.2,,Mesto Banská Štiavnica,,Radničné námestie 1,,969 24,,Banská Štiavnica,Banská Štiavnica Okres Banská Bystrica Slovak Republic http://sws.geonames.org/3061184/,Banská Štiavnica,Banská Štiavnica Okres Banská Bystrica Slovak Republic http://sws.geonames.org/3061184/,Banskobystrický,,320501,,MK-1084/2016/1.2,,2016-04-04T00:00:00,,MK-1084/2016/1.2,,"Radnica, Radničné nám. č.1, Banská Štiavnica, č. ÚZPF: 2484/1 - Obnova Radnice",,104443,,10000,
1774,,3,,3.1,,Základná škola pre žiakov so sluchovým postihnutím internátna,,Ul. Karola Supa,,984 03,,Lučenec,Lučenec Banska Bystrica Slovak Republic http://sws.geonames.org/3058985/,Lučenec,Okres Lučenec Banska Bystrica Slovak Republic http://sws.geonames.org/3058984/,SK032,,163023,,MK-1772/2016/3.1,,None,,MK-1772/2016/3.1,,Základná škola pre žiakov so sluchovým postihnutím internátna,,0,,0,
