ITMS kód projektu:,,Skrátený názov projektu:,,Subjekt:,,Stav projektu:,,Celková zazmluvnená suma EUR:,,Spôsob realizácie projektu:,,Opatrenie - kód:,,Typ: (NP/DOP/PP),,Kontakt na orgán,,RO/SORO,,VÚC,,Okres,,Obec,,Prioritná os,,Opatrenie,,ZACIATOK,,KONIEC,,Názov prijímateľa:,,IČO,,DIČ,,Adresa prijímateľa,,Právna forma,,Výzva / Vyzvanie:,,GPS,,Počet novovytvorených pracovných miest,,Počet osôb cieľovej skupiny zapojených do podporených projektov,,Počet osôb zahrnutých do vzdelávacích aktivít,,"Počet osôb, ktoré využívajú služby sociálnych pracovníkov a ich ",,Počet úspešne umiestnených uchádzačov o zamestnanie,
27110230373,,Vytvorenie pracovných miest Mičová,,Eva Mičová,,v realizácii,,"62 030,00 EUR",,"Realizácia projektu bude prebiehať v rozsahu 13 mesiacov. Projekt sa bude realizovať v 3 etapách a to prípravnej, realizačnej a hodnotiacej. Prípravná fáza bude pozostávať z vykonania Verejného obstarania podľa Zákona č. 25/2006 Z.z., príp. z prieskumu trhu v oblastiach, ktoré budú zabezpečované dodávateľsky. V realizačnej etape budú prebiehať nasledovné kurzy
o kurz Manažérske zručnosti vodcovstvo“
o „kurz Time manažment “
o „kurz IT vzdelávanie - Práca s PC – mierne pokročilí“
o „kurz Efektívna komunikácia“
o „kurz Psychológia predaja“
o „kurz Vedenie a motivácia zamestnancov“ 
o „kurz Anglický jazyk – začiatočníci“
o „kurz Anglický jazyk – pokročilí“
V rámci hodnotiacej fázy budú zhodnotené jednotlivé školenia, ich prínos pre frekventantov, zhromaždenie ich subjektívnych výpovedí o prínosoch školení. Chod projektu bude pod dohľadom projektového tímu zloženého z projektového manažéra, koordinátora projektu a finančného manažéra.",,102,,DOP,,http://www.sia.gov.sk,,SIA,,Žilinský kraj,,Okres Žilina,http://sws.geonames.org/3056507/,Terchová,http://sws.geonames.org/3057212/,1. Podpora rastu zamestnanosti,,"1.2 Podpora tvorby a udržania pracovných miest prostredníctvom zvýšenia adaptability pracovníkov, podnikov a podpory podnikania",,1.10.2010,,31.10.2011,,Eva Mičová,,37245449,,1023280808,,"Terchová, Terchová, 1136",,Podnikateľ-fyzická osoba-zapísaný v obchodnom registri,,DOP2009-SIP004,,"49.25751,19.03258",,2,,17,,N/A,,N/A,,N/A,
27110230185,,Prášková lakovňa,,PESTE s.r.o.,,v realizácii,,"66 540,13 EUR",,"Návrh aktivít vychádza z poznania existujúcej situácie firmy, najmä jej slabých stránok. Školenie zamestnancov je nevyhnutnou podmienkou ovládania špecifickej a novej technológie práškovej lakovne, s cieľom zvýšiť efektivitu produkcie a minimalizovať prestoje a prípadné poruchy. Školenie bude zabezpečovať dodávateľ technológie, vybratý na základe verejnej obchodnej súťaže. Počas posudzovania dokumentácie z OVS rozbehneme v spolupráci s ÚPSVaR Humenné výber nových zamestnancov. Samotné zaškolenie vybraných zamestnancov bude nasledovať po dodaní a montáži technológie (časť A), s predpokladom realizácie 10/2009. Po absolvovaní odbornej prípravy – školenia, začnú zamestnanci pracovať na základe pracovných zmlúv. Úhrada ich miezd bude prebiehať v mesačných intervaloch, s následnou žiadosťou o refundáciu 70 % miezd a odvodov zamestnávateľa.  Finančný monitoring realizácie projektu vrátane povinného reportovania správ budú zabezpečované externe.",,102,,DOP,,http://www.sia.gov.sk,,SIA,,Prešovský kraj,,Okres Humenné,http://sws.geonames.org/724626/,Humenné,http://sws.geonames.org/724627/,1. Podpora rastu zamestnanosti,,"1.2 Podpora tvorby a udržania pracovných miest prostredníctvom zvýšenia adaptability pracovníkov, podnikov a podpory podnikania",,1.9.2009,,31.8.2011,,PESTE s.r.o.,,44463405,,2022717873,,"Humenné, Tolstého, 3",,Spoločnosť s ručením obmedzeným,,DOP2008-SIP001,,"48.93333,21.905465",,3,,0,,N/A,,N/A,,N/A,
27120130041,,TSP Hrnčiarska Ves,,Hrnčiarska Ves,,riadne ukončený,,"34 128,66 EUR",,"Aktivita 0. Výberové konanie TSP a ATSP V rámci projektu prebehne výberové konanie TSP a ATSP v zmysle potrieb programu na základe kritérií Aktivita 1. Riadenie a administrácia projektu.Za účelom plynulého a správneho priebehu realizácie projektu bude zabezpečené riadenie projektu, organizačné zabezpečenie a koordinácia aktivít realizovaných v rámci projektu TSP. Zodpovedná osoba: TSP Aktivita 2. Priebežná publicita: Publicita projektu bude zabezpečovaná viacerými formami v zmysle pravidiel externého manuálu pre publicitu. Priestory, v ktorých sa budú realizovať aktivity, budú označené informáciou o spolufinancovaní zo zdrojov ESF a FSR a logom ESF a FSR. Taktiež všetky spracované materiály a podporné dokumentácie budú obsahovať rovnaké formy publicity.  Aktivita 3. Technické a priestorové dovybavenie: V rámci projektu budú k dispozícii kancelárske priestory, kde budú pôsobiť členovia projektového tímu. Priestory budú dovybavené technikou a zariadením, ktoré zabezpečí obec. Aktivita 4. Činnosť TSP a ATSP: Činnosť TSP a ATSP tvorí podstatnú časť realizácie projektu. TSP a  ATSP budú participovať na zisťovaní potrieb, riešení a - poskytovať poradenstvo a sprevádzanie klienta v súvislosti s riešením jeho nepriaznivej sociálnej situácie - vykonávať individuálnu sociálnu prácu s konkrétnym klientom, jeho rodinou a komunitou priamo v rodinnom prostredí, prostredníctvom supervízie - získavať alebo obnovovať pracovné návyky potrebné na začlenenie sa  do pracovného procesu a spoločnosti
Poskytovanie poradenstvo v oblasti: - zlepšenia osobnej hygieny a zdravia stavu detí i dospelých - nadobúdania zručnosti vedenia domácnosti a zlepšenia zdravej výživy členov domácnosti - zlepšovania dochádzky detí do školy  - využívania dávky a príspevkov na zákonom stanový účel - zmysluplného využívania voľného času, najmä u detí a dospelých - iniciovania štrukturálne zmeny ozdravných procesov v obci - minimalizovania individuálneho rizika spojeného so životom v sociálne znevýhodňujúcom prostredí",,201,,DOP,,http://www.fsr.gov.sk,,FSR,,Banskobystrický kraj,,Okres Poltár,http://sws.geonames.org/8986296/,Hrnčiarska Ves,,2. Podpora sociálnej inklúzie,,2.1 Podpora sociálnej inklúzie osôb ohrozených vylúčením alebo sociálne vylúčených prostredníctvom rozvoja služieb starostlivosti s osobitným zreteľom na marginalizované rómske komunity,,15.10.2008,,14.10.2010,,Obec Hrnčiarska Ves,,318787,,2021230200,,"Hrnčiarska Ves, Hrnčiarska Ves, 237",,"Obec (obecný úrad), mesto (mestský úrad)",,OP ZaSI - FSR - 2007/2.1/02,,"48.432363,19.858721",,N/A,,317,,N/A,,68,,N/A,
27140130143,,Stratégia E-learningového vzdelávania pr,,Bojniciensis,,v realizácii,,"63 788,00 EUR",,"Projekt pozostáva z dvoch aktivít.  Aktivita č. 1 predstavuje spracovanie štúdie, stratégie E-learningového vzdelávania, ktorá je vecne rozčlenená do štyroch obsahových častí s definovanými výstupmi. Aktivita sa realizuje dodávateľským sposobom s dlžkou realizácie 10 mesiacov s počtom 1890 výkonových hodín. Je stanovený harmonogram spracovania jednotlivých častí štúdie. V rámci časti štúdie je zadanie na spracovanie modelového-realného, vzorového riešenia. Pre tento účel žiadateľ obstará definované prostriedky IKT na ktorom bude model realizovaný. Tieto prostriedky ako aj vytvorený model zostanú vo vlastníctvo žiadateľa. Postupy koordinuje projektový manažer projektu.  Aktivitu č. 2. tvorí súbor 4 tématických kurzov pre prac. a dobrovolníkov žiadateľa, zameraných na oblasť E-learningu a nových inovatívnych foriem práce MVO. Realizácia kurzov dodávateľským sposobom v prenajatých priestorov pri výbere kvalitných lektorov. 
Projekt a jeho aktivity je riadený projektovým manažérom, administratíva administratívnym pracovníkom obaja na DoVP. Štatut. zástupca žiadateľa zodpovedá za celý projekt a jeho priebeh a ya týmto účelom má spracovaný vnutorný systém riadenie kontroly procesov.",,401,,DOP,,http://www.sia.gov.sk,,SIA,,Trenčiansky kraj,,Okres Prievidza,http://sws.geonames.org/3057999/,Bojnice,http://sws.geonames.org/3061015/,4. Budovanie kapacít a zlepšenie kvality verejnej správy,,4.1 Zlepšenie kvality služieb poskytovaných verejnou správou a neziskovými organizáciami,,1.7.2010,,31.7.2011,,Bojniciensis - občianske združenie,,37915282,,2022323523,,"Bojnice, Krátka, 4",,"Združenie (zväz, spolok, spoločnosť, klub ai.)",,DOP-SIA-2009/4.1.3/01,,"48.778825,18.582245",,N/A,,0,,N/A,,N/A,,N/A,
27140130094,,Ďalší rozvoj ľudských zdrojov a profesionalizácia,,"Špec. nemocnica Zobor, no",,v realizácii,,"197 394,00 EUR",,"Hlavné aktivity projektu: 0. Spracovanie projektu vzdelávania; 1. Stratégia v oblasti efektívneho riadenia organizácie a ľudských zdrojov organizácie; 2. Manažérske vzdelávanie; 3. Vzdelávanie v oblasti procesného riadenia a kontrolingu; 4. Školenie Riadenie rizík a bezpečnosť pacienta; 5. Kurzy cudzieho jazyka; 6. Školenia PC zručností; 7. Špecializované odborné vzdelávanie. Ukončenie vzdelávania: absolventi získajú osvedčenie o absolvovaní vzdelávania. Zabezpečenie hlavných aktivít:; - organizačne aktivity zabezpečí projektový tím: projektový manažér, koordinátor vzdelávania, finančný manažér, manažér monitoringu, asistent a odborne spôsobilá osoba pre verejné obstarávanie. Štruktúra projektového tímu je kombináciou interného a externého personálu, co zabezpecí potrebnú odbornosť na jednotlivých pozíciách v rámci tímu. - školenia budú zabezpečené kvalifikovaným externým dodávateľom. Projektový tím zároveň zabezpečí publicitu a informovanosť a celkové riadenie projektu, ktoré zahŕňa nasledovné činnosti a aktivity: - zariadenie jazykovej učebne a zabezpečenie zariadení pre účely vzdelávania - monitoring a hodnotenie projektu - obstarávanie tovarov a služieb - hodnotenie projektu",,401,,DOP,,http://www.sia.gov.sk,,SIA,,Nitriansky kraj,,Okres Nitra,http://sws.geonames.org/3058529/,Nitra,http://sws.geonames.org/3058529/,4. Budovanie kapacít a zlepšenie kvality verejnej správy,,4.1 Zlepšenie kvality služieb poskytovaných verejnou správou a neziskovými organizáciami,,19.10.2010,,31.7.2012,,"Špecializovaná nemocnica sv. Svorada Zobor, n.o.",,37971832,,2021877792,,"Nitra, Kláštorská, 134",,Nezisková organizácia poskytujúca všeobecne prospešné služby,,DOP-SIA-2009/4.1.3/01,,"48.331154,18.090315",,N/A,,49,,98,,N/A,,N/A,
27120130327,,Podpora integrácie komunít prostredníctv,,OU Vaľkovňa,,v realizácii,,"40 990,74 EUR",,"Aktivita č.1:  Komunitná práca s marginalizovanými osobami –zavedenie inovatívnych foriem práce adaptáciou štandardov nízkoprahového centra na podmienky miestnej komunity s dôrazom na vzájomné zosieťovanie a zabezpečenie kontinuity 
Aktivita č.2:  Sociálno – poradenský a adaptačný program –sociálny a adaptačný program v oblasti krízovej intervencie pre rodiny s maloletými deťmi 
Aktivita č.3:  Motivačný program podpory zamestnateľnosti a sebestačnosti – program vzdelávania a prípravy pre uľahčenie vstupu na trh práce znevýhodnených uchádzačov o zamestnanie s výrazným zacielením na osoby vzdialené od trhu práce s osobitným zreteľom na rómske komunity
Aktivita č.4: Podpora profesijného/osobnostného rastu – pracovníkov a dobrovoľníkov, v pomáhajúcich profesiách, formou vzdelávania
Organizačné zabezpečenie: A č.1- 1 TSP, 2 ATSP (1 ATSP z obce), pracovno právne vzťahy, náplne práce; A č.2,3 - lektori, zmluvné podmienky, spôsob a doba  spolupráce; A č.4 - OU Vaľkovňa a FSR forma spolupráce. Technické zabezpečenie: A č.1-4, PC vybavenie, priestory, materiál. Riadenie projektu - dodávky. Publicita a informovanosť OU.",,201,,DOP,,http://www.fsr.gov.sk,,FSR,,Banskobystrický kraj,,Okres Brezno,http://sws.geonames.org/3060949/,Vaľkovňa,http://sws.geonames.org/723302/,2. Podpora sociálnej inklúzie,,2.1 Podpora sociálnej inklúzie osôb ohrozených vylúčením alebo sociálne vylúčených prostredníctvom rozvoja služieb starostlivosti s osobitným zreteľom na marginalizované rómske komunity,,1.11.2010,,31.10.2012,,Obec Vaľkovňa,,313912,,2021170041,,"Vaľkovňa, Vaľkovňa, 73",,"Obec (obecný úrad), mesto (mestský úrad)",,OP ZaSI - FSR - 2009/2.1/09,,"48.81622,20.0425",,N/A,,70,,N/A,,30,,N/A,
27140130015,,"Európa, občania a pekná staroba",,OZ Poznanie bez bariér,,v realizácii,,"150 321,56 EUR",,"Analýza špecifík vzdelávacích potrieb cielovej skupiny – pomocou pozorovania, diagnostiky, dotazníkov, skupinovou a individuálnou formou.
Výsledky budú slúžit na prípravu konkrétnych vzdelávacích aktivít. - Úvodné stretnutie realizátorov, lektorov a garantov dalšieho skvalitnovania poskytovaných služieb - vytvorenie metodológie a postupov, ktoré budú použité pri rozvojových aktivitách. - Rozvojový program / Tréningy - Tréningy budú realizované formou opakujúcich sa dvojdnových stretnutí mimo pracovných priestorov úcastníkov interaktívnou formou zameranou na využitie participatívnych techník. Dodávatel lektorských služieb bude vybraný na základe výberového konania podla zákona c. 25/2006 o verejnom obstarávaní a o zmene a doplnení niektorých zákonov. - Záverecné stretnutie realizátorov, lektorov a garantov dalšieho skvalitnovania poskytovaných služieb – sumarizácia výsledkov projektu - Konferencia – prezentácia výsledkov projektu, návrhy pre dalšie projekty, publicita projektu. - Vydanie odbornej publikácie
",,401,,DOP,,http://www.sia.gov.sk,,SIA,,Bratislavský kraj,,Okres Bratislava V,http://sws.geonames.org/8986342/,Bratislava-Petržalka,,4. Budovanie kapacít a zlepšenie kvality verejnej správy,,4.1 Zlepšenie kvality služieb poskytovaných verejnou správou a neziskovými organizáciami,,1.11.2008,,31.10.2009,,OZ Poznanie bez bariér,,37927825,,2022336239,,"Bratislava-Staré Mesto, Špitálska, 57",,"Združenie (zväz, spolok, spoločnosť, klub ai.)",,DOP-SIA-2008/4.1.3/01,,"48.149776,17.117042",,N/A,,0,,N/A,,N/A,,N/A,
27110230276,,Podpora udržania zamestnateľnosti zvýšen,,BUS servis s.r.o.,,v realizácii,,"85 041,69 EUR",,"Projekt bude realizovaný v aktivitách: A0 Poradenské a konzultačné služby sú zamerané na analýzu vzdelávacích potrieb a plán vzdelávania, ktorý realizuje formou poradenských služieb externá spoločnosť, táto aktivita priamo súvisí s prípravou ŽoNFP. A1 Školenie komunikačných zručností realizujeme pre 41 zamestnancov formou interaktívneho tréningu. A2 Školenie IKT zručností realizujeme pre 41 zamestnancov formou modulového vzdelávania zameraného na základ práce s PC, prácu s internetom a e-mailom. Administratívne a inštitucionálne zabezpečenie bude realizované počas projektu projektovým tímom, ktorý pozostáva z 2 externých pracovníkov so skúsenosťami v oblasti implementácie projektov podporených zo štrukturálnych fondov a 1 interným zamestnancom firmy (riaditeľ TZ). Dodávateľsky ju bude zabezpečovať spoločnosť, ktorá bude vybratá z verejného obstarávania. Vzdelávanie budeme realizovať v sídle firmy v Prievidzi v novovybudovanej učebni. Na záver vzdelávania účastníci získajú osvedčenie o absolvovaní vzdelávacej aktivity. Podporné aktivity sú zamerané na riadenie projektu a realizáciu publicity a informovanosti  o projekte v súlade s podmienkami výzvy.",,102,,DOP,,http://www.sia.gov.sk,,SIA,,Trenčiansky kraj,,Okres Prievidza,http://sws.geonames.org/3057999/,Prievidza,http://sws.geonames.org/3057999/,1. Podpora rastu zamestnanosti,,"1.2 Podpora tvorby a udržania pracovných miest prostredníctvom zvýšenia adaptability pracovníkov, podnikov a podpory podnikania",,1.5.2009,,2.2.2011,,BUS servis s.r.o.,,36517984,,2022210245,,"Prievidza, Ciglianska cesta, 1",,Spoločnosť s ručením obmedzeným,,DOP-SIA-2009/1.2.1/01,,"48.773135,18.622365",,N/A,,0,,N/A,,N/A,,N/A,
27120130189,,TSP v Spišskom Podhradí,,Mesto Spišské Podhradie,,riadne ukončený,,"47 625,64 EUR",,"1. Prezentácia projektu u sociálne zvýhodnených obyvateľov mesta s dôrazom na rómsku komunitu a nezamestnaných. Pracovný tím komunitného centra bude prezentovať projekt a jeho aktivity priamo u potenciálnych klientov projektu ako aj v komunitnom centre.  2. Získavanie klientov do projektu.  Vyhľadávanie a získavanie klientov sa bude realizovať  priamo v teréne, nielen v komunitnom centre. Na tejto aktivite sa zúčastnia aj miestne MVO a cirkev, a to poskytnutím informácií o potenciálnych klientoch projektu.  3. Výchovno-osvetové a vzdelávacie aktivity:  Cieľom výchovno-vzdelávacích aktivít projektu je zvýšiť informovanosť cieľových skupín o zásadách zdravého životného štýlu, hygienických návykov, starostlivosti o členov rodiny v čase choroby, tehotenstva. Väčšinu aktivít bude realizovať pracovný tím komunitného centra. Oblasti, ktoré si vyžadujú odborné prednášky zabezpečia miestni praktickí lekári a gynekológ. V spolupráci s OZ Čercheň-Hviezda, ktoré sa bude uchádzať z rôznych grantových schém o dotáciu, bude zabezpečený materiál na aktivity súvisiace s výchovou ku zdravému životnému štýlu, napr. - varenie pre deti, varenie zeleninových jedál.  4. Poradenstvo klientom v oblasti: 4.1. Sociálnej. 5. Pracovné činnosti: Pracovné činnosti sa budú realizovať v komunitnom centre aj v spolupráci s OZ Čercheň, ktoré sa bude uchádzať z rôznych grantových schém o dotáciu na zabezpečenie materiálu. Do tejto aktivity sa zapoja aj miestni podnikatelia, ktorí poskytnú materiál na aktivity s drevom. Dôležitou aktivitou bude písanie žiadosti do práce a štruktúrovaného životopisu. Klienti sa naučia vyhľadávať voľné pracovné miesta v novinách a na internete, napr. www.profesia.sk. 6. Kultúrno-umelecké aktivity, 7. Voľnočasové aktivity s deťmi.  Významnou aktivitou projektu bude  aj práca s cieľovou skupinou detí a mládeže. Terénny sociálny pracovník sa aj v súčasnosti venuje športovým aktivitám s deťmi, ktoré sú organizované  3x  týždenne na športovom ihrisku a v telocvični. Popoludní v komunitnom centre majú deti a mládež k dispozícii stolné a počítačové hry pod vedením pracovného tímu komunitného centra.",,201,,DOP,,http://www.fsr.gov.sk,,FSR,,Prešovský kraj,,Okres Levoča,http://sws.geonames.org/8989441/,Spišské Podhradie,http://sws.geonames.org/723519/,2. Podpora sociálnej inklúzie,,2.1 Podpora sociálnej inklúzie osôb ohrozených vylúčením alebo sociálne vylúčených prostredníctvom rozvoja služieb starostlivosti s osobitným zreteľom na marginalizované rómske komunity,,1.4.2008,,31.3.2010,,Mesto Spišské Podhradie,,329622,,2020717886,,"Spišské Podhradie, Mariánske nám., 37",,"Obec (obecný úrad), mesto (mestský úrad)",,OP ZaSI - FSR - 2007/2.1/01,,"48.999925,20.752555",,N/A,,1344,,N/A,,343,,N/A,
27120130027,,TSP v meste Bardejov,,Bardejov,,riadne ukončený,,"141 213,57 EUR",,"Projekt sa bude realizovať prostredníctvom terénnej sociálnej práce v súlade s materiálom FSR „Štandardy terénnej sociálnej práce v obci s osobitným zreteľom na prácu s vylúčenými komunitami“ v častiach: I. Procedurálne štandardy terénnej sociálnej práce (ciele sociálnej práce v obci, spôsob jej vykonávania, spôsob práce s klientom, evidenciu klientov, rozsah a obsah práce a normatívy na určenie počtu pracovníkov v obci), II. Personálne  štandardy (pracovné kategórie a pracovné náplne a zodpovednosti pracovníkov, kritériá pre výber pracovníkov, vzdelávanie a podporu pracovníkov, monitoring a hodnotenie práce), III. Prevádzkové štandardy (vytvorenie zázemia na kvalitný výkon práce), IV. Etické štandardy (profesná etika terénneho sociálneho pracovníka). Na dosiahnutie týchto cieľov sa predpokladá činnosť 3 terénnych sociálnych pracovníkov a 6 asistentov terénnych sociálnych pracovníkov počas 24 mesiacov trvania projektu. Prevádzkový štandard práce TSP a ATSP bude zabezpečený 3 samostatnými a primerane vybavenými kanceláriami na Poštárke, v Dlhej Lúke (v blízkosti dotknutých komunít) a v centrálnej časti mesta (v blízkosti oficiálnych inštitúcií). V oboch zadefinovaných rómskych komunitách v meste budú vybraní TSP a ATSP vykonávať nasledujúce aktivity:
-vyhľadávanie občanov, ktorým treba ponúknuť/poskytnúť sociálnu pomoc,
-vykonávanie  poradenstva   pri   riešení   rodinných   problémov a sociálnych problémov;
-činnosti v oblasti sociálnoprávnej ochrany detí
-činnosti v oblasti krízovej intervencie
-činnosti v oblasti integrácie osôb so zdravotným postihnutím a seniorov 
-vyhľadávanie sociálne vylúčených klientov, ktorí nemajú schopnosť, resp. stratili zručnosť na riešenie svojich sociálnych problémov,
-nadväzovanie kontaktov s klientmi a sprostredkovanie kontaktov s oficiálnymi inštitúciami,
-poradenstvo pri osobných problémoch,
-krízová intervencia v ťažkých životných situáciách,
-podporovanie rozvoja osobnostnej kompetencie a motivácie vedúcej k samostatnému riešeniu svojich problémov,
-podporovanie a posilňovanie sebavedomia a zodpovednosti,
-prispievanie k prevencii násilia a dekriminalizácie skupín v komunite,
-sprostredkovanie lekárskej pomoci, terapie, detoxikácie,
-zmierňovanie procesu vyčlenenia zo spoločnosti,
-vykonávanie administratívnych činností.
V rámci organizačnej  štruktúry Mesta Bardejov (t.j. žiadateľa o NFP) budú vybraní TSP a ATSP zaradení pod Oddelenie sociálne, bytové a zdravotníctva Mestského úradu v Bardejove. Toto oddelenie bude zároveň vecným garantom úspešnej realizácie projektu, na čo má vytvorené personálne, odborné a materiálne predpoklady.
",,201,,DOP,,http://www.fsr.gov.sk,,FSR,,Prešovský kraj,,Okres Bardejov,http://sws.geonames.org/725167/,Bardejov,http://sws.geonames.org/725167/,2. Podpora sociálnej inklúzie,,2.1 Podpora sociálnej inklúzie osôb ohrozených vylúčením alebo sociálne vylúčených prostredníctvom rozvoja služieb starostlivosti s osobitným zreteľom na marginalizované rómske komunity,,1.10.2008,,30.9.2010,,Mesto Bardejov,,321842,,2020622923,,"Bardejov, Radničné námestie, 16",,"Obec (obecný úrad), mesto (mestský úrad)",,OP ZaSI - FSR - 2007/2.1/02,,"49.29433,21.2765",,N/A,,1724,,N/A,,1135,,N/A,
