Číslo projektu,,Názov prijímateľa,,Názov projektu,,Programová oblasť,,Kraj realizácie projektu -primárny,,Okres realizácie projektu - primárny,,ICorganizacie,,Pôvodný grant,,Zdroj financovania,,Výzva,,Komponent,,Začiatok realizácie projektu,,Plánované ukončenie projektu,,Číslo zmluvy,,Dátum účinnosti zmluvy,,PZ na CRZ - link,,STATUS PROJEKTU,
CLT02005,,Obec Štiavnické Bane,,Rekonštrukcia bašty a zriadenie expozície Maximiliána Hella - Štiavnické Bane,,SK05,,Banskobystrický,http://sws.geonames.org/3343954/,Banská Štiavnica,http://sws.geonames.org/3061184/,321028,," 287 343,00",,Granty EHP,,CLT02,,Hrady,,,,30.4.2016,,1105/2014,,11.11.2014,,http://www.crz.gov.sk/index.php?ID=1599231&l=sk,,Prebieha,
CLT02001,,Mesto Žilina,,Rosenfeldov palác - nové centrum kultúry v Žiline,,SK05,,Žilinský,http://sws.geonames.org/3056506/,Žilina,http://sws.geonames.org/3056508/,321796,," 590 923,00",,Granty EHP,,CLT02,,Hrady,,24.10.2014,,30.4.2017,,1103/2014,,11.11.2014,,http://www.crz.gov.sk/index.php?ID=1599227&l=sk,,Ukončený,
INC01003,,"Súkromné hudobné a dramatické konzervatórium, Požiarnicka 1, Košice",,Cez umenie k inklúzii,,SK04,,Košický,http://sws.geonames.org/865084/,Košice I,http://sws.geonames.org/8986335/,42107148,," 40 000,00",,Granty EHP,,INC01,,Schéma malých grantov,,27.9.2014,,31.12.2015,,1010/2014,,27.9.2014,,http://www.crz.gov.sk/index.php?ID=1536888&l=sk,,Ukončený,
ACC03060,,Stredná odborná škola,,Vzdelávanie v oblasti klímy a adaptačné opatrenia v Strednej odbornej škole,,SK02,,Banskobystrický,http://sws.geonames.org/3343954/,Veľký Krtíš,http://sws.geonames.org/3056824/,37890051,," 39 983,00",,Granty EHP,,ACC03,,Modré školy,,24.6.2014,,30.4.2015,,867/2014,,24.6.2014,,http://www.crz.gov.sk/index.php?ID=1415492&l=sk,,Ukončený,
DGV03002,,LUNA n.o.,,Ženský domov Trenčín,,SK09,,Trenčiansky,http://sws.geonames.org/3343957/,Trenčín,http://sws.geonames.org/3057139/,45736057,," 665 856,00",,Nórske granty,,DGV03,,Bezpečný ženský dom,,20.7.2015,,30.4.2016,,1024/2015,,1.9.2015,,http://www.crz.gov.sk/index.php?ID=2017714&l=sk,,Ukončený,
DGV03001,,Občianske združenie Brieždenie,,Centrum POKOJ - skvalitnenie služieb ochrany a podpory pre obete násilia v rodinách - CPSS,,SK09,,Žilinský,http://sws.geonames.org/3056506/,Martin,http://sws.geonames.org/3058779/,37802763,," 837 517,00",,Nórske granty,,DGV03,,Bezpečný ženský dom,,20.7.2015,,30.4.2017,,1009/2015,,1.9.2015,,http://www.crz.gov.sk/index.php?ID=2017656&l=sk,,Prebieha,
INC01011,,ZŠ Nižný Mirošov,,Znižovanie národných nerovností a podpora sociálnej inklúzie v rámci ZŠ Nižný Mirošov,,SK04,,Prešovský,http://sws.geonames.org/865085/,Svidník,http://sws.geonames.org/723416/,36158399,," 38 560,00",,Granty EHP,,INC01,,Schéma malých grantov,,30.9.2014,,30.4.2016,,1020/2014,,30.9.2014,,http://www.crz.gov.sk/index.php?ID=1539752&l=sk,,Ukončený,
CLT01001,,Ústredný zväz židovských náboženských obcí v Slovenskej republike.,,"Bardejovské Suburbium - záchrana, obnova a reštaurovanie Starej synagógy.",,SK05,,Prešovský,http://sws.geonames.org/865085/,Bardejov,http://sws.geonames.org/725167/,179221,," 522 203,00",,Granty EHP,,CLT01,,Kultúrne pamiatky (okrem hradov),,,,30.4.2017,,1098/2014,,19.11.2014,,http://www.crz.gov.sk/index.php?ID=1608143&l=sk,,Ukončený,
ACC03016,,Základná škola,,Vzdelávanie v oblasti klímy a adaptačné opatrenia v Základnej školy,,SK02,,Prešovský,http://sws.geonames.org/865085/,Prešov,http://sws.geonames.org/723818/,37877232,," 39 970,00",,Granty EHP,,ACC03,,Modré školy,,26.6.2014,,30.6.2015,,869/2014,,26.6.2014,,http://www.crz.gov.sk/index.php?ID=1418981&l=sk,,Ukončený,
ACC03014,,Základná škola s materskou školou Maximilána Hella,,Modrá škola v Štiavnických Baniach,,SK02,,Banskobystrický,http://sws.geonames.org/3343954/,Banská Štiavnica,http://sws.geonames.org/3061184/,37831127,," 39 999,00",,Granty EHP,,ACC03,,Modré školy,,9.4.2014,,28.2.2015,,921/2014,,30.7.2014,,http://www.crz.gov.sk/index.php?ID=1462405&l=sk,,Ukončený,
