CallCenterName,,RejectCauseName,,NrOfCalls,
Trenčín,http://sws.geonames.org/3057139/,byScript            ,,24,
Trnava,http://sws.geonames.org/3057122/,byScript            ,,62,
Trenčín,http://sws.geonames.org/3057139/,Omyl                ,,531,
Trenčín,http://sws.geonames.org/3057139/,Deti                ,,163,
Trnava,http://sws.geonames.org/3057122/,Úmyselné zneužitie  ,,27,
Banská Bystrica,http://sws.geonames.org/3061185/,byScript            ,,491,
Trnava,http://sws.geonames.org/3057122/,Requeued            ,,2,
Trenčín,http://sws.geonames.org/3057139/,Requeued            ,,1,
Banská Bystrica,http://sws.geonames.org/3061185/,Requeued            ,,2,
Trnava,http://sws.geonames.org/3057122/,Asociovaný          ,,842,
