_id,,Monht,,CallCenterName,,IdentifiedCalls,,UnidentifiedCalls,,AllCalls,,ReceivedCalls,,EligibleCalls,
69,,9,,Preov,,11296,,8306,,19602,,16322,,13661,
10,,2,,Bratislava,http://sws.geonames.org/3343955/,8595,,2112,,10707,,9644,,6097,
54,,7,,Trenčín,http://sws.geonames.org/3057139/,7773,,1868,,9641,,8462,,7060,
64,,8,,ilina,,8182,,2493,,10675,,9248,,8451,
47,,6,,Trnava,http://sws.geonames.org/3057122/,7447,,2497,,9944,,8822,,5633,
42,,6,,Bratislava,http://sws.geonames.org/3343955/,10693,,1838,,12531,,11402,,6859,
31,,4,,Trnava,http://sws.geonames.org/3057122/,6655,,2645,,9300,,8301,,5177,
13,,2,,Preov,,10035,,10521,,20556,,17503,,15329,
71,,9,,Trnava,http://sws.geonames.org/3057122/,6973,,2598,,9571,,8489,,5343,
82,,11,,Bratislava,http://sws.geonames.org/3343955/,9079,,2138,,11217,,10117,,6275,
