ID KÚ,,Názov KÚ,,pH,
842923,,MARUŠOVÁ,Marušová Nitra Slovak Republic http://sws.geonames.org/3058772/,"6,7",
854140,,RYBANY,Rybany Nitra Slovak Republic http://sws.geonames.org/3057786/,"6,6",
807575,,BYSTRANY,Bystrany Kosice Slovak Republic http://sws.geonames.org/725028/,"6,5",
835544,,MALÉ KOSIHY,Malé Kosihy Nitra Slovak Republic http://sws.geonames.org/3058852/,"6,7",
832961,,LIVOV,,"4,6",
806935,,BRIEŠTIE,Brieštie Zilina Slovak Republic http://sws.geonames.org/3060933/,"7,1",
814083,,DVORNÍKY,Dvorníky Trnava Slovak Republic http://sws.geonames.org/3060278/,6,
861014,,ŠOPORŇA,Šoporňa Trnava Slovak Republic http://sws.geonames.org/3057514/,"7,4",
827959,,KRAJNÁ POĽANA,,"5,4",
811769,,DOLNÁ SEČ,Dolná Seč Nitra Slovak Republic http://sws.geonames.org/3060491/,"6,4",
