_id,,Por č.,,Kód obce,,Názov obce,,Okres,,Kraj,
143,,143,,523011,,Ruská Bystrá,Ruská Bystrá Kosice Slovak Republic http://sws.geonames.org/723696/,Sobrance,Sobrance Kosice Slovak Republic http://sws.geonames.org/723554/,Košický kraj,
48,,48,,511447,,Hradište,Hradište Banska Bystrica Slovak Republic http://sws.geonames.org/3059889/,Poltár,Okres Poltár Banska Bystrica Slovak Republic http://sws.geonames.org/8986296/,Banskobystrický kraj,
122,,122,,543454,,Pavľany,Pavľany Presov Slovak Republic http://sws.geonames.org/723918/,Levoča,Levoča Okres Levoča Slovak Republic http://sws.geonames.org/724294/,Prešovský kraj,
128,,128,,528668,,Poľany,Poľany Kosice Slovak Republic http://sws.geonames.org/723855/,Trebišov,Okres Trebišov Kosice Slovak Republic http://sws.geonames.org/723357/,Košický kraj,
125,,125,,522911,,Pinkovce,Pinkovce Slovak Republic Slovak Republic http://sws.geonames.org/723888/,Sobrance,Sobrance Kosice Slovak Republic http://sws.geonames.org/723554/,Košický kraj,
44,,44,,518450,,Horný Tisovník,Horný Tisovník Banska Bystrica Slovak Republic http://sws.geonames.org/3059923/,Detva,Detva Banska Bystrica Slovak Republic http://sws.geonames.org/3060589/,Banskobystrický kraj,
163,,163,,523135,,Suché,Suché Kosice Slovak Republic http://sws.geonames.org/723447/,Michalovce,Gemerské Michalovce Banska Bystrica Slovak Republic http://sws.geonames.org/724793/,Košický kraj,
89,,89,,515574,,Leváre,Leváre Banska Bystrica Slovak Republic http://sws.geonames.org/723462/,Revúca,Revúca Banska Bystrica Slovak Republic http://sws.geonames.org/723747/,Banskobystrický kraj,
53,,53,,516074,,Ipeľské Predmostie,Ipeľské Predmostie Banska Bystrica Slovak Republic http://sws.geonames.org/3059780/,Veľký Krtíš,Okres Veľký Krtíš Banska Bystrica Slovak Republic http://sws.geonames.org/3056824/,Banskobystrický kraj,
160,,160,,520845,,Strihovce,Strihovce Slovak Republic Slovak Republic http://sws.geonames.org/723458/,Snina,Snina Presov Slovak Republic http://sws.geonames.org/723559/,Prešovský kraj,
