Názov organizácie,,Predstaviteľ,,Adresa organizácie,,,,Kontakt 1,,Kontakt 2,,Web,,E-mail,,Typ organizácie,,IČO,,Otváracie hodiny organizácie,,Počet zamestnancov,
Agentúra rozvoja vodnej dopravy ,,Ing. Martin Boroš,,"Námestie slobody č.6, P.O.BOX 9",,810 05 Bratislava 15 ,,02/594 94 753,94 Provincie West-Vlaanderen Kingdom of Belgium http://www.openstreetmap.org/way/555248557,421/917 957 270,,www.arvd.gov.sk,,info@arvd.gov.sk ,,rozpočtová,, 42 183 677     ,183 Alhama de Murcia Kingdom of Spain http://www.openstreetmap.org/node/1380992762,"Pon-Pia 7,30-14,30",,11,
Štátny fond rozvoja bývania ,,Ing. Jozef Kurňavka,,Lamačská cesta 8 ,,833 04 Bratislava ,,02/59364222 ,,02/59364207 ,,www.sfrb.sk,,info@sfrb.sk,,rozpočtová,, 31 749 542     ,,"Pon-Pia 6,30-15,30",,72,
"Letisko Košice - Airport Košice, a.s.",,"Ing. Tomáš Jančuš, PhD.",,Letisko Košice,,041 75 Košice IV,,055/65 32 123,32 Provincie West-Vlaanderen Kingdom of Belgium http://www.openstreetmap.org/way/555256148,055/68 32 202,32 Provincie West-Vlaanderen Kingdom of Belgium http://www.openstreetmap.org/way/555256148,www.airportkosice.sk,,manboard@airportkosice.sk,,obchodná spoločnost s majetkovou účasťou štátu,, 36 579 343     ,579 Paterna Kingdom of Spain http://www.openstreetmap.org/way/175890397,Nepretržite 24 hodín,,146,
Ministerstvo dopravy a výstavby SR,,PaedDr. Arpád Érsek,,Námestie slobody č.6 ,,810 05 Bratislava ,,02/59 494 669,494 Bury United Kingdom of Great Britain and Northern Ireland http://www.openstreetmap.org/relation/3326807,02/59 494 777,494 Bury United Kingdom of Great Britain and Northern Ireland http://www.openstreetmap.org/relation/3326807,www.mindop.sk,,obcan@mindop.sk,,,,30 416 094,416 Provincia di Bergamo Repubblica Italiana http://www.openstreetmap.org/way/44856210,"Úradné hodiny podateľne                                    Pon-Pia 8,00-15,30                              ",,617,
Slovenská stavebná inšpekcia ,,Ing. Rudolf Kovačka ,,Lamačská cesta 8,,811 04 Bratislava ,,02/38 105 322,105 Provincia di Potenza Repubblica Italiana http://www.openstreetmap.org/node/2466572517,02/38 105 323,105 Paterna Kingdom of Spain http://www.openstreetmap.org/way/45059614,www.ssiri.sk,,info@ssiri.sk,,rozpočtová,, 30 794 021     ,794 Provincia di Novara Repubblica Italiana http://www.openstreetmap.org/way/135301990,"Pon-Pia 9,00-14,00",,36,
"Národná diaľničná spoločnosť, a.s.",,Ing. Ján Ďurišin,,Mlynské nivy 45,,821 09 Bratislava,,02/58 311 111,311 Provincia di Potenza Repubblica Italiana http://www.openstreetmap.org/node/2990172333,,,www.ndsas.sk,,otazka@ndsas.sk,,obchodná spoločnost s majetkovou účasťou štátu,, 35 919 001     ,919 Provincia di Bergamo Repubblica Italiana http://www.openstreetmap.org/node/1139450827,"Prevádzka nepretržite 24 hodín                         Podateľňa Pon-Pia 8,00-16,00                     ",,1592,
"Slovenská pošta, a.s.",,"Ing. Róbert Gálik, MBA",,Partizánska cesta 9,,975 99 Banská Bystrica,,02/59 393 264,393 Alhama de Murcia Kingdom of Spain http://www.openstreetmap.org/node/1380992897,048/41 46 109,46 Provincie West-Vlaanderen Kingdom of Belgium http://www.openstreetmap.org/way/555242549,www.posta.sk,,zakaznickyservis@slposta.sk,,obchodná spoločnost s majetkovou účasťou štátu,, 36 631 124     ,631 Budapest Hungary http://www.openstreetmap.org/relation/4581978,https://otvaraciehodiny.posta.sk/,,13737,
"Železničná spoločnosť Slovensko, a.s.",,Mgr. Filip Hlubocký,,Rožňavská 1,,832 72 Bratislava,,02/20 297 880,297 Paterna Kingdom of Spain http://www.openstreetmap.org/way/45058976,02/44 461 498,461 Rochdale United Kingdom of Great Britain and Northern Ireland http://www.openstreetmap.org/relation/3327038,www.slovakrail.sk,,info@slovakrail.sk,,obchodná spoločnost s majetkovou účasťou štátu,, 35 914 939     ,914 Provincia di Bergamo Repubblica Italiana http://www.openstreetmap.org/node/1998865546,http://www.slovakrail.sk/sk/sluzby/sluzby-na-stanici/predajne-miesta-pokladnice.html,,5924,
Železnice Slovenskej republiky,,Mgr. Martin Erdössy,,Klemensova 8,,813 61 Bratislava,,02/20 297 007,297 Paterna Kingdom of Spain http://www.openstreetmap.org/way/45058976,02/20 297 018,297 Paterna Kingdom of Spain http://www.openstreetmap.org/way/45058976,www.zsr.sk,,hovorca@zsr.sk,,štátna podnikateľská organizácia,, 31 364 501     ,364 Paterna Kingdom of Spain http://www.openstreetmap.org/way/45062188,Nepretržite 24 hodín,,13929,
"Letisková spoločnosť Žilina, a.s.",,Ing. Ivan Schovanec,,Letisko,,013 41 Dolný Hričov,,041/50 68 103,68 Provincie West-Vlaanderen Kingdom of Belgium http://www.openstreetmap.org/way/555243020,041/50 68 100,,www.airport.sk,,admin@airport.sk,,obchodná spoločnost s majetkovou účasťou štátu,, 36 426 032     ,426 Paterna Kingdom of Spain http://www.openstreetmap.org/way/45060938,"Pon-Pia 8,00-16,00",,19,
