Local Authority,,FR,,DFL,,TP,,DLG,,OS(W),,OS(NPW),,OS(P),,OS(NPP),,SIMS,,OC1,,OC2,,Total,
PENDLE,,34,,4,,13,,336,,177,,4,,35,,5,,102,,659,,86,,1455,
WYCHAVON,,56,,23,,29,,566,,260,,2,,52,,0,,193,,1052,,208,,2441,
WEST OXFORDSHIRE,,20,,17,,26,,515,,247,,3,,44,,0,,123,,968,,218,,2181,
WREKIN,http://sws.geonames.org/6947740/,30,,29,,36,,698,,341,,7,,99,,0,,154,,1208,,274,,2876,
SOUTHWARK,http://sws.geonames.org/3333200/,12,,184,,14,,1303,,644,,25,,152,,0,,214,,3942,,757,,7247,
CENTRAL BEDFORDSHIRE,http://sws.geonames.org/7290535/,48,,42,,159,,1288,,630,,11,,145,,2,,217,,1986,,465,,4993,
CAMDEN,http://sws.geonames.org/3333138/,4,,228,,11,,1291,,621,,15,,213,,0,,202,,4464,,791,,7840,
BARNET,http://sws.geonames.org/2656295/,19,,178,,14,,1771,,796,,10,,211,,0,,192,,4093,,741,,8025,
REIGATE AND BANSTEAD,,9,,48,,33,,769,,305,,3,,69,,0,,140,,1406,,314,,3096,
FYLDE,http://sws.geonames.org/2648970/,15,,13,,11,,365,,181,,2,,22,,0,,99,,817,,121,,1646,
