Year,,Region,,Geographical Code,,ONS Code,,Jpp Order,,Authority,,Authority Type,,Landfilled ,,Incineration with EfW,,Incineration without EfW 4,,Recycled/ Composted,,Other1 ,,Total2,,Input to intermediate plants3,
2015-16,,London,City of London City of London United Kingdom of Great Britain and Northern Ireland http://sws.geonames.org/2643741/,2760,,E50000004,,271,,Western Riverside Waste Authority,,Disposal,,0,,321927,,0,,76511,,2608,,401046,,7099,
2016-17,,South East,South East England United Kingdom of Great Britain and Northern Ireland http://sws.geonames.org/2637438/,2780,,E06000040,,273,,Windsor and Maidenhead Borough Council,,Unitary,,52,,36926,,0,,34568,,404,,71950,,4204,
2016-17,,South West,,3730,,E06000029,,369,,Poole Borough Council,,Unitary,,10979,,28366,,0,,38308,,2352,,80007,,23220,
2014-15,,Eastern,Eastern England United Kingdom of Great Britain and Northern Ireland http://sws.geonames.org/2650458/,2310,,E10000020,,226,,Norfolk County Council,,Disposal,,153262,,76300,,38,,175112,,0,,404712,,29383,
2015-16,,West Midlands,West Midlands England United Kingdom of Great Britain and Northern Ireland http://sws.geonames.org/2634343/,1530,,E06000020,,151,,Telford and Wrekin Council,,Unitary,,44412,,1275,,4,,41225,,179,,87096,,3048,
2016-17,,Eastern,Eastern England United Kingdom of Great Britain and Northern Ireland http://sws.geonames.org/2650458/,2390,,E10000029,,234,,Suffolk County Council,,Disposal,,4044,,196606,,0,,185924,,6299,,392874,,11087,
2014-15,,Yorkshire and Humber,,920,,E08000018,,88,,Rotherham MBC,,Unitary,,39360,,28482,,0,,47280,,3484,,118607,,7302,
2016-17,,Yorkshire and Humber,,790,,E06000010,,75,,Kingston-upon-Hull City Council,,Unitary,,5032,,58124,,0,,63438,,196,,126791,,70630,
2014-15,,North East,,270,,E08000020,,25,,Gateshead MBC,,Unitary,,5246,,55103,,11,,32639,,34,,93033,,1751,
2014-15,,South West,,3890,,E06000024,,385,,North Somerset Council,,Unitary,,19728,,17931,,0,,66220,,4447,,108326,,27187,
