Region,,FR,,DFL,,TP,,DLG,,OS(W),,OS(NPW),,OS(P),,OS(NPP),,SIMS,,OC1,,OC2,,Total,
North West,North West England United Kingdom of Great Britain and Northern Ireland http://sws.geonames.org/2641227/,1267,,1515,,747,,27399,,12140,,314,,2067,,7,,3995,,36898,,6595,,92944,
West Midlands,West Midlands England United Kingdom of Great Britain and Northern Ireland http://sws.geonames.org/2634343/,1081,,915,,989,,22620,,9907,,166,,1888,,14,,3245,,26671,,5063,,72559,
Greater London,Greater London England United Kingdom of Great Britain and Northern Ireland http://sws.geonames.org/2648109/,220,,3840,,758,,39222,,18659,,345,,3924,,0,,3528,,69326,,13903,,153725,
East Midlands,,1214,,927,,962,,19529,,8871,,177,,2106,,6,,2781,,21562,,4179,,62314,
England & Wales (not assigned),,1,,0,,0,,0,,0,,0,,0,,0,,0,,12,,39,,52,
South East,South East England United Kingdom of Great Britain and Northern Ireland http://sws.geonames.org/2637438/,1802,,2503,,2236,,59922,,25896,,496,,5574,,19,,7899,,70805,,15927,,193079,
Yorks & Humber,,1165,,1131,,810,,21816,,11155,,211,,1906,,4,,3007,,25620,,4177,,71002,
South West,,1731,,1154,,1279,,27154,,12045,,186,,2918,,20,,3896,,28869,,6020,,85272,
Isles of Scilly,Isles of Scilly England United Kingdom of Great Britain and Northern Ireland http://sws.geonames.org/2638384/,2,,0,,1,,10,,0,,0,,0,,0,,0,,8,,1,,22,
North,,921,,362,,632,,12715,,5841,,136,,1239,,3,,1608,,13877,,2691,,40025,
