Metrics,, ,,,,,,,,,,,,,,,,,,,,,,,
ALL COUNTIES,,0,,0,,0,,2,,0,,0,,0,,0,,0,,4,,51,,57,
ASHFIELD,http://sws.geonames.org/2656958/,21,,59,,35,,728,,341,,3,,56,,0,,48,,1014,,202,,2507,
CITY OF NOTTINGHAM,,21,,79,,72,,1680,,686,,10,,166,,0,,68,,3229,,655,,6666,
EAST LINDSEY,,58,,43,,37,,896,,449,,26,,52,,0,,94,,1437,,243,,3335,
TORRIDGE,http://sws.geonames.org/2635641/,42,,18,,40,,516,,243,,1,,88,,0,,42,,799,,191,,1980,
NEWCASTLE UPON TYNE,http://sws.geonames.org/3333174/,31,,116,,93,,1598,,765,,7,,112,,0,,111,,2987,,585,,6405,
CHORLEY,http://sws.geonames.org/2653086/,27,,47,,43,,804,,301,,6,,62,,0,,77,,1076,,283,,2726,
TEIGNBRIDGE,,13,,18,,50,,873,,433,,9,,95,,0,,48,,1542,,360,,3441,
RUSHMOOR,http://sws.geonames.org/9884102/,14,,55,,6,,621,,315,,7,,72,,0,,22,,1006,,252,,2370,
SOUTH NORTHAMPTONSHIRE,,20,,14,,64,,664,,301,,3,,121,,0,,49,,1041,,238,,2515,
