NUTS1,,NUTS2,,NUTS3,,DISTRICT_CODE,,DISTRICT_NAME,,LAU_CODE,,LAU_NAME,,POP_MEN,,POP_WOMEN,,POP_TOTAL,,REF_DATE,
AT2,,AT22,Steiermark Republic of Austria Republic of Austria http://sws.geonames.org/2764581/,AT226,,614,,Murau,Murau Murau Republic of Austria http://sws.geonames.org/2762157/,61443,,Sankt Lambrecht ,Sankt Lambrecht Rosegg Republic of Austria http://sws.geonames.org/2766616/,983,,1031,,2014,,01.01.2012,
AT2,,AT22,Steiermark Republic of Austria Republic of Austria http://sws.geonames.org/2764581/,AT224,,622,,Hartberg-Fürstenfeld,,62262,,Wenigzell ,Wenigzell Politischer Bezirk Hartberg-Fürstenfeld Republic of Austria http://sws.geonames.org/2761494/,729,,691,,1420,,01.01.2012,
AT2,,AT22,Steiermark Republic of Austria Republic of Austria http://sws.geonames.org/2764581/,AT221,Politischer Bezirk Graz-Umgebung Steiermark Republic of Austria http://sws.geonames.org/2778057/,606,,Graz-Umgebung,Politischer Bezirk Graz-Umgebung Steiermark Republic of Austria http://sws.geonames.org/2778057/,60667,,Raaba-Grambach  ,,1891,,1946,,3837,,01.01.2012,
AT2,,AT22,Steiermark Republic of Austria Republic of Austria http://sws.geonames.org/2764581/,AT225,,610,,Leibnitz,Politischer Bezirk Leibnitz Steiermark Republic of Austria http://sws.geonames.org/2772752/,61024,,Oberhaag ,Oberhaag Politischer Bezirk Leibnitz Republic of Austria http://sws.geonames.org/7872408/,1132,,1125,,2257,,01.01.2012,
AT2,,AT22,Steiermark Republic of Austria Republic of Austria http://sws.geonames.org/2764581/,AT222,,612,,Liezen,Liezen Politischer Bezirk Liezen Republic of Austria http://sws.geonames.org/7873501/,61213,,Gröbming ,Gröbmingbach Steiermark Republic of Austria http://sws.geonames.org/2777924/,1357,,1483,,2840,,01.01.2012,
AT2,,AT22,Steiermark Republic of Austria Republic of Austria http://sws.geonames.org/2764581/,AT225,,610,,Leibnitz,Politischer Bezirk Leibnitz Steiermark Republic of Austria http://sws.geonames.org/2772752/,61054,,Leutschach an der Weinstraße ,,1886,,1920,,3806,,01.01.2012,
AT2,,AT22,Steiermark Republic of Austria Republic of Austria http://sws.geonames.org/2764581/,AT223,,611,,Leoben,Politischer Bezirk Leoben Steiermark Republic of Austria http://sws.geonames.org/2772648/,61108,,Leoben ,Politischer Bezirk Leoben Steiermark Republic of Austria http://sws.geonames.org/2772648/,12011,,12556,,24567,,01.01.2012,
AT2,,AT22,Steiermark Republic of Austria Republic of Austria http://sws.geonames.org/2764581/,AT225,,603,,Deutschlandsberg,Deutschlandsberg Deutschlandsberg Republic of Austria http://sws.geonames.org/2781023/,60348,,Sankt Stefan ob Stainz ,Sankt Stefan ob Stainz Sankt Stefan ob Stainz Republic of Austria http://sws.geonames.org/2766390/,1793,,1824,,3617,,01.01.2012,
AT2,,AT22,Steiermark Republic of Austria Republic of Austria http://sws.geonames.org/2764581/,AT221,Politischer Bezirk Graz-Umgebung Steiermark Republic of Austria http://sws.geonames.org/2778057/,606,,Graz-Umgebung,Politischer Bezirk Graz-Umgebung Steiermark Republic of Austria http://sws.geonames.org/2778057/,60648,,Thal ,Thal Thal Republic of Austria http://sws.geonames.org/7304078/,1098,,1135,,2233,,01.01.2012,
AT2,,AT22,Steiermark Republic of Austria Republic of Austria http://sws.geonames.org/2764581/,AT225,,610,,Leibnitz,Politischer Bezirk Leibnitz Steiermark Republic of Austria http://sws.geonames.org/2772752/,61053,,Leibnitz ,Politischer Bezirk Leibnitz Steiermark Republic of Austria http://sws.geonames.org/2772752/,5379,,5988,,11367,,01.01.2012,
