Bezirk_Id,,Bezirk,,Gemeinde_Id,,Gemeinde,,Wahlberechtigte männlich,,Wahlberechtigte weiblich,,Auslandstiroler Wahlberechtigte männlich,,Auslandstiroler Wahlberechtigte weiblich,,Wahlberechtigte gesamt,,Abgegebene Stimmen,,Wahlbeteiligung,,Gültige Stimmen,,Ungültige Stimmen,,Nr./Kandidat1,,Name/Kandidat1,,Stimmen/Kandidat1,,Prozente/Kandidat1,,Nr./Kandidat2,,Name/Kandidat2,,Stimmen/Kandidat2,,Prozente/Kandidat2,,,
707,,Lienz,http://sws.geonames.org/2772505/,70718,,Nikolsdorf,http://sws.geonames.org/2770479/,353,,368,,0,,0,,721,,553,,"76,70",,540,,13,,1,,Brandstätter Gotthard,,341,,"63,15",,2,,Standteiner Gerald,,199,,"36,85",,,
706,,Landeck,http://sws.geonames.org/7872581/,70630,,Zams,http://sws.geonames.org/7873673/,1262,,1402,,0,,0,,2664,,2056,,"77,18",,2036,,20,,1,,Gstir Helmut,,837,,"41,11",,2,,"Geiger Siegmund, Mag.",,1199,,"58,89",,,
709,,Schwaz,http://sws.geonames.org/2765389/,70922,,Ramsau im Zillertal,http://sws.geonames.org/7873709/,602,,626,,0,,0,,1228,,1029,,"83,79",,1018,,11,,1,,Rauch Franz,,504,,"49,51",,4,,Steiner Friedrich,,514,,"50,49",,,
704,,Kitzbühel,http://sws.geonames.org/7872559/,70417,,St. Ulrich am Pillersee,http://sws.geonames.org/7873641/,667,,638,,0,,0,,1305,,1006,,"77,09",,993,,13,,1,,Wörter Georg,,417,,"41,99",,2,,Lackner Brigitte,,576,,"58,01",,,
708,,Reutte,http://sws.geonames.org/7873694/,70828,,Reutte,http://sws.geonames.org/7873694/,1977,,2200,,0,,0,,4177,,3004,,"71,92",,2971,,33,,2,,Koler Dietmar,,1476,,"49,68",,3,,Oberer Alois,,1495,,"50,32",,,
702,,Imst,http://sws.geonames.org/2775307/,70210,,Mils bei Imst,http://sws.geonames.org/2771582/,218,,218,,0,,0,,436,,413,,"94,72",,409,,4,,1,,"Schöpf Bernhard, Bmst. Ing.",,194,,"47,43",,3,,"Moser Markus, Dr.",,215,,"52,57",,,
702,,Imst,http://sws.geonames.org/2775307/,70203,,Imst,http://sws.geonames.org/2775307/,3422,,3714,,0,,0,,7136,,4581,,"64,20",,4551,,30,,2,,Mantl Gebhard,,2037,,"44,76",,5,,Weirather Stefan,,2514,,"55,24",,,
703,,Innsbruck-Land,,70357,,Telfs,http://sws.geonames.org/2763810/,5180,,5561,,0,,0,,10741,,7066,,"65,79",,7009,,57,,1,,"Opperer Stephan, Dr.",,3356,,"47,88",,6,,Härting Christian,,3653,,"52,12",,,
703,,Innsbruck-Land,,70333,,Navis,http://sws.geonames.org/2770909/,819,,785,,0,,0,,1604,,1331,,"82,98",,1324,,7,,1,,Plautz Konrad,,565,,"42,67",,7,,Pixner Hubert,,759,,"57,33",,,
705,,Kufstein,http://sws.geonames.org/2608633/,70515,,Langkampfen,http://sws.geonames.org/6559656/,1503,,1537,,0,,0,,3040,,2221,,"73,06",,2203,,18,,1,,"Buchauer Martin, Mag.",,1084,,"49,21",,2,,Karrer Georg,,1119,,"50,79",,,
