NUTS1,,NUTS2,,NUTS3,,DISTRICT_CODE,,DISTRICT_NAME,,LAU_CODE,,LAU_NAME,,POP_TOTAL,,REF_DATE,,FIN_DATE,
AT2,,AT22,Steiermark Republic of Austria Republic of Austria http://sws.geonames.org/2764581/,AT224,,622,,Hartberg-Fürstenfeld,,62277,,Rohrbach an der Lafnitz,Rohrbach an der Lafnitz Rohrbach an der Lafnitz Republic of Austria http://sws.geonames.org/2767285/,2723,,31.10.2013,,2015,
AT2,,AT22,Steiermark Republic of Austria Republic of Austria http://sws.geonames.org/2764581/,AT224,,622,,Hartberg-Fürstenfeld,,62252,,Söchau,Söchau Söchau Republic of Austria http://sws.geonames.org/2764970/,1408,,31.10.2013,,2015,
AT2,,AT22,Steiermark Republic of Austria Republic of Austria http://sws.geonames.org/2764581/,AT224,,622,,Hartberg-Fürstenfeld,,62205,,Buch-St. Magdalena,Buch-St. Magdalena Politischer Bezirk Hartberg-Fürstenfeld Republic of Austria http://sws.geonames.org/8989982/,2159,,31.10.2013,,2015,
AT2,,AT22,Steiermark Republic of Austria Republic of Austria http://sws.geonames.org/2764581/,AT224,,617,,Weiz,Politischer Bezirk Weiz Steiermark Republic of Austria http://sws.geonames.org/2761530/,61765,,Sankt Ruprecht an der Raab,Sankt Ruprecht an der Raab Sankt Ruprecht an der Raab Republic of Austria http://sws.geonames.org/2766410/,4917,,31.10.2013,,2015,
AT2,,AT22,Steiermark Republic of Austria Republic of Austria http://sws.geonames.org/2764581/,AT225,,610,,Leibnitz,Politischer Bezirk Leibnitz Steiermark Republic of Austria http://sws.geonames.org/2772752/,61019,,Kitzeck im Sausal,Kitzeck im Sausal Kitzeck im Sausal Republic of Austria http://sws.geonames.org/2774341/,1212,,31.10.2013,,2015,
AT2,,AT22,Steiermark Republic of Austria Republic of Austria http://sws.geonames.org/2764581/,AT224,,623,,Südoststeiermark,,62378,,Fehring,Fehring Fehring Republic of Austria http://sws.geonames.org/2779767/,7363,,31.10.2013,,2015,
AT2,,AT22,Steiermark Republic of Austria Republic of Austria http://sws.geonames.org/2764581/,AT221,Politischer Bezirk Graz-Umgebung Steiermark Republic of Austria http://sws.geonames.org/2778057/,606,,Graz-Umgebung,Politischer Bezirk Graz-Umgebung Steiermark Republic of Austria http://sws.geonames.org/2778057/,60654,,Weinitzen,Weinitzen Politischer Bezirk Graz-Umgebung Republic of Austria http://sws.geonames.org/2761688/,2586,,31.10.2013,,2015,
AT2,,AT22,Steiermark Republic of Austria Republic of Austria http://sws.geonames.org/2764581/,AT224,,622,,Hartberg-Fürstenfeld,,62276,,Rohr bei Hartberg,Rohr bei Hartberg Politischer Bezirk Hartberg-Fürstenfeld Republic of Austria http://sws.geonames.org/7872361/,1472,,31.10.2013,,2015,
AT2,,AT22,Steiermark Republic of Austria Republic of Austria http://sws.geonames.org/2764581/,AT225,,603,,Deutschlandsberg,Deutschlandsberg Deutschlandsberg Republic of Austria http://sws.geonames.org/2781023/,60324,,Preding,Preding Preding Republic of Austria http://sws.geonames.org/2768393/,1693,,31.10.2013,,2015,
AT2,,AT22,Steiermark Republic of Austria Republic of Austria http://sws.geonames.org/2764581/,AT224,,623,,Südoststeiermark,,62381,,Kirchbach-Zerlach,,3242,,31.10.2013,,2015,
