NUTS1,,NUTS2,,NUTS3,,LAU2_CODE,,LAU2_NAME,,LIVEBIRTHS_TOTAL,,LIVEBIRTHS_MALE,,LIVEBIRTHS_FEMALE,,YEAR,
AT1,,AT12,http://sws.geonames.org/2770542/,AT124,,32223,,Windigsteig,http://sws.geonames.org/7873052/,9,,3,,6,,2012,
AT1,,AT12,http://sws.geonames.org/2770542/,AT124,,31326,,Maria Laach am Jauerling,http://sws.geonames.org/2771925/,6,,3,,3,,2011,
AT1,,AT12,http://sws.geonames.org/2770542/,AT121,http://sws.geonames.org/2782554/,32010,,Reinsberg,http://sws.geonames.org/2767696/,10,,7,,3,,2012,
AT1,,AT12,http://sws.geonames.org/2770542/,AT121,http://sws.geonames.org/2782554/,32007,,Puchenstuben,http://sws.geonames.org/7871901/,4,,4,,0,,2016,
AT1,,AT12,http://sws.geonames.org/2770542/,AT123,,31917,,Kasten bei Böheimkirchen,http://sws.geonames.org/2774641/,12,,2,,10,,2014,
AT1,,AT12,http://sws.geonames.org/2770542/,AT122,,32321,,Miesenbach,http://sws.geonames.org/2771599/,6,,2,,4,,2013,
AT1,,AT12,http://sws.geonames.org/2770542/,AT124,,32520,,Pölla,http://sws.geonames.org/2768593/,10,,3,,7,,2013,
AT1,,AT12,http://sws.geonames.org/2770542/,AT126,,31202,,Enzersfeld im Weinviertel,,12,,6,,6,,2015,
AT1,,AT12,http://sws.geonames.org/2770542/,AT122,,31810,,Gloggnitz,http://sws.geonames.org/2778455/,38,,19,,19,,2015,
AT1,,AT12,http://sws.geonames.org/2770542/,AT126,,31622,,Hochleithen,http://sws.geonames.org/7872962/,8,,4,,4,,2012,
