NUTS1,,NUTS2,,NUTS3,,DISTRICT_CODE,,SUB_DISTRICT_CODE,,SEX,,DEATH,,REF_YEAR,
AT1,,AT13,http://sws.geonames.org/2761367/,AT130,http://sws.geonames.org/2761367/,91200,,91202,,2,,95,,2010,
AT1,,AT13,http://sws.geonames.org/2761367/,AT130,http://sws.geonames.org/2761367/,91600,,91607,,2,,44,,2012,
AT1,,AT13,http://sws.geonames.org/2761367/,AT130,http://sws.geonames.org/2761367/,92300,,92319,,2,,32,,2013,
AT1,,AT13,http://sws.geonames.org/2761367/,AT130,http://sws.geonames.org/2761367/,91000,,91008,,1,,27,,2012,
AT1,,AT13,http://sws.geonames.org/2761367/,AT130,http://sws.geonames.org/2761367/,91600,,91601,,2,,32,,2011,
AT1,,AT13,http://sws.geonames.org/2761367/,AT130,http://sws.geonames.org/2761367/,90400,,90403,,1,,39,,2012,
AT1,,AT13,http://sws.geonames.org/2761367/,AT130,http://sws.geonames.org/2761367/,91200,,91208,,1,,16,,2010,
AT1,,AT13,http://sws.geonames.org/2761367/,AT130,http://sws.geonames.org/2761367/,91400,,91405,,2,,17,,2010,
AT1,,AT13,http://sws.geonames.org/2761367/,AT130,http://sws.geonames.org/2761367/,92300,,92399,,1,,40,,2012,
AT1,,AT13,http://sws.geonames.org/2761367/,AT130,http://sws.geonames.org/2761367/,90900,,90999,,2,,20,,2011,
