Politischer Bezirk/Gebiet,,Zuzüge Männer,,Zuzüge Frauen,,Zuzüge InländerInnen,,Zuzüge AusländerInnen,
Linz-Land,Politischer Bezirk Linz-Land Oberösterreich Republic of Austria http://sws.geonames.org/2772396/,1061,,994,,1517,,538,
Freistadt,Freistadt Politischer Bezirk Freistadt Republic of Austria http://sws.geonames.org/7871993/,187,,215,,342,,60,
Rohrbach,Rohrbach Pfaffenschlag bei Waidhofen a.d.Thaya Republic of Austria http://sws.geonames.org/2767291/,162,,171,,275,,58,
Vöcklabruck,Vöcklabruck Vöcklabruck Republic of Austria http://sws.geonames.org/2762343/,166,,129,,132,,163,
Tirol,Tirol Republic of Austria Republic of Austria http://sws.geonames.org/2763587/,61,,56,,74,,43,
Zuzüge gesamt,,5382,,4843,,5639,,4586,
Urfahr-Umgebung,Politischer Bezirk Urfahr-Umgebung Oberösterreich Republic of Austria http://sws.geonames.org/2762517/,401,,393,,658,,136,
Grieskirchen,Politischer Bezirk Grieskirchen Oberösterreich Republic of Austria http://sws.geonames.org/2777971/,62,,80,,107,,35,
Eferding,Politischer Bezirk Eferding Oberösterreich Republic of Austria http://sws.geonames.org/2780393/,59,,64,,89,,34,
Wels-Land,Wels-Land Oberösterreich Republic of Austria http://sws.geonames.org/2761523/,106,,63,,119,,50,
