parameter,,wertvon,,wertbis,,betreiber,,strasse,,land,,plz,,ort,,betreiberid,
NSPC,,9024,,9031,,Brennercom Tirol GmbH,,Eduard-Bodem-Gasse 8,,A,,6020,,Innsbruck,Innsbruck Innsbruck Republic of Austria http://sws.geonames.org/6474232/,2201,
ISPC,,2-65-6,,,,A1 Telekom Austria Aktiengesellschaft,,Lassallestrasse 9,,A,,1020,Gemeindebezirk Leopoldstadt Wien Stadt Republic of Austria http://sws.geonames.org/2772614/,Wien,Vienna Gemeindebezirk Innere Stadt Republic of Austria http://sws.geonames.org/2761369/,1522,
ISPC,,2-67-3,,,,ÖBB Infrastruktur Aktiengesellschaft,,Praterstern 3,Praterstern Gemeindebezirk Leopoldstadt Republic of Austria http://www.openstreetmap.org/node/27399707,A,,1020,Gemeindebezirk Leopoldstadt Wien Stadt Republic of Austria http://sws.geonames.org/2772614/,Wien,Vienna Gemeindebezirk Innere Stadt Republic of Austria http://sws.geonames.org/2761369/,3625,
NSPC,,9040,,9047,,Hutchison 3G Austria GmbH,,"Gasometer C, Guglgasse 12/10/3",Guglgasse Gemeindebezirk Landstrasse Republic of Austria http://www.openstreetmap.org/relation/7490648,A,,1110,Gemeindebezirk Simmering Wien Stadt Republic of Austria http://sws.geonames.org/2765027/,Wien,Vienna Gemeindebezirk Innere Stadt Republic of Austria http://sws.geonames.org/2761369/,1540,
NSPC,,8208,,8215,,Colt Technology Services GmbH,,Kärntner Ring 10-12,Kärntner Ring Gemeindebezirk Innere Stadt Republic of Austria http://www.openstreetmap.org/node/3159296876,A,,1010,Gemeindebezirk Innere Stadt Wien Stadt Republic of Austria http://sws.geonames.org/2775259/,Wien,Vienna Gemeindebezirk Innere Stadt Republic of Austria http://sws.geonames.org/2761369/,1552,
ISPC,,2-65-1,,,,A1 Telekom Austria Aktiengesellschaft,,Lassallestrasse 9,,A,,1020,Gemeindebezirk Leopoldstadt Wien Stadt Republic of Austria http://sws.geonames.org/2772614/,Wien,Vienna Gemeindebezirk Innere Stadt Republic of Austria http://sws.geonames.org/2761369/,1522,
NSPC,,8848,,8855,,fairytel communications gmbh,,Trappelgasse 4,Trappelgasse Gemeindebezirk Wieden Republic of Austria http://www.openstreetmap.org/way/5848381,A,,1040,Gemeindebezirk Wieden Wien Stadt Republic of Austria http://sws.geonames.org/2761393/,Wien,Vienna Gemeindebezirk Innere Stadt Republic of Austria http://sws.geonames.org/2761369/,1810,
ISPC,,2-64-1,,,,A1 Telekom Austria Aktiengesellschaft,,Lassallestrasse 9,,A,,1020,Gemeindebezirk Leopoldstadt Wien Stadt Republic of Austria http://sws.geonames.org/2772614/,Wien,Vienna Gemeindebezirk Innere Stadt Republic of Austria http://sws.geonames.org/2761369/,1522,
ISPC,,2-65-4,,,,A1 Telekom Austria Aktiengesellschaft,,Lassallestrasse 9,,A,,1020,Gemeindebezirk Leopoldstadt Wien Stadt Republic of Austria http://sws.geonames.org/2772614/,Wien,Vienna Gemeindebezirk Innere Stadt Republic of Austria http://sws.geonames.org/2761369/,1522,
MNC,,232-02,,,,A1 Telekom Austria Aktiengesellschaft,,Lassallestrasse 9,,A,,1020,Gemeindebezirk Leopoldstadt Wien Stadt Republic of Austria http://sws.geonames.org/2772614/,Wien,Vienna Gemeindebezirk Innere Stadt Republic of Austria http://sws.geonames.org/2761369/,1522,
