OKZ,,OKZu,,Bezeichnung 1,,Bezeichnung 2,,Bezeichnung 3,,Postadresse-Straße,,Postadresse-Hausnummer,,Postadresse-Zusatz,,Postadresse-Postfach,,Postadresse-PLZ,,Postadresse-Ort,,Postadresse-Bundesland,,Postadresse-Land,,Postadresse-Ländercode,,Postadresse-Adresszeile 1,,Postadresse-Adresszeile 2,,Postadresse-Adresszeile 3,,Postadresse-Adresscode,,Besuchsadresse-Straße,,Besuchsadresse-Hausnummer,,Besuchsadresse-Zusatz,,Besuchsadresse-PLZ,,Besuchsadresse-Ort,,Besuchsadresse-Bundesland,,Besuchsadresse-Land,,Besuchsadresse-Ländercode,,Besuchsadresse-Adresszeile 1,,Besuchsadresse-Adresszeile 2,,Besuchsadresse-Adresszeile 3,,Besuchsadresse-Adresscode,,Telefonnummer,,Fax,,Mail,,Homepage,,Amtsstunden,,Parteienverkehr,,ERsB-Nr,,Datenherkunft,,Erstellungsdatum,
L7BH-KU-BH,,L7BH-KU,,Bezirkshauptmannschaft Kufstein,,Büro Bezirkshauptmann,,,,Bozner Platz,,1,,,,,,6330,http://sws.geonames.org/2773300/,Kufstein,http://sws.geonames.org/2608633/,Tirol,http://sws.geonames.org/2763587/,ÖSTERREICH,,AUT,,Bozner Platz 1,,6330 Kufstein,,,,5087524,,,,,,,,,,,,,,,,,,,,,,,,,,+43 5372 606 6002,,+43 5372 606 746015,,bh.ku.buero.bezirkshauptmann@tirol.gv.at,,https://www.tirol.gv.at/kufstein,,,,"Montag von 8:00 Uhr bis 12:00 Uhr und von 13:30 Uhr bis 16:30 Uhr, Dienstag bis Donnerstag von 8:00 Uhr bis 12:00 Uhr und nach Vereinbarung, Freitag von 8:00 Uhr bis 12:00 Uhr",,,,L7AL,,2018-03-22,
L7AL-Abt-Landesentw-Zukunft,,L7AL-Gr-Umwelt-Raumord-Verkehr,,Amt der Tiroler Landesregierung,,Abteilung Landesentwicklung und Zukunftsstrategie,,,,Heiliggeiststraße,,7,,,,,,6020,,Innsbruck,http://sws.geonames.org/6474232/,Tirol,http://sws.geonames.org/2763587/,ÖSTERREICH,,AUT,,Heiliggeiststraße 7,,6020 Innsbruck,,,,5003933,,,,,,,,,,,,,,,,,,,,,,,,,,+43 512 508 3602,,+43 512 508 743605,,landesentwicklung@tirol.gv.at,,https://www.tirol.gv.at/landesentwicklung-zukunftsstrategie,,,,"Montag von 8:00 Uhr bis 12:00 Uhr und von 14:30 Uhr bis 16:30 Uhr, Dienstag bis Donnerstag von 8:00 Uhr bis 12:00 Uhr und nach Vereinbarung, Freitag von 8:00 Uhr bis 12:00 Uhr",,,,L7AL,,2018-03-22,
L7AL-Gr-Agrar,,L7AL,,Amt der Tiroler Landesregierung,,Gruppe Agrar,,,,Heiliggeiststraße,,7,,,,,,6020,,Innsbruck,http://sws.geonames.org/6474232/,Tirol,http://sws.geonames.org/2763587/,ÖSTERREICH,,AUT,,Heiliggeiststraße 7,,6020 Innsbruck,,,,5003933,,,,,,,,,,,,,,,,,,,,,,,,,,+43 512 508 3902,,+43 512 508 743905,,gr.agrar@tirol.gv.at,,https://www.tirol.gv.at/agrar,,,,"Montag von 8:00 Uhr bis 12:00 Uhr und von 14:30 Uhr bis 16:30 Uhr, Dienstag bis Donnerstag von 8:00 Uhr bis 12:00 Uhr und nach Vereinbarung, Freitag von 8:00 Uhr bis 12:00 Uhr",,,,L7AL,,2018-03-22,
L7AL-Abt-Organisation-Personal,,L7AL-Gr-Praesidium,,Amt der Tiroler Landesregierung,,Abteilung Organisation und Personal,,,,Eduard-Wallnöfer-Platz,,3,,,,,,6020,,Innsbruck,http://sws.geonames.org/6474232/,Tirol,http://sws.geonames.org/2763587/,ÖSTERREICH,,AUT,,Eduard-Wallnöfer-Platz 3,,6020 Innsbruck,,,,5006194,,,,,,,,,,,,,,,,,,,,,,,,,,+43 512 508 2222,,+43 512 508 742225,,organisation.personal@tirol.gv.at,,https://www.tirol.gv.at/organisation-personal,,,,"Montag von 8:00 Uhr bis 12:00 Uhr und von 14:30 Uhr bis 16:30 Uhr, Dienstag bis Donnerstag von 8:00 Uhr bis 12:00 Uhr und nach Vereinbarung, Freitag von 8:00 Uhr bis 12:00 Uhr",,,,L7AL,,2018-03-22,
L7BH-KB,,L7BH-KB,,Bezirkshauptmannschaft Kitzbühel,,,,,,Josef-Herold-Straße,,10,,,,,,6370,http://sws.geonames.org/2774347/,Kitzbühel,http://sws.geonames.org/7872559/,Tirol,http://sws.geonames.org/2763587/,ÖSTERREICH,,AUT,,Josef-Herold-Straße 10,,6370 Kitzbühel,,,,5070222,,,,,,,,,,,,,,,,,,,,,,,,,,+43 5356 62131 0,,+43 5356 62131 746305,,bh.kitzbuehel@tirol.gv.at,,https://www.tirol.gv.at/kitzbuehel,,,,"Montag von 8:00 Uhr bis 12:00 Uhr und von 14:00 Uhr bis 16:30 Uhr, Dienstag bis Freitag von 8:00 Uhr bis 12:00 Uhr und nach Vereinbarung",,9110023870151,,L7AL,,2018-03-22,
L7BH-RE-Jagd-Fischerei,,L7BH-RE-Wasser-Energie,,Bezirkshauptmannschaft Reutte,,"Jagd, Fischerei",,,,Obermarkt,,7,,,,,,6600,http://sws.geonames.org/2767511/,Reutte,http://sws.geonames.org/7873694/,Tirol,http://sws.geonames.org/2763587/,ÖSTERREICH,,AUT,,Obermarkt 7,,6600 Reutte,,,,7464993,,,,,,,,,,,,,,,,,,,,,,,,,,+43 5672 6996 5773,,+43 5672 6996 745605,,bh.reutte@tirol.gv.at,,https://www.tirol.gv.at/reutte,,,,"Montag bis Donnerstag von 8:00 Uhr bis 12:00 Uhr, von 13:30 Uhr bis 16:00 Uhr und nach Vereinbarung, Freitag von 8:00 Uhr bis 12:00 Uhr",,,,L7AL,,2018-03-22,
L7AL-BBA-Innsbruck,,L7AL-Gr-Bau-Technik,,Amt der Tiroler Landesregierung,,Baubezirksamt Innsbruck,,,,Valiergasse,,1,,,,,,6020,,Innsbruck,http://sws.geonames.org/6474232/,Tirol,http://sws.geonames.org/2763587/,ÖSTERREICH,,AUT,,Valiergasse 1,,6020 Innsbruck,,,,5010286,,,,,,,,,,,,,,,,,,,,,,,,,,+43 512 508 4403,,+43 512 508 744405,,bba.innsbruck@tirol.gv.at,,https://www.tirol.gv.at/bba-innsbruck,,,,"Montag von 8:00 Uhr bis 12:00 Uhr und von 14:30 Uhr bis 16:30 Uhr, Dienstag bis Donnerstag von 8:00 Uhr bis 12:00 Uhr und nach Vereinbarung, Freitag von 8:00 Uhr bis 12:00 Uhr",,,,L7AL,,2018-03-22,
L7BH-KU-Verkehr,,L7BH-KU-Verkehrsrecht,,Bezirkshauptmannschaft Kufstein,,Allgemeine Verkehrsangelegenheiten,,,,Bozner Platz,,1,,,,,,6330,http://sws.geonames.org/2773300/,Kufstein,http://sws.geonames.org/2608633/,Tirol,http://sws.geonames.org/2763587/,ÖSTERREICH,,AUT,,Bozner Platz 1,,6330 Kufstein,,,,5087524,,,,,,,,,,,,,,,,,,,,,,,,,,+43 5372 606 6091,,+43 5372 606 746175,,bh.ku.verkehr.allgemein@tirol.gv.at,,https://www.tirol.gv.at/kufstein,,,,"Montag von 8:00 Uhr bis 12:00 Uhr und von 13:30 Uhr bis 16:30 Uhr, Dienstag bis Donnerstag von 8:00 Uhr bis 12:00 Uhr und nach Vereinbarung, Freitag von 8:00 Uhr bis 12:00 Uhr",,,,L7AL,,2018-03-22,
L7BH-KU-Bildung,,L7BH-KU-BH,,Bezirkshauptmannschaft Kufstein,,Bildung,,,,Bozner Platz,,1,,,,,,6330,http://sws.geonames.org/2773300/,Kufstein,http://sws.geonames.org/2608633/,Tirol,http://sws.geonames.org/2763587/,ÖSTERREICH,,AUT,,Bozner Platz 1,,6330 Kufstein,,,,5087524,,,,,,,,,,,,,,,,,,,,,,,,,,+43 5372 606 6026,,+43 5372 606 746025,,bh.ku.bildung@tirol.gv.at,,https://www.tirol.gv.at/kufstein,,,,"Montag von 8:00 Uhr bis 12:00 Uhr und von 13:30 Uhr bis 16:30 Uhr, Dienstag bis Donnerstag von 8:00 Uhr bis 12:00 Uhr und nach Vereinbarung, Freitag von 8:00 Uhr bis 12:00 Uhr",,,,L7AL,,2018-03-22,
L7BH-RE-Gesundheit,,L7BH-RE,,Bezirkshauptmannschaft Reutte,,"Gesundheit, Lebensmittelaufsicht",,,,Obermarkt,,7,,,,,,6600,http://sws.geonames.org/2767511/,Reutte,http://sws.geonames.org/7873694/,Tirol,http://sws.geonames.org/2763587/,ÖSTERREICH,,AUT,,Obermarkt 7,,6600 Reutte,,,,7464993,,,,,,,,,,,,,,,,,,,,,,,,,,+43 5672 6996 5753,,+43 5672 6996 745625,,bh.reutte@tirol.gv.at,,https://www.tirol.gv.at/reutte,,,,"Montag bis Donnerstag von 8:00 Uhr bis 12:00 Uhr, von 13:30 Uhr bis 16:00 Uhr und nach Vereinbarung, Freitag von 8:00 Uhr bis 12:00 Uhr",,,,L7AL,,2018-03-22,
