StatBezirkNr,,Statistischer Bezirk,,H-Gesamt,,H-Männl.,,H-Weibl.,,W-Gesamt,,W-Männl.,,W-Weibl.,
1. ,,Aigen,http://sws.geonames.org/2782875/,63,,34,,29,,2,,1,,1,
14.,, Innertreffling,http://sws.geonames.org/2775231/,524,,263,,261,,43,,23,,20,
3.,, Au,http://sws.geonames.org/3323972/,63,,30,,33,,5,,2,,3,
30. ,,Zinngießing,,137,,70,,67,,5,,2,,3,
11. ,,Haid,http://sws.geonames.org/2777036/,462,,241,,221,,25,,13,,12,
12. ,,Hohenstein,http://sws.geonames.org/2775726/,44,,22,,22,,0,,0,,0,
28.,, Weingraben,http://sws.geonames.org/2761689/,21,,10,,11,,2,,1,,1,
26. ,,Steinreith,,119,,56,,63,,6,,3,,3,
5. ,,Bach,http://sws.geonames.org/2782098/,315,,172,,143,,15,,4,,11,
15. ,,Klendorf,http://sws.geonames.org/2773956/,157,,82,,75,,15,,6,,9,
