NUTS1,,NUTS2,,NUTS3,,DISTRICT_CODE,,T,,WV,,WK,,BZ,,SPR,,WBER  ,, ABG.   ,,UNG.   ,,SPOE   ,,FPOE   ,,OEVP   ,,GRUE   ,,KPOE   ,,BZOE   ,,LIF    ,,SLP    ,,PH     ,,YC     ,,WWW    ,,GS     ,,PRO    ,,KEINE  ,,OK KI  ,,EMP    ,,PB     ,,OE     ,,AL     ,,WIF    ,,                 ,
AT1,,AT13,http://sws.geonames.org/2761367/,AT130,http://sws.geonames.org/2761367/,92201,,4,,1,,22,,22,,92,,850,,452,,15,,264,,75,,38,,46,,5,,4,,4,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,,                 ,
AT1,,AT13,http://sws.geonames.org/2761367/,AT130,http://sws.geonames.org/2761367/,92201,,4,,1,,22,,22,,66,,394,,219,,7,,153,,36,,4,,13,,3,,2,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,,                 ,
AT1,,AT13,http://sws.geonames.org/2761367/,AT130,http://sws.geonames.org/2761367/,91901,,4,,1,,19,,19,,30,,410,,202,,12,,118,,26,,26,,16,,4,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,                 ,
AT1,,AT13,http://sws.geonames.org/2761367/,AT130,http://sws.geonames.org/2761367/,91601,,4,,1,,16,,16,,1,,747,,336,,4,,183,,42,,39,,54,,5,,6,,1,,0,,0,,0,,0,,0,,0,,0,,2,,0,,0,,0,,0,,0,,                 ,
AT1,,AT13,http://sws.geonames.org/2761367/,AT130,http://sws.geonames.org/2761367/,90301,,4,,1,,3,,3,,65,,566,,304,,6,,98,,24,,100,,63,,1,,9,,3,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,                 ,
AT1,,AT13,http://sws.geonames.org/2761367/,AT130,http://sws.geonames.org/2761367/,90201,,4,,1,,2,,2,,62,,679,,296,,15,,139,,42,,34,,52,,8,,4,,1,,0,,0,,0,,0,,1,,0,,0,,0,,0,,0,,0,,0,,0,,                 ,
AT1,,AT13,http://sws.geonames.org/2761367/,AT130,http://sws.geonames.org/2761367/,90201,,4,,1,,2,,2,,32,,782,,404,,8,,194,,55,,58,,79,,5,,1,,3,,0,,0,,0,,0,,1,,0,,0,,0,,0,,0,,0,,0,,0,,                 ,
AT1,,AT13,http://sws.geonames.org/2761367/,AT130,http://sws.geonames.org/2761367/,90501,,4,,1,,5,,5,,36,,540,,266,,6,,109,,35,,48,,50,,11,,3,,1,,3,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,                 ,
AT1,,AT13,http://sws.geonames.org/2761367/,AT130,http://sws.geonames.org/2761367/,91401,,4,,1,,14,,14,,89,,676,,428,,12,,172,,49,,101,,85,,5,,2,,2,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,                 ,
AT1,,AT13,http://sws.geonames.org/2761367/,AT130,http://sws.geonames.org/2761367/,92101,,4,,1,,21,,21,,37,,603,,307,,6,,159,,44,,54,,36,,4,,4,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,                 ,
