laadpaalcode,,laadpaalcode2,,nummer laadpaal,,locatie,,straat,,huisnummer,,postcode,,gemeente,,longitude,,latitude,
eNo0050-10.03-000025,,ENO126043,,411-380,,BN-A-UT-Utrecht-Sterrenbos 15,,Sterrenbos,,15,,3511 ET,,Utrecht,Utrecht Gemeente Utrecht Kingdom of the Netherlands http://sws.geonames.org/2745912/,5.115601167,,52.08676916,
eNo0050-10.03-000021,,ENO119747,,411-339,,BN-A-UT-Utrecht-Cantharellaan 74,,Cantharellaan,,74,,3451 HV,,Utrecht,Utrecht Gemeente Utrecht Kingdom of the Netherlands http://sws.geonames.org/2745912/,5.001246806,,52.10277213,
eNo0050-10.01-000181,,ENO-UT-0081,,411-084,,BN-A-UT-Utrecht-Merwedekade,,Merwedekade,,128,,3521 ER,,Utrecht,Utrecht Gemeente Utrecht Kingdom of the Netherlands http://sws.geonames.org/2745912/,5.110047659,,52.07722724,
eNo0050-10.02-000031,,ENO095222,,411-200,,BN-A-UT-Utrecht-Grietstraat 1,,Grietstraat,,1,,3514 VH,,Utrecht,Utrecht Gemeente Utrecht Kingdom of the Netherlands http://sws.geonames.org/2745912/,5.123539552,,52.09764024,
eNo0050-10.01-000173,,ENO-UT-0074,,411-103,,BN-A-UT-Utrecht-Kapelweg,,Kapelweg,,103,,3566 MK,,Utrecht,Utrecht Gemeente Utrecht Kingdom of the Netherlands http://sws.geonames.org/2745912/,5.13863209,,52.11671671,
eNo0050-10.01-000142,,ENO-UT-0043,,411-040,,BN-A-UT-Utrecht-Oosterlengte,,Westerlengte,,35,,3454 RD,,Utrecht,Utrecht Gemeente Utrecht Kingdom of the Netherlands http://sws.geonames.org/2745912/,5.034255898,,52.0855299,
eNo0050-10.02-000007,,ENO-UT-0098,,411-072,,BN-A-UT-Utrecht-Prattenburgplaats,,Prattenburgplaats,,22,,3452 NN,,Utrecht,Utrecht Gemeente Utrecht Kingdom of the Netherlands http://sws.geonames.org/2745912/,5.018623543,,52.09158772,
eNo0050-10.01-000170,,ENO-UT-0071,,411-142,,BN-A-UT-Utrecht-Molenpolder,,Molenpolder,,82,,3453 NZ,,De Meern,De Meern Gemeente Utrecht Kingdom of the Netherlands http://sws.geonames.org/2757295/,5.0122037,,52.08509,
eNo0050-10.01-000136,,ENO-UT-0037,,411-064,,BN-A-UT-Utrecht-Louis Saalbornlaan 10,,Louis Bouwmeesterlaan 10,,10,,3584 GE,,Utrecht,Utrecht Gemeente Utrecht Kingdom of the Netherlands http://sws.geonames.org/2745912/,5.151624082,,52.08474162,
eNo0050-10.01-000132,,ENO-UT-0033,,411-095,,BN-A-UT-Utrecht-Vaalserberg,,Vaalserberg,,7,,3524 LP,,Utrecht,Utrecht Gemeente Utrecht Kingdom of the Netherlands http://sws.geonames.org/2745912/,5.129051965,,52.06529564,
