longitude,,latitude,,OBJECT_GUI,,IMGEO_ID,,ORIG_ID,,BBV,,DOMEIN,,STD_DOMEIN,,BEHEERCLUS,,STD_BEHEER,,STRUCTUURE,,STD_STRUCT,,BEHEERDER_,,STD_BEHE01,,BESTEK_NR,,CLUSTER_AA,,RAYON,,STD_RAYON,,OBJECT_BEG,,OBJECT_EIN,,REG_BEGIN,,REG_EIND,,STATUS,,IN_ONDERZO,,RELATIEVE_,,BRONHOUDER,,TYPE_PAAL_,,AFWIJKENDE,,BOVENGROND,,GEONAUWKEU,,TYPE_LEIDI,,BEGIN_TIJD,,EIND_TIJD,,TOELICHTIN,,AFBEELDING,,BEHEERDER,,HOOFDCATEG,,STD_HOOFDC,,CATEGORIE,,STD_CATEGO,,SUBCATEGOR,,STD_SUBCAT,,MASTTYPE,,STD_MASTTY,,AANLEGJAAR,,VERSCHIJNI,,CONSERVERI,,LICHTMASTN,,NETWERK,,PLAATSINGS,,REST_LEVEN,,UNIEK_ID,,LICHTPUNTH,,LOCATIE,,TEKENINGNU,,HOOGTE,,BEREIKBAAR,,STD_BEREIK,,MATERIAAL_,,MODELOPBOU,,STD_MODELO,,AANSLUITKA,,STD_AANSLU,,INSPECTIED,,M1_TOESTAN,,M2_SCHILDE,,M3_VOETMAS,,M4_OVERSPA,,M5_MUURKAS,,SCHILDERDA,,MASTCODE,,FUNDATIEBE,,LICHTMASTB,,WOONPLAATS,,WIJK,,BUURT,,OPENBARE_R,,KAST_ID,,VRK_INSTAL,,FABRIKANT_,,JAAR_ONDER,,TYPENUMMER,,KL_KLEUR_M,,KL_FABRIKA,,KL_MASTVOR,,MASTTYPE_V,,STD_MAST01,,COMPOSITIE,,LEIDING_ID,
6.033198819594675,,52.616840077245783,,89227EE3933642C99854CDE3EBC4AB87,,,,82073.00000,,Meubilair,,,,Geel,,,,OV,,,,,,,,,,,,Meubilering,,,,,,,,,,,,,,bestaand,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mast,,,,,,"CON AL 3,5M PT",,aluminium 4 m paaltop,,2000,,,,,,53,,,,2000/07/01,,,,,,,,,,,,3.50000,,,,,,aluminium,,,,,,,,,,,,,,,,,,,,,,,,53,,,,,,Genemuiden,http://sws.geonames.org/2755594/,Wijk 00 Genemuiden,,Achter 't Tag,,Lus,,,,,,,,,,,,,,,,,,,,,,,,,
6.089378372743192,,52.644023277692156,,E4D9D25CE90E426FB9536D056C84D71E,,,,81685.00000,,Meubilair,,,,Geel,,,,OV,,,,,,,,,,,,Meubilering,,,,,,,,,,,,,,bestaand,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mast,,,,,,"CON AL 5,5M",,aluminium 6 m enkele uithouder,,1985,,,,,,16,,,,1985/07/01,,,,,,,,,,,,5.50000,,,,,,aluminium,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,Zwartsluis,http://sws.geonames.org/2743518/,Wijk 04 Zwartsluis,,Zwartsluis Industrieterrein,,De Grote Kranerweerd,,,,,,,,,,,,,,,,,,,,,,,,,
6.106437976845073,,52.599089458710075,,8D302450CA5F447DBA2C6375F42DA6CF,,,,82011.00000,,Meubilair,,,,Geel,,,,OV,,,,,,,,,,,,Meubilering,,,,,,,,,,,,,,bestaand,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mast,,,,,,"CON AL 3,5M PT",,aluminium 4 m paaltop,,1990,,,,,,1,,,,1990/07/01,,,,,,,,,,,,3.50000,,,,,,aluminium,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,Hasselt,http://sws.geonames.org/2754780/,Wijk 02 Hasselt,,Ter Wee's Hoek,,Lamoen,,,,,,,,,,,,,,,,,,,,,,,,,
6.039755481977077,,52.627692592229678,,3F28ECDCA94A4C52A1592611AC10246F,,,,79933.00000,,Meubilair,,,,Geel,,,,OV,,,,,,,,,,,,Meubilering,,,,,,,,,,,,,,bestaand,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mast,,,,,,"CIL AL 3,5M PT",,aluminium 4 m paaltop,,1975,,,,,,25,,,,1975/07/01,,,,,,,,,,,,3.50000,,,,,,aluminium,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,Genemuiden,http://sws.geonames.org/2755594/,Wijk 00 Genemuiden,,Genemuiden Kern,,Havenplein,,,,,,,,,,,,,,,,,,,,,,,,,
6.036680620849551,,52.620170695592847,,58F590E22EDC434AADF3007172596231,,,,81946.00000,,Meubilair,,,,Geel,,,,OV,,,,,,,,,,,,Meubilering,,,,,,,,,,,,,,bestaand,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mast,,,,,,"CON AL 3,5M PT",,aluminium 4 m paaltop,,1995,,,,,,912,,,,1995/07/01,,,,,,,,,,,,3.50000,,,,,,aluminium,,,,,,,,,,,,,,,,,,,,,,,,912,,,,,,Genemuiden,http://sws.geonames.org/2755594/,Wijk 00 Genemuiden,,Achter 't Tag,,Taghof,,,,,,,,,,,,,,,,,,,,,,,,,
6.032485190272733,,52.619583008372736,,CC4700FEFD7E4013828647C1186A7381,,,,81057.00000,,Meubilair,,,,Geel,,,,OV,,,,,,,,,,,,Meubilering,,,,,,,,,,,,,,bestaand,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mast,,,,,,"CON AL 3,5M PT",,aluminium 4 m paaltop,,2000,,,,,,8,,,,2000/07/01,,,,,,,,,,,,3.50000,,,,,,aluminium,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,Genemuiden,http://sws.geonames.org/2755594/,Wijk 00 Genemuiden,,Achter 't Tag,,Kabel,,,,,,,,,,,,,,,,,,,,,,,,,
6.062514496537035,,52.639954141544813,,37B2AB99A60D4C869CF23785A5EE38DB,,,,78977.00000,,Meubilair,,,,Geel,,,,OV,,,,,,,,,,,,Meubilering,,,,,,,,,,,,,,bestaand,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mast,,,,,,"CON AL 5,5M",,aluminium 6 m enkele uithouder,,1985,,,,,,4,,,,1985/07/01,,,,,,,,,,,,5.50000,,,,,,aluminium,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,Zwartsluis,http://sws.geonames.org/2743518/,Wijk 04 Zwartsluis,,Buitenkwartier,,Westeinde,,,,,,,,,,,,,,,,,,,,,,,,,
6.081216408380106,,52.638220994782053,,17C1341870AC458DA5ADA20AE630573C,,,,81864.00000,,Meubilair,,,,Geel,,,,OV,,,,,,,,,,,,Meubilering,,,,,,,,,,,,,,bestaand,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mast,,,,,,CON AL 10M PT,,aluminium 10 m enkele uithouder,,1985,,,,,,PO15,,,,1985/07/01,,,,,,,,,,,,10.00000,,,,,,aluminium,,,,,,,,,,,,,,,,,,,,,,,,PO15,,,,,,Zwartsluis,http://sws.geonames.org/2743518/,Wijk 04 Zwartsluis,,Zwartsluis Industrieterrein,,Hasselterdijk,,,,,,,,,,,,,,,,,,,,,,,,,
6.033959951210425,,52.617496721068619,,F1866B47D6DB4FCFA3EBE5569AE6703B,,,,82003.00000,,Meubilair,,,,Geel,,,,OV,,,,,,,,,,,,Meubilering,,,,,,,,,,,,,,bestaand,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mast,,,,,,"CON AL 3,5M PT",,aluminium 4 m paaltop,,2000,,,,,,26,,,,2000/07/01,,,,,,,,,,,,3.50000,,,,,,aluminium,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,Genemuiden,http://sws.geonames.org/2755594/,Wijk 00 Genemuiden,,Achter 't Tag,,Kabel,,,,,,,,,,,,,,,,,,,,,,,,,
6.037146086351788,,52.620447421519671,,73E7C51A42664998B0378A00B8E6FA9D,,,,80270.00000,,Meubilair,,,,Geel,,,,OV,,,,,,,,,,,,Meubilering,,,,,,,,,,,,,,bestaand,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mast,,,,,,"CON AL 3,5M PT",,aluminium 4 m paaltop,,1995,,,,,,928,,,,1995/07/01,,,,,,,,,,,,3.50000,,,,,,aluminium,,,,,,,,,,,,,,,,,,,,,,,,928,,,,,,Genemuiden,http://sws.geonames.org/2755594/,Wijk 00 Genemuiden,,Achter 't Tag,,Taghof,,,,,,,,,,,,,,,,,,,,,,,,,
