vertrekwijk,,etniciteit,,leeftijd,
Nieuwland,http://sws.geonames.org/2750175/,allochtoon,,50+,
West,,autochtoon,,0-14 jr.,
Nieuwland,http://sws.geonames.org/2750175/,autochtoon,,15-29 jr.,
Groenoord,,allochtoon,,30-49 jr.,
Nieuwland,http://sws.geonames.org/2750175/,allochtoon,,30-49 jr.,
Zuid,http://sws.geonames.org/2743787/,allochtoon,,15-29 jr.,
Nieuwland,http://sws.geonames.org/2750175/,autochtoon,,15-29 jr.,
Nieuwland,http://sws.geonames.org/2750175/,allochtoon,,30-49 jr.,
Nieuwland,http://sws.geonames.org/2750175/,allochtoon,,15-29 jr.,
Nieuwland,http://sws.geonames.org/2750175/,allochtoon,,15-29 jr.,
