sb_nummer,,openingstijden,,sb_benaming_omschrijving,,sb_straatnaam,,sb_huisnummer_compleet,,sb_postcode,,sb_woonplaats,,sb_status,,longitude,,latitude,
12,,07:30 - 21:00 uur,,wijkcentrum de nieuwe stede,,capucijnenstraat,,156,,5025 lk,,tilburg,Gemeente Tilburg Provincie Noord-Brabant Kingdom of the Netherlands http://sws.geonames.org/2746300/,actief,,5.06961108122258,,51.5505570692775,
33,,07:30 - 21:00 uur,,wijkcentrum de ypelaer,,corellistraat,,10,,5049 em,,tilburg,Gemeente Tilburg Provincie Noord-Brabant Kingdom of the Netherlands http://sws.geonames.org/2746300/,actief,,5.0786851915677,,51.589335692492,
707,,07:30 - 21:00 uur,,etz tweesteden ,,dr. deelenlaan,,5,,5042 ad,,tilburg,Gemeente Tilburg Provincie Noord-Brabant Kingdom of the Netherlands http://sws.geonames.org/2746300/,actief,,5.05955865082246,,51.5772155640995,
701,,06:30 - 20:00 uur,,"centraal station tilburg ""zuidzijde""",,spoorlaan,,35,,5038 cb,,tilburg,Gemeente Tilburg Provincie Noord-Brabant Kingdom of the Netherlands http://sws.geonames.org/2746300/,actief,,5.08553093652321,,51.5601739655013,
3,,07:30 - 21:00 uur,,wijkcentrum de boomtak,,boomstraat,,81,,5038 gp,,tilburg,Gemeente Tilburg Provincie Noord-Brabant Kingdom of the Netherlands http://sws.geonames.org/2746300/,actief,,5.07349927625799,,51.5587591399821,
1,,07:30 - 21:00 uur,,paleis-raadhuis,,willemsplein,,1,,5038 xv,,tilburg,Gemeente Tilburg Provincie Noord-Brabant Kingdom of the Netherlands http://sws.geonames.org/2746300/,actief,,5.08675832150342,,51.5547065797832,
41,,07:30 - 21:00 uur,,de rooi pannen,,dr. ahausstraat,,1,,5042 ek,,tilburg,Gemeente Tilburg Provincie Noord-Brabant Kingdom of the Netherlands http://sws.geonames.org/2746300/,actief,,5.06332465046999,,51.5693976253608,
5,,07:30 - 21:00 uur,,huize mater misericordiae,,kloosterstraat,,10,,5038 vp,,tilburg,Gemeente Tilburg Provincie Noord-Brabant Kingdom of the Netherlands http://sws.geonames.org/2746300/,actief,,5.08269188753998,,51.5536156148302,
60,,07:30 - 21:00 uur,,cultureel centrum de schalm,,trappistinnentuin,,77,,5057 dj,,berkel-enschot,Berkel-Enschot Gemeente Tilburg Kingdom of the Netherlands http://sws.geonames.org/2759090/,actief,,5.13652958024249,,51.5875741201292,
52,,07:30 - 21:00 uur,,scholencentrum grote beemd,,dalemdreef,,23,,5035 lz,,tilburg,Gemeente Tilburg Provincie Noord-Brabant Kingdom of the Netherlands http://sws.geonames.org/2746300/,actief,,4.98385312361484,,51.5763845644343,
