UNIEKNR,,LOKATIE,,TYPE,,MODEL,,SOORT,,LOCATIE,,THV,,WIJK,,SDM01,,HOUDER,,CYCLUS,,OPHAALD,,OMSCHR,,MUT_DAT,,MUTATIE,,RD-X,,RD-Y,,latitude,,longitude,,GPS_N_E,
Nie 058,,NIE-023A,,ONDERGRONDS,,,,RESTAFVAL,,ROELLSTRAAT,,4,,NIEUWLAND,http://sws.geonames.org/2750175/,H2906,,,,2,,Di/Vr,,,,,,,,"86242,1699",,"437513,5635",,51.921849,,4.387673,,"51.921849,4.387673",
,,OOS-1-2,,AAP,,,,PLASTIC,,CELSIUSSTRAAT,,STATIONSSTRAAT,,OOST,http://sws.geonames.org/2749551/,,,,,,,,,,,,,,,"87913,0973",,"437241,5276",,51.919609,,4.412013,,"51.919609,4.412013",
Oos 031,,OOS-68-2,,ONDERGRONDS,,,,RESTAFVAL,,SINGEL,,95,,OOST,http://sws.geonames.org/2749551/,,,,,2,,Ma/Do,,,,,,,,"87429,0284",,"437128,3645",,51.918533,,4.404999,,"51.918533,4.404999",
,,AAP-37-4,,AAP,,Bovengronds,,PLASTIC,,BOOMGAARDSTRAAT,,BROERSVELD,,CENTRUM,http://sws.geonames.org/2757973/,,,,,,,,,,,,,,,"87144,2795",,"436829,9811",,51.915817,,4.400920,,"51.915817,4.400920",
Wes 064,,WES-005,,ONDERGRONDS,,,,RESTAFVAL,,WARANDE,,44,,WEST,,M8040,,,,2,,Ma/Do,,,,,,,,"87059,6214",,"436250,8445",,51.910602,,4.399804,,"51.910602,4.399804",
Oos 021,,OOS-106-1,,ONDERGRONDS,,,,RESTAFVAL,,SINGEL,,STATIONSPLEIN,,OOST,http://sws.geonames.org/2749551/,,,,,2,,Wo/Za,,,,,,,,"87594,6211",,"437375,3998",,51.920773,,4.407358,,"51.920773,4.407358",
,,BK-051-2,,BOVENGRONDS,,,,GFT,,MUIDERSLOTSTRAAT,,0,,WOUDHOEK,,,,,,1,,Ma,,,,,,,,"85046,2777",,"440172,5614",,51.945597,,4.369750,,"51.945597,4.369750",
Gro 034,,GRO-026A,,ONDERGRONDS,,,,RESTAFVAL,,JOHANN STRAUSSPLEIN,,64,,GROENOORD,,,,,,2,,Di/Vr,,,,,,,,"85037,7399",,"438950,1582",,51.934610,,4.369874,,"51.934610,4.369874",
Nie 027,,NIE-054,,ONDERGRONDS,,,,RESTAFVAL,,PARKWEG,,NOORDVESTSINGEL,,NIEUWLAND,http://sws.geonames.org/2750175/,H2963,,,,3,,Ma/Wo/Za,,,,,,,,"86807,2091",,"437366,3590",,51.920596,,4.395915,,"51.920596,4.395915",
Zui 038,,ZUI-13-1,,ONDERGRONDS,,,,RESTAFVAL,,LEKSTRAAT,,RIDDERKERKSESTRAAT,,ZUID,http://sws.geonames.org/2743787/,,,,,,,indien vol,,,,,,,,"87550,5579",,"435587,2955",,51.904698,,4.407068,,"51.904698,4.407068",
