OBJECTID,,BORNAME,,BEHEEROBJECTOMSCHRIJVING,,STRAATCODE,,STRAATNAAM,,GROENGEBIEDCODE,,GROENGEBIED,,ELEMENTNUMMER,,BEHEERGROEP,,OPPERVLAKTE,,AANLEGJAAR,,BEPLANTINGSRANDLENGTE,,OMTREK,,BEHEERDER,,EIGENAAR,,AMBITIENIVEAU,,STRUCTUURNIVEAU,,GEMEENTE,,WOONPLAATS,,WIJK,,BUURT,,LIGGING,
5034,,beplantingen,,01.16.0000.1856,,6254,,Middelweg,,01.16.0000,,De Bras,,1856,,Bosplantsoen,,185.22,,,,,,120.53,,GD- Ruimte en Economie,,Gemeente Delft,Gemeente Delft Provincie Zuid-Holland Kingdom of the Netherlands http://sws.geonames.org/2757344/,C (matig) - R- (sober),,3 - Delftse Hout,,Delft,Gemeente Delft Provincie Zuid-Holland Kingdom of the Netherlands http://sws.geonames.org/2757344/,Delft,Gemeente Delft Provincie Zuid-Holland Kingdom of the Netherlands http://sws.geonames.org/2757344/,16 Delftse Hout,,De Bras,,Binnen de bebouwde kom,
7445,,beplantingen,,01.14.0002.12072,,9148,,Polderpad,,01.14.0002,,Ecodus,,12072,,Boomspiegel,,0.52,,1995,,,,,,GD- Ruimte en Economie,,Gemeente Delft,Gemeente Delft Provincie Zuid-Holland Kingdom of the Netherlands http://sws.geonames.org/2757344/,C (matig) - R- (sober),,2 - Overige wijken,,Delft,Gemeente Delft Provincie Zuid-Holland Kingdom of the Netherlands http://sws.geonames.org/2757344/,Delft,Gemeente Delft Provincie Zuid-Holland Kingdom of the Netherlands http://sws.geonames.org/2757344/,14 Voordijkshoorn,,Ecodus,,Binnen de bebouwde kom,
9983,,beplantingen,,01.23.0003.11243,,6742,,Tanthofdreef,,01.23.0003,,Vogelbuurt-west,,11243,,Bosplantsoen,,3.42,,,,,,7.58,,GD- Ruimte en Economie,,Gemeente Delft,Gemeente Delft Provincie Zuid-Holland Kingdom of the Netherlands http://sws.geonames.org/2757344/,C (matig) - R- (sober),,2 - Overige wijken,,Delft,Gemeente Delft Provincie Zuid-Holland Kingdom of the Netherlands http://sws.geonames.org/2757344/,Delft,Gemeente Delft Provincie Zuid-Holland Kingdom of the Netherlands http://sws.geonames.org/2757344/,23 Tanthof-Oost,,Vogelbuurt-West,,Binnen de bebouwde kom,
4555,,beplantingen,,01.23.0001.9982,,6742,,Tanthofdreef,,01.23.0001,,Boerderijbuurt,,9982,,Bosplantsoen,,110.27,,,,19.85,,50.19,,GD- Ruimte en Economie,,Gemeente Delft,Gemeente Delft Provincie Zuid-Holland Kingdom of the Netherlands http://sws.geonames.org/2757344/,C (matig) - R- (sober),,2 - Overige wijken,,Delft,Gemeente Delft Provincie Zuid-Holland Kingdom of the Netherlands http://sws.geonames.org/2757344/,Delft,Gemeente Delft Provincie Zuid-Holland Kingdom of the Netherlands http://sws.geonames.org/2757344/,23 Tanthof-Oost,,Boerderijbuurt,,Binnen de bebouwde kom,
12910,,beplantingen,,01.14.0005.12099,,9148,,Polderpad,,01.14.0005,,Hoornse Hof,,12099,,Boomspiegel,,8.68,,,,,,,,GD- Ruimte en Economie,,Gemeente Delft,Gemeente Delft Provincie Zuid-Holland Kingdom of the Netherlands http://sws.geonames.org/2757344/,C (matig) - R- (sober),,2 - Overige wijken,,Delft,Gemeente Delft Provincie Zuid-Holland Kingdom of the Netherlands http://sws.geonames.org/2757344/,Delft,Gemeente Delft Provincie Zuid-Holland Kingdom of the Netherlands http://sws.geonames.org/2757344/,14 Voordijkshoorn,,Hoornse Hof,,Binnen de bebouwde kom,
12613,,beplantingen,,01.11.0003.12022,,3689,,Nieuwe Plantage,,01.11.0003,,Centrum-oost,,12022,,Boomspiegel,,2.29,,1970,,,,,,GD- Ruimte en Economie,,Gemeente Delft,Gemeente Delft Provincie Zuid-Holland Kingdom of the Netherlands http://sws.geonames.org/2757344/,"B (voldoende) - R (basis), ",,1 - Binnenstad en Agnetapark,,Delft,Gemeente Delft Provincie Zuid-Holland Kingdom of the Netherlands http://sws.geonames.org/2757344/,Delft,Gemeente Delft Provincie Zuid-Holland Kingdom of the Netherlands http://sws.geonames.org/2757344/,11 Binnenstad,,Centrum-Oost,,Binnen de bebouwde kom,
10943,,beplantingen,,01.13.0004.11258,,1511,,Van Foreestweg,,01.13.0004,,Westeindebuurt,,11258,,Heesters,,18.99,,,,,,33.66,,GD- Ruimte en Economie,,Gemeente Delft,Gemeente Delft Provincie Zuid-Holland Kingdom of the Netherlands http://sws.geonames.org/2757344/,C (matig) - R- (sober),,2 - Overige wijken,,Delft,Gemeente Delft Provincie Zuid-Holland Kingdom of the Netherlands http://sws.geonames.org/2757344/,Delft,Gemeente Delft Provincie Zuid-Holland Kingdom of the Netherlands http://sws.geonames.org/2757344/,13 Hof van Delft,,Westeindebuurt,,Binnen de bebouwde kom,
1844,,beplantingen,,01.25.0002.12035,,4324,,Prinses Beatrixlaan,,01.25.0002,,Juniusstraat,,12035,,Boomspiegel,,1.78,,1983,,,,,,GD- Ruimte en Economie,,Gemeente Delft,Gemeente Delft Provincie Zuid-Holland Kingdom of the Netherlands http://sws.geonames.org/2757344/,C (matig) - R- (sober),,2 - Overige wijken,,Delft,Gemeente Delft Provincie Zuid-Holland Kingdom of the Netherlands http://sws.geonames.org/2757344/,Delft,Gemeente Delft Provincie Zuid-Holland Kingdom of the Netherlands http://sws.geonames.org/2757344/,25 Buitenhof,,Juniusbuurt,,Binnen de bebouwde kom,
5077,,beplantingen,,01.11.0003.12155,,3689,,Nieuwe Plantage,,01.11.0003,,Centrum-oost,,12155,,Boomspiegel,,1.91,,1965,,,,,,GD- Ruimte en Economie,,Gemeente Delft,Gemeente Delft Provincie Zuid-Holland Kingdom of the Netherlands http://sws.geonames.org/2757344/,"B (voldoende) - R (basis), ",,1 - Binnenstad en Agnetapark,,Delft,Gemeente Delft Provincie Zuid-Holland Kingdom of the Netherlands http://sws.geonames.org/2757344/,Delft,Gemeente Delft Provincie Zuid-Holland Kingdom of the Netherlands http://sws.geonames.org/2757344/,11 Binnenstad,,Centrum-Oost,,Binnen de bebouwde kom,
3720,,beplantingen,,99.99.9999.12097,,2496,,Jan de Wittstraat,,99.99.9999,,Nader te bepalen,,12097,,Boomspiegel,,1.44,,,,,,,,GD- Ruimte en Economie,,Gemeente Delft,Gemeente Delft Provincie Zuid-Holland Kingdom of the Netherlands http://sws.geonames.org/2757344/,C (matig) - R- (sober),,,,Delft,Gemeente Delft Provincie Zuid-Holland Kingdom of the Netherlands http://sws.geonames.org/2757344/,Delft,Gemeente Delft Provincie Zuid-Holland Kingdom of the Netherlands http://sws.geonames.org/2757344/,NTB,,,,Binnen de bebouwde kom,
