Nr.,,Omschrijving stembureau,,Adres ingang stembureau,,Gemeente,
106,,Zorgcentrum Polderwiel,,Dudok-erf 58,,Dordrecht,Gemeente Dordrecht Provincie Zuid-Holland Kingdom of the Netherlands http://sws.geonames.org/2756668/
82,,School de Meridiaan,,Kinkelenburg 19,,Dordrecht,Gemeente Dordrecht Provincie Zuid-Holland Kingdom of the Netherlands http://sws.geonames.org/2756668/
5,,School Vest,,Vest 92,,Dordrecht,Gemeente Dordrecht Provincie Zuid-Holland Kingdom of the Netherlands http://sws.geonames.org/2756668/
6,,"Wielborgh, het Stadswiel",,Beverwijckstraat 49,,Dordrecht,Gemeente Dordrecht Provincie Zuid-Holland Kingdom of the Netherlands http://sws.geonames.org/2756668/
9,,Dordtse Welzijns Organisatie,,Singel 28,,Dordrecht,Gemeente Dordrecht Provincie Zuid-Holland Kingdom of the Netherlands http://sws.geonames.org/2756668/
91,,Bejaardencentrum Dubbelmonde,,Koningstraat 290,,Dordrecht,Gemeente Dordrecht Provincie Zuid-Holland Kingdom of the Netherlands http://sws.geonames.org/2756668/
71,,Dep. J.F. Kennedyschool,,Eddingtonweg 3,,Dordrecht,Gemeente Dordrecht Provincie Zuid-Holland Kingdom of the Netherlands http://sws.geonames.org/2756668/
65,,Bejaardencentrum Vijverhof,,Henri Polakstraat 7,,Dordrecht,Gemeente Dordrecht Provincie Zuid-Holland Kingdom of the Netherlands http://sws.geonames.org/2756668/
20,,Vrije School,,Dubbelmondestraat 1,,Dordrecht,Gemeente Dordrecht Provincie Zuid-Holland Kingdom of the Netherlands http://sws.geonames.org/2756668/
81,,Ontmoetingskerk,,Slangenburg 3,,Dordrecht,Gemeente Dordrecht Provincie Zuid-Holland Kingdom of the Netherlands http://sws.geonames.org/2756668/
