catalogNumber,,scientificName,,basisOfRecord_tipo_registro,,basisOfRecord_subtipo_registro,,otherCatalogNumbers,,Version,,recordedBy,,eventDate,,lastIndexed,,dateIdentified,,associatedMedia,,identifiedBy,,individualId,,individualCount,,sex,,lifeStage,,reproductiveCondition,,behaviour,,establishmentMeans,,occurrenceStatus,,habitat,,samplingProtocol,,samplingEffort,,occurrenceRemarks,,minimumDepthInMeters,,maximumDepthInMeters,,minimumElevationInMeters,,maximumElevationInMeters,,measurementAccuracy,,stateProvince,,county,,municipality,,locality,,waterBody,,island,,Decimal_Latitude,,Decimal_Longitude,,UTMXED50,,UTMYED50,,UTMXETRS89,,UTMYETRS89,,UTM10x10,,UTM1x1,,georeferenceSources,,coordinateUncertaintyInMeters,,PUBLICABLEOCURRENCIA,,PUBLICABLECOOR,,ESCOORDENADA,,PUBLICABLEUTM1,,PUBLICABLEUTM10,,evalAislamiento,,evalConservacion,,evalPoblacion,,evalGlobal,,tipoPoblacion,,idLugar,,idEspecie,,idHabitat,,associatedReference,,identificationVerificationStatus,,validador,
361901,,"Hirundo rustica Linnaeus, 1758",,008:: Observación Humana,,005:: Marcaje,,,,,,Urdaibai Bird Center-S.C. Aranzadi,,31/12/2014,,,,,,,,Urdaibai Bird Center-S.C. Aranzadi,,Ring number 1Y57925,Ring Gemeindebezirk Innere Stadt Republic of Austria http://www.openstreetmap.org/node/318584392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.35,,-2.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
504017,,"Hirundo rustica Linnaeus, 1758",,008:: Observación Humana,,005:: Marcaje,,,,,,Urdaibai Bird Center-S.C. Aranzadi,,31/12/2013,,,,,,,,Urdaibai Bird Center-S.C. Aranzadi,,Ring number Y16784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.35,,-2.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
