CURSO_ACAD,,COD_PROV,,NOM_PROV,,COD_MUN,,NOM_MUN,,COD_CONSER,,NOM_CONSER,,COD_GRADO,,DESC_GRADO,,CURSO,,INSTRUMENTO,,MATRICULADOS,
2006-2007,,46,http://sws.geonames.org/2509951/,VALENCIA,http://sws.geonames.org/6362115/,230,,SILLA,http://sws.geonames.org/2510880/,46020728,,CONSERVATORI PROFESSIONAL DE MUSICA,,M,,MEDIO,http://sws.geonames.org/3117005/,3,,CONTRABAJO,,1,
2006-2007,,46,http://sws.geonames.org/2509951/,VALENCIA,http://sws.geonames.org/6362115/,166,,MELIANA,http://sws.geonames.org/6362031/,46020716,,CONSERVATORI PROFESSIONAL DE MUSICA,,M,,MEDIO,http://sws.geonames.org/3117005/,5,,SAXOFÓN,,1,
2006-2007,,12,http://sws.geonames.org/3125881/,CASTELLÓN DE LA PLANA,http://sws.geonames.org/2519752/,126,,LA VALL D'UIXÓ,http://sws.geonames.org/2509927/,12004412,,CONSERVATORI PROFESSIONAL DE MUSICA M.FSC.PEÑARROJA,,E,,ELEMENTAL,,1,,GUITARRA,,5,
2006-2007,,46,http://sws.geonames.org/2509951/,VALENCIA,http://sws.geonames.org/6362115/,083,,CARCAIXENT,http://sws.geonames.org/6361948/,46016877,,CONSERVATORI PROFESSIONAL DE MUSICA MAESTRO VERT,,E,,ELEMENTAL,,4,,PERCUSIÓN,,2,
2006-2007,,03,http://sws.geonames.org/2521976/,ALICANTE,http://sws.geonames.org/2521978/,015,,ALMORADÍ,http://sws.geonames.org/2521855/,03012451,,CONSERVATORIO PROFESIONAL DE MUSICA,,M,,MEDIO,http://sws.geonames.org/3117005/,2,,SAXOFÓN,,2,
2006-2007,,03,http://sws.geonames.org/2521976/,ALICANTE,http://sws.geonames.org/2521978/,014,,ALICANTE,http://sws.geonames.org/2521978/,03014678,,CONSERVATORI PROFESSIONAL DE MUSICA GUITARRISTA J. TOMAS,,E,,ELEMENTAL,,2,,ARPA,,3,
2006-2007,,46,http://sws.geonames.org/2509951/,VALENCIA,http://sws.geonames.org/6362115/,145,,XÀTIVA,http://sws.geonames.org/6362010/,46016889,,CONSERVATORI PROFESSIONAL DE MUSICA LUIS MILAN,,M,,MEDIO,http://sws.geonames.org/3117005/,2,,TROMBÓN,,2,
2006-2007,,12,http://sws.geonames.org/3125881/,CASTELLÓN DE LA PLANA,http://sws.geonames.org/2519752/,104,,SEGORBE,http://sws.geonames.org/6357054/,12005003,,CONSERVATORIO PROFESIONAL DE MUSICA ALTO PALANCIA,,M,,MEDIO,http://sws.geonames.org/3117005/,1,,GUITARRA,,1,
2006-2007,,46,http://sws.geonames.org/2509951/,VALENCIA,http://sws.geonames.org/6362115/,181,,OLIVA,http://sws.geonames.org/6362046/,46021782,,CONSERVATORI PROFESSIONAL DE MUSICA JOSEP CLIMENT,,M,,MEDIO,http://sws.geonames.org/3117005/,5,,FLAUTA TRAVESERA,,3,
2006-2007,,46,http://sws.geonames.org/2509951/,VALENCIA,http://sws.geonames.org/6362115/,166,,MELIANA,http://sws.geonames.org/6362031/,46020716,,CONSERVATORI PROFESSIONAL DE MUSICA,,E,,ELEMENTAL,,3,,OBOE,,2,
