route_id,, service_id,, trip_id,, trip_headsign,, trip_short_name,, direction_id,, wheelchair_accessible,
5__C4___,,5_I13,,5_I13-5_I13_05:05:00_1_117_5__C4___,,COLMENAR VIEJO,Colmenar Viejo Provincia de Madrid Kingdom of Spain http://sws.geonames.org/6359271/,Parla-Atocha-Chamartín-Cantoblanco-Alcobendas-S.Sebastián de los Reyes,,0,,0,
5__C4___,,5_I12,,5_I12-5_I12_19:24:00_1_90_5__C4___,,ALCOBENDAS-S.S. DE LOS REYES,,Parla-Atocha-Chamartín-Cantoblanco-Alcobendas-S.Sebastián de los Reyes,,0,,0,
5__C4___,,5_I13,,5_I13-5_I13_07:52:00_2_24_5__C4___,,PARLA,Parla Provincia de Madrid Kingdom of Spain http://sws.geonames.org/6359327/,S.Sebastián de los Reyes-Alcobendas-Cantoblanco-Chamartín-Atocha-Parla,,1,,0,
5__C4___,,5_I13,,5_I13-5_I13_21:32:00_2_105_5__C4___,,PARLA,Parla Provincia de Madrid Kingdom of Spain http://sws.geonames.org/6359327/,S.Sebastián de los Reyes-Alcobendas-Cantoblanco-Chamartín-Atocha-Parla,,1,,0,
5__C4___,,5_I12,,5_I12-5_I12_10:32:00_2_40_5__C4___,,PARLA,Parla Provincia de Madrid Kingdom of Spain http://sws.geonames.org/6359327/,S.Sebastián de los Reyes-Alcobendas-Cantoblanco-Chamartín-Atocha-Parla,,1,,0,
5__C4___,,5_I13,,5_I13-5_I13_23:52:00_1_114_5__C4___,,CHAMARTIN,Chamartín Madrid Kingdom of Spain http://sws.geonames.org/3125239/,Parla-Atocha-Chamartín-Cantoblanco-Alcobendas-S.Sebastián de los Reyes,,0,,0,
5__C4___,,5_I12,,5_I12-5_I12_07:24:00_1_19_5__C4___,,ALCOBENDAS-S.S. DE LOS REYES,,Parla-Atocha-Chamartín-Cantoblanco-Alcobendas-S.Sebastián de los Reyes,,0,,0,
5__C4___,,5_I12,,5_I12-5_I12_15:05:00_1_65_5__C4___,,ALCOBENDAS-S.S. DE LOS REYES,,Parla-Atocha-Chamartín-Cantoblanco-Alcobendas-S.Sebastián de los Reyes,,0,,0,
5__C4___,,5_I11,,5_I11-5_I11_06:04:00_1_12_5__C4___,,ALCOBENDAS-S.S. DE LOS REYES,,Parla-Atocha-Chamartín-Cantoblanco-Alcobendas-S.Sebastián de los Reyes,,0,,0,
5__C4___,,5_I11,,5_I11-5_I11_08:16:00_1_33_5__C4___,,ALCOBENDAS-S.S. DE LOS REYES,,Parla-Atocha-Chamartín-Cantoblanco-Alcobendas-S.Sebastián de los Reyes,,0,,0,
