EJERCICIO,,MES,,COD_CONSELLERIA,,DESC_CONSELLERIA_C,,DESC_CONSELLERIA_V,,COD_CENTRO_GESTOR,,DESC_CENTRO_GESTOR_C,,DESC_CENTRO_GESTOR_V,,COD_CAJA_FIJA,,DESC_CAJA_FIJA_C,,DESC_CAJA_FIJA_V,,COD_ECONOMICA,,DESC_ECONOMICA_C,,DESC_ECONOMICA_V,,COD_FACTURA,,DESC_FACTURA,,FECHA_REGISTRO,,NOMRE_TERCERO,,IMPORTE,
2012,,4,,16,Provincia de Cuenca Castilla-La Mancha Kingdom of Spain http://sws.geonames.org/2519034/,JUSTICIA Y BIENESTAR SOCIAL,,JUSTICIA I BENESTAR SOCIAL,,160402,,D.G.DEL MENOR,,D.G.DEL MENOR.,,CAJA297,,G.V. C.B.S. TERRITORIAL VCIA. FAM. MEN. Y ADOP. C.F.,,G.V. C.B.S. TERRITORIAL VCIA. FAM. MEN. Y ADOP. C.F.,,22111,,PRODUCTOS DE LIMPIEZA Y ASEO,,PRODUCTOS DE LIMPIEZA Y ASEO,,116/12,,,,07/03/12,,PABLO GARCIA ORTEGA SA,,"35,51",
2012,,4,,10,Provincia de Cáceres Extremadura Kingdom of Spain http://sws.geonames.org/2520610/,SANIDAD,,SANITAT,,100291,,D.G.DE ORDENACIÓN Y ASISTENCIA SANITARIA,,D.G. D'ORDENACIÒ I ASISTENCIA SANITARIA,,CAJA207,,G.V. C.S. HOSPITAL DE ALCOI C.F.,,G.V. C.S. HOSPITAL DE ALCOI C.F.,,23002,,DIETAS DEL PERSONAL,,DIETAS DEL PERSONAL,,108,,,,23/02/12,,EMPLEADO PÚBLICO,,"20,85",
2012,,4,,05,Provincia de Ávila Castilla y León Kingdom of Spain http://sws.geonames.org/3129138/,PRESIDENCIA DE LA GENERALITAT,,PRESIDÈNCIA DE LA GENERALITAT,,050405,,D.G. DE ADMINISTRACIÓN LOCAL,,D.G. D'ADMINISTRACIÒ LOCAL,,CAJA498,,G. C.P. D.G. DE ADMINISTRACION LOCAL. C.F.,,G. C.P. D.G. DE ADMINISTRACION LOCAL. C.F.,,23301,,OTRAS INDEMNIZACIONES,,OTRAS INDEMNIZACIONES,,27012012,,,,27/01/12,,EMPLEADO PÚBLICO,,"54,15",
2012,,4,,10,Provincia de Cáceres Extremadura Kingdom of Spain http://sws.geonames.org/2520610/,SANIDAD,,SANITAT,,100298,,ORGANICA NUEVA,,D.G. DE SALUD PÚBLICA,,CAJA390,,G.V. C.S. SALUD PUBLICA DE BENIDORM. C.F.,,G.V. C.S. SALUD PUBLICA DE BENIDORM. C.F.,,23002,,DIETAS DEL PERSONAL,,DIETAS DEL PERSONAL,,267,,,,01/03/12,,EMPLEADO PÚBLICO,,"83,4",
2012,,4,,10,Provincia de Cáceres Extremadura Kingdom of Spain http://sws.geonames.org/2520610/,SANIDAD,,SANITAT,,100291,,D.G.DE ORDENACIÓN Y ASISTENCIA SANITARIA,,D.G. D'ORDENACIÒ I ASISTENCIA SANITARIA,,CAJA113,,G.V.C.S. HOSPITAL LA FE.C.F.,,G.V.C.S. HOSPITAL LA FE.C.F.,,22001,,MATERIAL OFIC.ORDINARIO NO INVENTARIABLE,,MATERIAL OFIC.ORDINARIO NO INVENTARIABLE,,3102212,,,,17/01/12,,IMPRENTA PAPELERIA RAMIREZ SL,,"273,94",
2012,,4,,08,Província de Barcelona Catalunya Kingdom of Spain http://sws.geonames.org/3128759/,INFRAESTRUC. TERRIT. Y MEDIO AMBIENTE,,INFRAESTRUC. TERRIT. I MEDI AMBIENT,,080303,,D.G. DE CALIDAD AMBIENTAL,,D.G. DE QUAITAT AMBIENTAL,,CAJA486,,G. C.I.T.Y M.A. D.G. DE CALIDAD AMBIENTAL. C.F.,,G. C.I.T.Y M.A. D.G. DE CALIDAD AMBIENTAL. C.F.,,23002,,DIETAS DEL PERSONAL,,DIETAS DEL PERSONAL,,399,,,,12/03/12,,EMPLEADO PÚBLICO,,"22,87",
2012,,4,,10,Provincia de Cáceres Extremadura Kingdom of Spain http://sws.geonames.org/2520610/,SANIDAD,,SANITAT,,100291,,D.G.DE ORDENACIÓN Y ASISTENCIA SANITARIA,,D.G. D'ORDENACIÒ I ASISTENCIA SANITARIA,,CAJA114,,G.V.C.S. HOSPITAL DE REQUENA.C.F.,,G.V.C.S. HOSPITAL DE REQUENA.C.F.,,23102,,LOCOMOCIÓN DEL PERSONAL,,LOCOMOCIÓN DEL PERSONAL,,33/2012,,,,11/04/12,,EMPLEADO PÚBLICO,,"27,36",
2012,,4,,10,Provincia de Cáceres Extremadura Kingdom of Spain http://sws.geonames.org/2520610/,SANIDAD,,SANITAT,,100291,,D.G.DE ORDENACIÓN Y ASISTENCIA SANITARIA,,D.G. D'ORDENACIÒ I ASISTENCIA SANITARIA,,CAJA207,,G.V. C.S. HOSPITAL DE ALCOI C.F.,,G.V. C.S. HOSPITAL DE ALCOI C.F.,,23102,,LOCOMOCIÓN DEL PERSONAL,,LOCOMOCIÓN DEL PERSONAL,,99,,,,21/12/11,,EMPLEADO PÚBLICO,,"22,2",
2012,,4,,12,Província de Castelló Comunitat Valenciana Kingdom of Spain http://sws.geonames.org/3125881/,"AGRICULTURA, PESCA, ALIMENTACIÓN Y AGUA",,"AGRICULTURA, PESCA, ALLIMENTACIÒ I AIGUA",,120101,,SUBSECRETARÍA,,SUBSECRETARÍA,,CAJA150,,G.V.C.A.P.Y A. SSTT. DE VALENCIA.C.F.,,G.V.C.A.P.Y A. SSTT. DE VALENCIA.C.F.,,22101,,ENERGÍA ELÉCTRICA,,ENERGÍA ELÉCTRICA,,20111229030426548,,,,17/01/12,,IBERDROLA COMERCIALIZACION DE ULTIMO RECURSO SA,,"366,52",
2012,,4,,10,Provincia de Cáceres Extremadura Kingdom of Spain http://sws.geonames.org/2520610/,SANIDAD,,SANITAT,,100291,,D.G.DE ORDENACIÓN Y ASISTENCIA SANITARIA,,D.G. D'ORDENACIÒ I ASISTENCIA SANITARIA,,CAJA366,,G.V. C.S. D.G. DE ASISTENCIA SANITARIA. C.F.,,G.V. C.S. D.G. DE ASISTENCIA SANITARIA. C.F.,,23002,,DIETAS DEL PERSONAL,,DIETAS DEL PERSONAL,,13032012,,,,13/03/12,,EMPLEADO PÚBLICO,,"22,87",
