NOME,,CONCELLO,,ENDEREZO,,HORARIO,,PROVINCIA,,DEPARTAMENTO,,COORDENADAS,
Oficina Agraria Comarcal de Baio,,Zas,Zas Zas Kingdom of Spain http://sws.geonames.org/3104282/,"Rúa Campo do Rollo, 43 ",,"De 9:00 a 14:00 horas, de luns a venres",,Coruña (A),,Consellería de Medio Rural e do Mar,,"43.14908225793944,-8.96084189414978",
Rexistro do Edificio Administrativo de Vigo,,Vigo,Vigo Navia Kingdom of Spain http://sws.geonames.org/3105971/,"Praza da Estrela - Rúa Concepción Arenal, 8 ",,"Horario de atención ao público: das 9.00 ás 19.00 horas de luns a venres, e das 9.00 ás 14.00 horas os sábados e os días 24 e 31 de decembro cando sexan laborais. Horario de verán: do 16 de xuño ata o 15 de setembro (ambos inclusive), de 9 ás 14 horas, de luns a sábados (Instrución 1/2014, da Vicesecretaría Xeral da Vicepresidencia e Consellería de Presidencia, Administracións Públicas e Xustiza). Para compulsas: poderase presentar un máximo de 15 follas cando falten 30 minutos ou menos para o peche da oficina.",,Pontevedra,Provincia de Pontevedra Galicia Kingdom of Spain http://sws.geonames.org/3113208/,"Vicepresidencia e Consellería de Presidencia, Administracións Públicas e Xustiza",,"42.240806,-8.720666",
Rexistro da Escola Galega de Administración Pública,,Santiago de Compostela,Santiago de Compostela Santiago de Compostela Kingdom of Spain http://sws.geonames.org/3109642/,"Rúa Madrid, 2-4 - As Fontiñas ",,"De 9:00 a 14:00 horas, de luns a venres",,Coruña (A),,"Vicepresidencia e Consellería de Presidencia, Administracións Públicas e Xustiza",,"42.881316,-8.528242",
"Rexistro da Xefatura Territorial de Traballo e Benestar da Coruña (familia, menor, xuventude e prestacións)",,A Coruña,A Coruña Rías Altas Kingdom of Spain http://sws.geonames.org/6357300/,"Avenida Salvador de Madariaga, 9 - 1º",,"De 9:00 a 14:00 horas, de luns a venres",,Coruña (A),,Consellería de Traballo e Benestar,,"43.345668,-8.40634",
"Rexistro do Centro de Seguridade e Saúde Laboral (Instituto Galego de Seguridade e Saúde Laboral, ISSGA) da Coruña",,A Coruña,A Coruña Rías Altas Kingdom of Spain http://sws.geonames.org/6357300/,"Doutor Camilo Veiras, 8 ",,"De 9:00 a 14:00 horas, de luns a venres",,Coruña (A),,Consellería de Traballo e Benestar,,"43.337014,-8.389967",
Rexistro da Axencia para a  Modernización Tecnolóxica de Galicia (Amtega),,Santiago de Compostela,Santiago de Compostela Santiago de Compostela Kingdom of Spain http://sws.geonames.org/3109642/,"Centro de Innovación Cultural e Modernización Tecnolóxica de Galicia - Cidade da Cultura, Monte Gaiás, s/n",,"De 9:00 a 14:00 horas, de luns a venres",,Coruña (A),,Presidencia da Xunta de Galicia,,"42.871001,-8.52641",
Rexistro  de Traballo e Benestar,,Santiago de Compostela,Santiago de Compostela Santiago de Compostela Kingdom of Spain http://sws.geonames.org/3109642/,Complexo Administrativo de San Lázaro ,,"De 9:00 a 14:00 horas, de luns a venres",,Coruña (A),,Consellería de Traballo e Benestar,,"42.888071,-8.517546",
Rexistro da Secretaría Xeral de Emigración,,Santiago de Compostela,Santiago de Compostela Santiago de Compostela Kingdom of Spain http://sws.geonames.org/3109642/,Praza de Mazarelos,,"De 9:00 a 14:00 horas, de luns a venres",,Coruña (A),,Presidencia da Xunta de Galicia,,"42.878313, -8.542452",
"Servizo da Sección de Mediación, Arbitraxe e Conciliación (SMAC) de Ferrol",,Ferrol,Ferrol Ferrol Kingdom of Spain http://sws.geonames.org/3123493/,"Rúa Real, 1, entreplanta ",,"De 9:00 a 14:00 horas, de luns a venres",,Coruña (A),,Consellería de Traballo e Benestar,,"43.485775,-8.228838",
Rexistro da Xefatura Territorial de Sanidade de Ourense,,Ourense,Ourense Ourense Kingdom of Spain http://sws.geonames.org/3114965/,"Avenida Zamora, 13 - 5º ",,"De 9:00 a 14:00 horas, de luns a venres",,Ourense,Ourense Ourense Kingdom of Spain http://sws.geonames.org/3114965/,Consellería de Sanidade,,"42.32947811043322,-7.864281088113785",
