Fecha Modificación,,Fecha Descarga,,Cód. Puesto,,Dotación,,Puesto,,Cód. Departamento-Organismo Autónomo,,Departamento-Organismo Autónomo,,Cód. Centro Orgánico,,Centro Orgánico,,Cód. Centro Destino,,Centro Destino,,Categoria Retributiva,,Perfil Lingüístico,,Fecha de Preceptividad,,Importe retributivo,
09/05/2016,,23/03/2018,,3062,,1,,AUXILIAR IMPRENTA,,02,Provincia de Albacete Castilla-La Mancha Kingdom of Spain http://sws.geonames.org/2522257/,GOBERNANZA PÚBLICA Y AUTOGOBIERNO,,024200000000,,DIRECCIÓN DE RECURSOS GENERALES,,000117,,GOBIERNO VASCO - SEDE VITORIA-GASTEIZ,,5,,01,Araba / Álava Euskal Autonomia Erkidegoa Kingdom of Spain http://sws.geonames.org/3130717/,31/10/1993,,"27.833,38",
09/05/2016,,23/03/2018,,3437,,6,,EDUCADOR,,12,Província de Castelló Comunitat Valenciana Kingdom of Spain http://sws.geonames.org/3125881/,TRABAJO Y JUSTICIA,,122100000000,,DIR.DE LA ADMINISTRACIÓN DE JUSTICIA,,000645,,PALACIO DE JUSTICIA BILBAO (B. AIRES),,11,,03,Provincia de Alicante Comunitat Valenciana Kingdom of Spain http://sws.geonames.org/2521976/,31/03/2002,,"39.589,34",
09/05/2016,,23/03/2018,,3268,,5,,TECNICO/A OPERACIÓN Y MONITORIZACIÓN,,11,Provincia de Cádiz Andalucía Kingdom of Spain http://sws.geonames.org/2520597/,SEGURIDAD,,111400000000,,DIR.GESTION TELECOM. Y SISTEMAS INFORMAT,,000322,,SEDE DE INTERIOR-ERANDIO,,8,,02,Provincia de Albacete Castilla-La Mancha Kingdom of Spain http://sws.geonames.org/2522257/,31/12/2014,,"31.758,02",
09/05/2016,,23/03/2018,,3457,,3,,AUXILIAR ADMINISTRATIVO,,03,Provincia de Alicante Comunitat Valenciana Kingdom of Spain http://sws.geonames.org/2521976/,DESARROLLO ECONÓMICO E INFRAESTRUCTURAS,,030230000000,,DELEGACIÓN TERRITORIAL DE BIZKAIA,,000592,,"GOBIERNO VASCO - BILBAO, GENERAL CONCHA, 23",,4,,02,Provincia de Albacete Castilla-La Mancha Kingdom of Spain http://sws.geonames.org/2522257/,31/10/2008,,"26.552,72",
09/05/2016,,23/03/2018,,3145,,2,,LETRADO/A B,,11,Provincia de Cádiz Andalucía Kingdom of Spain http://sws.geonames.org/2520597/,SEGURIDAD,,111300000000,,DIRECCIÓN DE RECURSOS HUMANOS,,000322,,SEDE DE INTERIOR-ERANDIO,,12,,04,Almería Andalucía Kingdom of Spain http://sws.geonames.org/2521883/,31/10/1994,,"40.269,18",
09/05/2016,,23/03/2018,,3524,,1,,TECNICO/A SISTEMAS CENTRALES,,11,Provincia de Cádiz Andalucía Kingdom of Spain http://sws.geonames.org/2520597/,SEGURIDAD,,111400000000,,DIR.GESTION TELECOM. Y SISTEMAS INFORMAT,,000322,,SEDE DE INTERIOR-ERANDIO,,10,,02,Provincia de Albacete Castilla-La Mancha Kingdom of Spain http://sws.geonames.org/2522257/,31/12/2017,,"35.684,32",
09/05/2016,,23/03/2018,,3287,,3,,TECNICO/A STANDARIZACION,,11,Provincia de Cádiz Andalucía Kingdom of Spain http://sws.geonames.org/2520597/,SEGURIDAD,,111100000000,,DIR.GESTIÓN ECONÓMICA Y RECURSOS GRALES.,,000322,,SEDE DE INTERIOR-ERANDIO,,11,,02,Provincia de Albacete Castilla-La Mancha Kingdom of Spain http://sws.geonames.org/2522257/,31/03/2014,,"37.647,96",
09/05/2016,,23/03/2018,,3496,,44,,EDUCADOR/A,,12,Província de Castelló Comunitat Valenciana Kingdom of Spain http://sws.geonames.org/3125881/,TRABAJO Y JUSTICIA,,122300000000,,DIRECCIÓN DE JUSTICIA,,000227,,CENTRO EDUCATIVO DE ZUMARRAGA,,11,,03,Provincia de Alicante Comunitat Valenciana Kingdom of Spain http://sws.geonames.org/2521976/,,,"39.589,34",
09/05/2016,,23/03/2018,,3496,,25,,EDUCADOR/A,,12,Província de Castelló Comunitat Valenciana Kingdom of Spain http://sws.geonames.org/3125881/,TRABAJO Y JUSTICIA,,122300000000,,DIRECCIÓN DE JUSTICIA,,000227,,CENTRO EDUCATIVO DE ZUMARRAGA,,11,,03,Provincia de Alicante Comunitat Valenciana Kingdom of Spain http://sws.geonames.org/2521976/,,,"39.589,34",
09/05/2016,,23/03/2018,,3248,,24,,AUXILIAR ADMINISTRATIVO/A A,,11,Provincia de Cádiz Andalucía Kingdom of Spain http://sws.geonames.org/2520597/,SEGURIDAD,,111300000000,,DIRECCIÓN DE RECURSOS HUMANOS,,003656,,DONOSTIA - S.S. COMISARIA,,5,,02,Provincia de Albacete Castilla-La Mancha Kingdom of Spain http://sws.geonames.org/2522257/,31/10/1992,,"27.125,98",
