Fecha Modificación,,Fecha Descarga,,Cód. Puesto,,Dotación,,Puesto,,Cód. Departamento-Organismo Autónomo,,Departamento-Organismo Autónomo,,Cód. Centro Orgánico,,Centro Orgánico,,Cód. Centro Destino,,Centro Destino,,CD (Complemento Destino),,CES (Compl. Específ. Singularizado),,Perfil Lingüístico,,Fecha de Preceptividad,,Importe retributivo,
09/05/2016,,23/03/2018,,510090,,45,,TÉCNICO/A MEDIO AMBIENTE,,05,http://sws.geonames.org/3129138/,"MEDIO AMBIENTE, PLANIF.TERRI.Y VIVIENDA",,051200000000,,DIR.PATRIMONIO NATURAL Y CAMBIO CLIMATIC,,006440,,TORRE MADARIAGA (TORRE DEL RELOJ),,25,http://sws.geonames.org/6355231/,III-B,,03,http://sws.geonames.org/2521976/,31/03/2008,,"45.705,94",
09/05/2016,,23/03/2018,,520020,,918,,AUXILIAR GENERAL,,08,http://sws.geonames.org/3128759/,SALUD,,081050000000,,DELEGACIÓN TERRITORIAL DE GIPUZKOA,,000697,,"GOBIERNO VASCO - DONOSTIA, SANCHO EL SABIO, 35",,16,http://sws.geonames.org/2519034/,VII-B,,02,http://sws.geonames.org/2522257/,31/03/1994,,"26.552,72",
09/05/2016,,23/03/2018,,520040,,547,,ADMINISTRATIVO/A GENERAL,,12,http://sws.geonames.org/3125881/,TRABAJO Y JUSTICIA,,121140000000,,SUBDIRECCIÓN DE LA INSPECCIÓN DE TRABAJO,,000336,,INSPECCIÓN DE TRABAJO DE BIZKAIA,,18,http://sws.geonames.org/2517115/,VI-C,,03,http://sws.geonames.org/2521976/,31/10/2012,,"27.833,38",
09/05/2016,,23/03/2018,,520020,,42,,AUXILIAR GENERAL,,03,http://sws.geonames.org/2521976/,DESARROLLO ECONÓMICO E INFRAESTRUCTURAS,,033300000000,,DIR.PESCA Y ACUICULTURA,,000907,,SERVICO ESTRUCTURAS PESQUERAS,,16,http://sws.geonames.org/2519034/,VII-B,,02,http://sws.geonames.org/2522257/,31/10/2002,,"26.552,72",
09/05/2016,,23/03/2018,,510380,,3,,ARQUITECTO/A TÉCNICO/A,,02,http://sws.geonames.org/2522257/,GOBERNANZA PÚBLICA Y AUTOGOBIERNO,,024200000000,,DIRECCIÓN DE RECURSOS GENERALES,,000117,,GOBIERNO VASCO - SEDE VITORIA-GASTEIZ,,23,http://sws.geonames.org/2516394/,IV-B,,03,http://sws.geonames.org/2521976/,,,"39.589,34",
09/05/2016,,23/03/2018,,520020,,251,,AUXILIAR GENERAL,,11,http://sws.geonames.org/2520597/,SEGURIDAD,,112300000000,,DIRECCIÓN DE TRÁFICO,,001097,,"GOBIERNO VASCO - GASTEIZ, SAMANIEGO, 2 Y 6",,16,http://sws.geonames.org/2519034/,VII-B,,02,http://sws.geonames.org/2522257/,31/03/2007,,"26.552,72",
09/05/2016,,23/03/2018,,510060,,121,,ASESOR/A JURÍDICO/A,,05,http://sws.geonames.org/3129138/,"MEDIO AMBIENTE, PLANIF.TERRI.Y VIVIENDA",,053020000000,,DELEG.TERRITORIAL DE VIVIENDA-GIPUZKOA,,000156,,"GOBIERNO VASCO - DONOSTIA, ANDIA, 13",,25,http://sws.geonames.org/6355231/,III-C,,03,http://sws.geonames.org/2521976/,31/10/2006,,"42.329,98",
09/05/2016,,23/03/2018,,510050,,19,,TÉCNICO/A ADMINISTRACIÓN INDUSTRIAL Y EN,,03,http://sws.geonames.org/2521976/,DESARROLLO ECONÓMICO E INFRAESTRUCTURAS,,030230000000,,DELEGACIÓN TERRITORIAL DE BIZKAIA,,000592,,"GOBIERNO VASCO - BILBAO, GENERAL CONCHA, 23",,25,http://sws.geonames.org/6355231/,III-C,,03,http://sws.geonames.org/2521976/,31/03/2014,,"42.329,98",
09/05/2016,,23/03/2018,,510540,,2,,TÉCNICO/A CONTABILIDAD,,06,http://sws.geonames.org/2521419/,HACIENDA Y ECONOMÍA,,061000000000,,OFICINA DE CONTROL ECONÓMICO,,000117,,GOBIERNO VASCO - SEDE VITORIA-GASTEIZ,,25,http://sws.geonames.org/6355231/,III-B,,03,http://sws.geonames.org/2521976/,,,"45.705,94",
09/05/2016,,23/03/2018,,510180,,3,,TÉCNICO/A PREVENCIÓN RIESGOS LABORALES,,48,http://sws.geonames.org/3104469/,OSALAN - INST.VASCO SEGUR. Y SALUD LAB.,,480150000000,,CENTRO TERRITORIAL GIPUZKOA,,000286,,CAT DE DONOSTIA-SAN SEBASTIAN,,25,http://sws.geonames.org/6355231/,III-B,,04,http://sws.geonames.org/2521883/,,,"45.705,94",
