Objektart,,Kennung,,Punktkennung,,NBZ,,Punktnummer,,Ostwert,,Nordwert,,Koordinatenstatus,,Genauigkeitsstufe,,Hinweis,,Kartendarstellung,,Herkunft1,,SonstigeEigenschaft,,PraesID,
AX_SonstigerVermessungspunkt,,13003,,322905744070023,,322905744,,70023,,"290797,401",,"5744045,885",,1000 Amtliche Koordinaten bzw. amtliche H”he,,2300 Standardabweichung S kleiner gleich 10 cm,550480739,NW_LST::489,,true,,1040 Aus Katastervermessung mit unzureichender Lagegenauigkeit (NW),,"NW_DST1::AP (2), ohne Punktnummerndarstellung NW_GKA::24579741170023",,sonstVermPkt_ungenau_mit_Karte,
AX_Aufnahmepunkt,,13001,,323055741000017,,323055741,,17,,"305973,351",,"5741632,873",,1000 Amtliche Koordinaten bzw. amtliche H”he,,2100 Standardabweichung S kleiner gleich 3 cm,550480739,NW_LST::489,,true,,1020 Aus Katastervermessung mit hoher Lagegenauigkeit (NW),,NW_GKA::25571239100017 NW_SP::Stuetz- und Anschlusspunkt NW_TEX::S,,Anschlusspunkt,
AX_SonstigerVermessungspunkt,,13003,,323175716700008,,323175716,,700008,,"317537,180",,"5716844,338",,3000 Vorl„ufige Koordinaten bzw. vorl„ufige H”he,,2100 Standardabweichung S kleiner gleich 3 cm,550480739,NW_LST::089,,false,,1020 Aus Katastervermessung mit hoher Lagegenauigkeit (NW),,"NW_DST1::AP (2), ohne Punktnummerndarstellung NW_GKA::25572515100008 NW_GKU::Umn",,sonstVermPkt_genau_mit_Karte,
AX_SonstigerVermessungspunkt,,13003,,323065751000018,,323065751,,18,,"306190,505",,"5751254,676",,1000 Amtliche Koordinaten bzw. amtliche H”he,,2300 Standardabweichung S kleiner gleich 10 cm,550480739,NW_LST::489,,true,,1040 Aus Katastervermessung mit unzureichender Lagegenauigkeit (NW),,"NW_DST1::AP (2), ohne Punktnummerndarstellung NW_GKA::25571249100018",,sonstVermPkt_ungenau_mit_Karte,
AX_SonstigerVermessungspunkt,,13003,,323145711000170,,323145711,,170,,"314550,247",,"5711807,575",,3000 Vorl„ufige Koordinaten bzw. vorl„ufige H”he,,2100 Standardabweichung S kleiner gleich 3 cm,550480739,NW_LST::089,,false,,1020 Aus Katastervermessung mit hoher Lagegenauigkeit (NW),,"NW_DST1::AP (2), ohne Punktnummerndarstellung NW_GKA::25572210100170",,sonstVermPkt_genau_mit_Karte,
AX_SonstigerVermessungspunkt,,13003,,323075713080019,,323075713,,80019,,"307352,438",,"5713676,873",,1000 Amtliche Koordinaten bzw. amtliche H”he,,2100 Standardabweichung S kleiner gleich 3 cm,550480739,NW_LST::489,,true,,1020 Aus Katastervermessung mit hoher Lagegenauigkeit (NW),,"NW_DST1::AP (2), ohne Punktnummerndarstellung NW_GKA::25571511180019",,sonstVermPkt_genau_mit_Karte,
AX_Aufnahmepunkt,,13001,,323125702000189,,323125702,,189,,"312546,438",,"5702506,412",,1000 Amtliche Koordinaten bzw. amtliche H”he,,2100 Standardabweichung S kleiner gleich 3 cm,550480739,NW_LST::489,,true,,1020 Aus Katastervermessung mit hoher Lagegenauigkeit (NW),,NW_GKA::25572100100189 NW_SP::Stuetz- und Anschlusspunkt NW_TEX::S,,Anschlusspunkt,
AX_SonstigerVermessungspunkt,,13003,,323045734000005,,323045734,,5,,"304346,861",,"5734781,325",,3000 Vorl„ufige Koordinaten bzw. vorl„ufige H”he,,2100 Standardabweichung S kleiner gleich 3 cm,550480739,NW_LST::089,,false,,1020 Aus Katastervermessung mit hoher Lagegenauigkeit (NW),,"NW_DST1::AP (2), ohne Punktnummerndarstellung NW_GKA::25571132100005",,sonstVermPkt_genau_mit_Karte,
AX_SonstigerVermessungspunkt,,13003,,322945746000011,,322945746,,11,,"294657,664",,"5746032,195",,1000 Amtliche Koordinaten bzw. amtliche H”he,,2100 Standardabweichung S kleiner gleich 3 cm,550480739,NW_LST::489,,true,,1020 Aus Katastervermessung mit hoher Lagegenauigkeit (NW),,"NW_DST1::AP (2), ohne Punktnummerndarstellung NW_GKA::25570143100011",,sonstVermPkt_genau_mit_Karte,
AX_SonstigerVermessungspunkt,,13003,,323125745000003,,323125745,,3,,"312489,349",,"5745835,044",,1000 Amtliche Koordinaten bzw. amtliche H”he,,2100 Standardabweichung S kleiner gleich 3 cm,550480739,NW_LST::489,,true,,1020 Aus Katastervermessung mit hoher Lagegenauigkeit (NW),,"NW_DST1::AP (2), ohne Punktnummerndarstellung NW_GKA::25571944100003",,sonstVermPkt_genau_mit_Karte,
