Nr.,,Stadtteil,,Schüler/-innen an allgemeinbildenden Schulen,,darunter Grundschule,,darunter Hauptschule,,darunter Realschule,,darunter Gymnasium,,darunter Gesamtschule,,darunter Förderschule,
906,,Höhenhaus,Höhenhaus Leverkusen Federal Republic of Germany http://sws.geonames.org/2901725/,2209,,793,,0,,0,,0,,1272,,144,
206,,Rondorf,Rondorf Köln Federal Republic of Germany http://sws.geonames.org/2845257/,311,,311,,0,,0,,0,,0,,0,
507,,Bilderstöckchen,,1752,,624,,395,,0,,733,,0,,0,
611,,Roggendorf/Thenhoven,,173,,173,,0,,0,,0,,0,,0,
307,,Weiden,Weiden Weiden i.d.OPf. Federal Republic of Germany http://sws.geonames.org/3209222/,1910,,428,,315,,0,,1167,,0,,0,
804,,Höhenberg,"Höhenberg Untergriesbach, Markt Federal Republic of Germany http://sws.geonames.org/2901965/",1589,,204,,428,,0,,0,,957,,0,
716,,Finkenberg,Finkenberg Mönchengladbach Federal Republic of Germany http://sws.geonames.org/2926784/,1775,,264,,0,,0,,0,,1288,,223,
406,,Ossendorf,Ossendorf Warburg Federal Republic of Germany http://sws.geonames.org/2856859/,642,,642,,0,,0,,0,,0,,0,
711,,Wahn,Wahn Köln Federal Republic of Germany http://sws.geonames.org/2815381/,1710,,390,,0,,646,,674,,0,,0,
807,,Brück,Brücktal Brücktal Federal Republic of Germany http://sws.geonames.org/2943521/,933,,425,,0,,508,,0,,0,,0,
