bezirk,,anzahl_personen_je_familie,,anzahl_familien,,personen_insgesamt,
Gehöfte,,7,,0,,0,
Gehöfte,,6,,0,,0,
Schlich,Schlich Langerwehe Federal Republic of Germany http://sws.geonames.org/2838588/,1,,703,,703,
Merode,Merode Dülmen Federal Republic of Germany http://sws.geonames.org/2871758/,2,,143,,286,
Luchem,Luchem Langerwehe Federal Republic of Germany http://sws.geonames.org/2875550/,10,,0,,0,
Merode,Merode Dülmen Federal Republic of Germany http://sws.geonames.org/2871758/,10,,0,,0,
Kerngebiet,,6,,4,,24,
Schlich,Schlich Langerwehe Federal Republic of Germany http://sws.geonames.org/2838588/,12,,0,,0,
Gehöfte,,12,,0,,0,
Gehöfte,,4,,0,,0,
