bezirk,,geburtsdatum_von,,geburtsdatum_bis,,deutsche,,auslaender,
Keldenich,http://sws.geonames.org/2891836/,01.01.1896,,31.12.2011,,861,,23,
Roder,http://sws.geonames.org/2846020/,01.01.1896,,31.12.2011,,66,,0,
nicht zugeordnet,,01.01.1896,,31.12.2011,,0,,1,
Diefenbach,http://sws.geonames.org/6554307/,01.01.1896,,31.12.2011,,74,,0,
Benenberg,http://sws.geonames.org/2951100/,01.01.1896,,31.12.2011,,105,,5,
Wallenthal,http://sws.geonames.org/2814618/,01.01.1896,,31.12.2011,,196,,5,
Wallenthalerhöhe,,01.01.1896,,31.12.2011,,24,,0,
Rinnen,http://sws.geonames.org/2846544/,01.01.1896,,31.12.2011,,357,,7,
Anstois,http://sws.geonames.org/2955916/,01.01.1896,,31.12.2011,,87,,2,
Steinfeld,http://sws.geonames.org/2828136/,01.01.1896,,31.12.2011,,148,,10,
