stadtbereich_code,,stadtbereich_bezeichnung,,wahlbeteiligung,,zweitstimmenanteile_cdu,,zweitstimmenanteile_die_linke,,zweitstimmenanteile_spd,,zweitstimmenanteile_gruene,,zweitstimmenanteile_fdp,,zweitstimmenanteile_npd,
H,,Reutershagen,Reutershagen Rostock Federal Republic of Germany http://sws.geonames.org/2847794/,55.3,,16.6,,22.4,,37.3,,11.5,,2.0,,4.0,
O,,Brinckmansdorf,"Brinckmansdorf Rostock, Hansestadt Federal Republic of Germany http://sws.geonames.org/2944074/",64.7,,21.4,,18.0,,34.3,,13.8,,3.4,,3.4,
J,,Gartenstadt-Stadtweide,,65.8,,23.5,,17.3,,31.2,,15.7,,3.9,,3.1,
U,,Rostock-Ost,,52.5,,23.6,,18.3,,33.5,,11.8,,2.8,,4.5,
G,,Schmarl,"Schmarl Rostock, Hansestadt Federal Republic of Germany http://sws.geonames.org/2838008/",40.7,,11.4,,27.6,,34.9,,8.5,,1.8,,6.1,
R,,Dierkow-West,"Dierkow-West Rostock, Hansestadt Federal Republic of Germany http://sws.geonames.org/9222697/",58.3,,21.3,,18.9,,33.7,,13.7,,2.5,,4.1,
Q,,Dierkow-Ost,"Dierkow-Ost Rostock, Hansestadt Federal Republic of Germany http://sws.geonames.org/9222698/",56.5,,19.9,,21.5,,34.7,,10.8,,3.3,,3.4,
D,,Groß Klein,Groß Klein Lichtenhagen Federal Republic of Germany http://sws.geonames.org/2915417/,40.1,,11.9,,27.8,,34.6,,8.5,,1.8,,6.9,
N,,Stadtmitte,"Stadtmitte Rostock, Hansestadt Federal Republic of Germany http://sws.geonames.org/9238865/",58.9,,18.8,,15.5,,26.3,,24.7,,3.8,,2.2,
K,,Kröpeliner-Tor-Vorstadt,"Kröpeliner-Tor-Vorstadt Rostock, Hansestadt Federal Republic of Germany http://sws.geonames.org/9238414/",57.5,,15.5,,14.8,,27.2,,27.1,,2.7,,2.1,
