GKZ,,Name,,ANT_BBS_ABI,,Ant_Pflbed,,Ant_Pflbed_amb,,Ant_Pflbed_teilstat,,Ant_Pflbed_vollstat,,Ant_Pflbed_vollstat_dauer,,Ant_Pflbed_vollstat_kurz,,Ant_Pflgeldempf,,ANTABG_ABI,,ANTABG_OHNE,,ANTAUSL_BBS_ABI,,ANTAUSLABG_ABI,,ANTAUSLABG_OHNE,,I1_2_geb_rate,,I1_3_sterbe_rate,,I1_4_nat_saldo,,I1_4_wansaldo,,I1_4a_wansaldo1824,,I1_4b_wansaldo5064,,I1_4c_wansaldo6599,,I1_4d_zuzuege,,I1_4e_fortzuege,,I1_4f_wansaldo_ins,,I4_32a_EinpQuote_ins,,I4_32b_EinpQuote_w,,I4_32c_EinpQuote_m,,I4_33a_AuspQuote_ins,,I4_33b_AuspQuote_w,,I4_33c_AuspQuote_m,,I4_34a_Pendsaldo_ins,,I4_34b_Pendsaldo_w,,I4_34c_Pendsaldo_m,,I4_36a_EinpWoBev_ins,,I4_36b_EinpWoBev_w,,I4_36c_EinpWoBev_m,,I4_37a_AuspWoBev_ins,,I4_37b_AuspWoBev_w,,I4_37c_AuspWoBev_m,,I6_Ant_Abg_FH_Abi_ges,,I6_Ant_Abg_FH_Abi_ndt,,I6_Ant_Abg_FoeS_ges,,I6_Ant_Abg_FoeS_ndt,,I6_Ant_Abg_mHS_ges,,I6_Ant_Abg_mHS_ndt,,I6_Ant_Abg_ndt,,I6_Ant_Abg_oHS_ges,,I6_Ant_Abg_oHS_ndt,,I6_Ant_Abg_RS_ges,,I6_Ant_Abg_RS_ndt,,Pflegepl_Heime,,Pflegequote_ab65,
5170008,,Dinslaken,http://sws.geonames.org/6557515/,,,,,,,,,,,,,,,,,"55,4",,"2,7",,,,"12,7",,"5,6",,"7,388220057",,"10,64080299",,"-3,252582934",,"2,3",,"-16,4",,"1,0",,"-3,8",,"40,6",,"41,1",,"-0,5",,"61,52061069",,"57,75738799",,"65,47663786",,"72,92319581",,"65,47133139",,"78,82027224",,"-15,51271405",,"-8,310980168",,"-23,01980198",,"22,60924209",,"21,31392639",,"23,95947928",,"38,12195615",,"29,62490656",,"46,97928126",,,,,,,,,,,,,,,,,,,,,,,,,,,
5170040,,Sonsbeck,http://sws.geonames.org/2831105/,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,5766601",,"12,68976706",,"-6,113106965",,"12,4",,"-37,7",,"5,8",,"9,4",,"63,4",,"56,9",,"6,4",,"71,24248497",,"72,61785356",,"69,86986987",,"79,9863388",,"78,63117871",,"81,09113453",,"-15,81843191",,"-10,76015272",,"-20,78364566",,"24,44979367",,"25,13016314",,"23,78194208",,"40,26822558",,"35,89031586",,"44,56558773",,,,,,,,,,,,,,,,,,,,,,,,,,,
5170032,,Rheinberg,http://sws.geonames.org/6557520/,,,,,,,,,,,,,,,,,"40,7",,"2,3",,,,,,"5,3",,"6,894767898",,"11,67988231",,"-4,785114414",,"5,7",,"-35,9",,"-0,4",,"9,3",,"46,1",,"44,4",,"1,7",,"76,40274314",,"71,30523108",,"79,93316919",,"80,2472383",,"77,91592658",,"82,11074302",,"-8,797653959",,"-11,10894562",,"-6,471857227",,"35,93841642",,"27,36308712",,"44,56756227",,"44,73607038",,"38,47203274",,"51,03941949",,,,,,,,,,,,,,,,,,,,,,,,,,,
5170036,,Schermbeck,http://sws.geonames.org/6553045/,,,,,,,,,,,,,,,,,"44,2",,,,,,,,,,"6,58651527",,"11,13213848",,"-4,545623214",,"10,6",,"-61,3",,"10,7",,"7,0",,"52,5",,"48,3",,"4,2",,"66,06038559",,"57,65258216",,"71,37767221",,"79,80915203",,"77,35943775",,"81,67239404",,"-21,31991307",,"-21,09215017",,"-21,55013799",,"20,77090244",,"13,97042093",,"27,6448942",,"42,09081551",,"35,0625711",,"49,1950322",,,,,,,,,,,,,,,,,,,,,,,,,,,
5170004,,Alpen,http://sws.geonames.org/2958188/,,,,,,,,,,,,,,,,,,,"3,7",,,,,,,,"6,183049779",,"12,77961563",,"-6,596565848",,"8,2",,"-51,7",,"-0,7",,"8,8",,"51,5",,"49,7",,"1,8",,"75,25413883",,"66,07142857",,"80,01764446",,"81,79465056",,"80,5582762",,"82,76792598",,"-14,33516352",,"-21,07307599",,"-7,818736793",,"30,92623538",,"18,86380189",,"42,59215778",,"45,2613989",,"39,93687788",,"50,41089458",,,,,,,,,,,,,,,,,,,,,,,,,,,
5170048,,Wesel (WES),,,,,,,,,,,,,,,,,,"50,2",,"0,5",,,,"21,9",,"1,6",,"7,729352475",,"11,26454693",,"-3,535194456",,"4,7",,"-19,9",,"3,2",,"0,5",,"44,4",,"43,0",,"1,4",,"60,69517494",,"57,46212121",,"63,71517028",,"56,85909685",,"48,44934528",,"63,4078712",,"5,036413991",,"9,411405606",,"0,589482393",,"34,03169556",,"30,86941039",,"37,24597963",,"28,99528157",,"21,45800478",,"36,65649723",,,,,,,,,,,,,,,,,,,,,,,,,,,
5170000,,"Wesel, LK",,"5,0",,"3,929475552",,"20,91430481",,"1,648198675",,"23,39217106",,"22,8242107",,"0,567960354",,"55,69352414",,"45,7",,"2,2",,"1,7",,"20,5",,"5,0",,"7,156180355",,"11,24410906",,"-4,087928705",,"5,5",,"-27,8",,"1,5",,"0,7",,"32,5",,"31,6",,"0,9",,"37,60899237",,"31,94415825",,"42,58376813",,"50,05985326",,"42,20455209",,"56,25978812",,"-10,30432408",,"-6,835365934",,"-13,81521637",,"15,59985613",,"12,31676797",,"18,92263157",,"25,90418021",,"19,1521339",,"32,73784794",,"52,3",,"30,8",,"1,7",,"2,4",,"11,9",,"21,9",,"7,5",,"1,7",,"3,8",,"32,4",,"41,1",,"47,45451981",,"180,9033584",
5170012,,Hamminkeln,http://sws.geonames.org/6557516/,,,,,,,,,,,,,,,,,,,"5,5",,,,,,,,"7,438914705",,"9,678084245",,"-2,23916954",,"8,1",,"-47,8",,"2,4",,"1,5",,"47,4",,"46,6",,"0,9",,"63,21227301",,"57,631786",,"66,90067603",,"75,09098694",,"72,85605869",,"76,73037669",,"-17,07778798",,"-16,41912277",,"-17,72180622",,"23,16429555",,"16,99930378",,"29,19219424",,"40,24208352",,"33,41842655",,"46,91400045",,,,,,,,,,,,,,,,,,,,,,,,,,,
5170024,,Moers,http://sws.geonames.org/6557518/,,,,,,,,,,,,,,,,,"55,2",,"2,7",,,,"24,0",,"7,2",,"7,457645048",,"11,08308951",,"-3,625444466",,"3,7",,"-12,9",,"-0,2",,"-5,5",,"44,3",,"44,5",,"-0,1",,"66,31648497",,"60,88033012",,"71,34138589",,"69,71872775",,"62,32249502",,"75,70033273",,"-5,07785852",,"-1,578209025",,"-8,683085446",,"29,77013199",,"25,87093757",,"33,78695731",,"34,84799051",,"27,4491466",,"42,47004275",,,,,,,,,,,,,,,,,,,,,,,,,,,
5000000,,Nordrhein-Westfalen,http://sws.geonames.org/2861876/,"3,5",,"3,309223568",,"22,60237458",,"1,660212006",,"27,57114457",,"26,78162382",,"0,78952075",,"49,82648085",,"46,2",,"2,1",,"1,4",,"20,4",,"5,5",,"8,261950642",,"10,98828573",,"-2,726335084",,"2,6",,"11,3",,"-0,5",,"-1,3",,"19,3",,"16,8",,"2,5",,"5,754036737",,"4,359631849",,"6,882772163",,"4,393385616",,"3,209343651",,"5,355931494",,"0,754192336",,"0,56403287",,"0,944014227",,"3,049948672",,"2,069361973",,"4,028794611",,"2,295756336",,"1,505329104",,"3,084780385",,"53,4",,"30,0",,"1,8",,"3,9",,"11,2",,"22,1",,"9,9",,"1,7",,"4,5",,"31,8",,"39,5",,"50,38766355",,"161,2815724",
