LAT,,LON,,Kategorien,,Art,,Name,,Beschreibung,,Konfession,,Träger,,Straße,,PLZ,,Stadt,,Öffnungszeiten,,URL,
50.747147,,7.102274,,freizeit:Freizeit,,Spielplatz,,Spielplatz,,,,,,,,Am Wichelshof 35,,53111,,Bonn,Kreisfreie Stadt Bonn Regierungsbezirk Köln Federal Republic of Germany http://sws.geonames.org/3247450/,,,,
50.678469,,7.168658,,betreuung:Betreuung,,Kindertagesstätte,,"Kath. Kiga ""Die Regenbogenkinder"", Seufertstraße",,Die Einrichtung hat zwei Gruppen,,,,andere Träger,,"Seufertstraße, 57",,53173,,Bad Godesberg,Bad Godesberg Bonn Federal Republic of Germany http://sws.geonames.org/2953455/,"montags - donnerstags 07.15 - 16.30 Uhr, freitags 07.15 - 15.15 Uhr",,,
50.661480,,7.185446,,bildung:Bildung,,Grundschule,,Am Domhof,,,,,,städtisch,,Friedrich-Bleek-Str. 2,,53179,,Bad Godesberg,Bad Godesberg Bonn Federal Republic of Germany http://sws.geonames.org/2953455/,,,,
50.73689,,7.09477,,betreuung:Betreuung,,Kindertagesstätte,,Städt. Kiga Stadthaus Berliner Platz,,Die Einrichtung hat zwei Gruppen.,,,,städtisch,,"Berliner Platz, 2",,53111,,Bonn,Kreisfreie Stadt Bonn Regierungsbezirk Köln Federal Republic of Germany http://sws.geonames.org/3247450/,"montags - donnerstags 07.30 - 17.00 Uhr, freitags 07.30 - 15.00 Uhr",,,
50.773184,,7.104267,,freizeit:Freizeit,,Spielplatz,,Spielplatz,,,,,,,,Auf dem Kirvelberg 4,,53844,,Troisdorf,Troisdorf Troisdorf Federal Republic of Germany http://sws.geonames.org/2821029/,,,,
50.771436,,7.195401,,freizeit:Freizeit,,Spielplatz,,Spielplatz,,,,,,,,Ginsterweg 25,,53757,,Sankt Augustin,Sankt Augustin Sankt Augustin Federal Republic of Germany http://sws.geonames.org/2841648/,,,,
50.719866,,7.050309,,betreuung:Betreuung,,Kindertagesstätte,,Städt. Kiga Im grünen Winkel,,Die Einrichtung verfügt über zwei Gruppen.,,,,städtisch,,"Im grünen Winkel, 74",,53123,,Hardtberg,"Hardtberg Pretzfeld, Markt Federal Republic of Germany http://sws.geonames.org/2910546/",montags - freitags 07.30 - 16.30 Uhr,,,
50.74255,, 7.08339,,freizeit:Freizeit,,Spielplatz,,Spielplatz,,,,,,,,Dorotheenstraße,,53119,,Bonn,Kreisfreie Stadt Bonn Regierungsbezirk Köln Federal Republic of Germany http://sws.geonames.org/3247450/,,,,
50.73415,,7.087751,,betreuung:Betreuung,,Kindertagesstätte,,Kindertagesstätte Rasselbande e.V.,,,,,,,,Endenicher Straße 10 a,,53115,,Bonn,Kreisfreie Stadt Bonn Regierungsbezirk Köln Federal Republic of Germany http://sws.geonames.org/3247450/,,,,
50.732593,,7.099724,,organisation:Organisation,,Jugend-Vereine,,Verein für internationale Jugendarbeit e. V.,,,,,,,,Wesselstraße 8,,53113,,Bonn,Kreisfreie Stadt Bonn Regierungsbezirk Köln Federal Republic of Germany http://sws.geonames.org/3247450/,,,,
