Datum,,Friedhof,,Grabstätten,,Anzahl,,Anzahl gesamt Friedhof,,Anzahl gesamt Kommune,
06.03.2017,,Poll,Poll Wesel Federal Republic of Germany http://sws.geonames.org/2852867/,Kindergrab,,1,,117,,3208,
06.03.2017,,Wissersheim,Wissersheim Nörvenich Federal Republic of Germany http://sws.geonames.org/2807432/,Reihenurnengrab,,16,,276,,3208,
06.03.2017,,Wissersheim,Wissersheim Nörvenich Federal Republic of Germany http://sws.geonames.org/2807432/,Kindergrab,,4,,276,,3208,
06.03.2017,,Poll,Poll Wesel Federal Republic of Germany http://sws.geonames.org/2852867/,Wahlurnengrab,,5,,117,,3208,
06.03.2017,,Nörvenich,Nörvenich Kreis Düren Federal Republic of Germany http://sws.geonames.org/6553060/,Reihenurnengrab,,61,,517,,3208,
06.03.2017,,Wissersheim,Wissersheim Nörvenich Federal Republic of Germany http://sws.geonames.org/2807432/,Wahlurnengrab,,14,,276,,3208,
06.03.2017,,Frauwüllesheim,Frauwüllesheim Nörvenich Federal Republic of Germany http://sws.geonames.org/3207602/,Reihenurnengrab,,20,,230,,3208,
06.03.2017,,Poll,Poll Wesel Federal Republic of Germany http://sws.geonames.org/2852867/,Reihenurnengrab,,8,,117,,3208,
06.03.2017,,Poll,Poll Wesel Federal Republic of Germany http://sws.geonames.org/2852867/,Reihengrab,,18,,117,,3208,
06.03.2017,,Rath,Rath Kerken Federal Republic of Germany http://sws.geonames.org/2850231/,Kindergrab,,8,,206,,3208,
