Ortsteil,,Fläche in km²,,Flächenanteil,
Brienen,Brienen Kleve Federal Republic of Germany http://sws.geonames.org/2944132/,"2,15",,"2,20%",
Wardhausen,Wardhausen Kleve Federal Republic of Germany http://sws.geonames.org/2814136/,"2,15",,"2,20%",
Düffelward,Düffelward Kleve Federal Republic of Germany http://sws.geonames.org/2934714/,"2,71",,"2,77%",
Bimmen,Bimmen Kleve Federal Republic of Germany http://sws.geonames.org/2948868/,"2,09",,"2,14%",
Rindern,Rindern Kleve Federal Republic of Germany http://sws.geonames.org/2846688/,"6,74",,"6,89%",
Kleve,Kleve Kleve Federal Republic of Germany http://sws.geonames.org/2887833/,"8,18",,"8,37%",
Donsbrüggen,Donsbrüggen Kleve Federal Republic of Germany http://sws.geonames.org/2936195/,"4,45",,"4,55%",
Reichswalde,Reichswalde Nordrhein-Westfalen Federal Republic of Germany http://sws.geonames.org/2848969/,"5,13",,"5,25%",
Schenkenschanz,Schenkenschanz Kleve Federal Republic of Germany http://sws.geonames.org/3206063/,"0,38",,"0,39%",
Materborn,Materborn Kleve Federal Republic of Germany http://sws.geonames.org/2872950/,"18,85",,"19,28%",
