url,filename,portal,checked,correct labels,Missing labels,wrong GeoNames labels,wrong OSM labels,N,TP,FP,FN,precision,recall,F1
http://data.gov.gr/dataset/1890691b-f661-428a-8da9-fcf278b2347f/resource/16cbd793-3628-4d44-91ff-570982d1f740/download/BIBLIOD.csv,data_gov_gr/0.csv,data_gov_gr,x,c,m,,,10,7,0,3,,,
http://www.data.gov.gr/dataset/1b9fed1b-23bc-43ac-a51b-76bb06434b8b/resource/aebbe734-c718-44c5-b4fe-9a8a9321229c/download/5773aa67ba21d-19--2006---.csv,data_gov_gr/1.csv,data_gov_gr,x,c,m,,,10,7,0,3,,,
http://data.gov.gr/dataset/a2b18635-e1b8-425b-a37e-16d3c847377e/resource/16449980-5e8a-4269-a2f0-13e8326102d7/download/sxoleia1vathmia.csv,data_gov_gr/2.csv,data_gov_gr,x,,,,o,10,0,10,0,,,
http://data.gov.gr/dataset/c697b5ca-b0c4-4fb3-8752-2bfaeb066416/resource/a85473d3-07da-4f68-ab0e-4ef7b3c6bf5e/download/BIBLIOST.csv,data_gov_gr/3.csv,data_gov_gr,x,c,m,,,10,9,0,1,,,
http://data.gov.gr/dataset/58c5004b-2d6a-4ffa-9f40-74e77d80a735/resource/9602434d-2026-413a-9e3c-300159218c30/download/exServices131332662852069907.csv,data_gov_gr/4.csv,data_gov_gr,x,,,,o,10,0,10,0,,,
http://www.data.gov.gr/dataset/57d93f11-92cb-4ca3-b52e-f225a390f0a4/resource/493e1a11-1c5b-4f21-ba94-4f23da70a182/download/5773a64bbcbe9-18--2003---.csv,data_gov_gr/5.csv,data_gov_gr,x,c,m,,,10,6,0,4,,,
http://www.data.gov.gr/dataset/e2f8b3f1-b68d-47a2-9438-916b987e9681/resource/2c0b7e9f-28a4-4bee-bfcc-22b2f85411d6/download/57874bcd6851a-20--2006---.csv,data_gov_gr/6.csv,data_gov_gr,x,c,m,,,9,3,0,6,,,
http://www.data.gov.gr/dataset/502fca56-32c5-476f-85c5-07c9e45ef850/resource/c44b0f2a-c6ea-4fbd-a897-d0495c60372d/download/exServices131286115738566479-1.csv,data_gov_gr/7.csv,data_gov_gr,x,,,,o,6,0,6,0,,,
http://www.data.gov.gr/dataset/0fd93c36-aa79-4440-b437-35bc22dcf34a/resource/8fe5809d-7382-4fd1-b058-83a070059b67/download/577387eb7cafa-12--2003-.csv,data_gov_gr/8.csv,data_gov_gr,x,c,m,,,10,6,0,4,,,
http://data.gov.gr/dataset/58c5004b-2d6a-4ffa-9f40-74e77d80a735/resource/39591ed2-d395-4e62-92c9-ee3207db883a/download/exSoftware131332662579547235.csv,data_gov_gr/9.csv,data_gov_gr,x,,,,o,10,0,10,0,0.513513513513513,0.644067796610169,0.571428571428571
http://opendata.euskadi.eus/contenidos/estadistica/udalmap_indicador_43/es_def/adjuntos/indicator.csv,datos_gob_es/0.csv,datos_gob_es,x,c,m,,,10,7,0,3,,,
http://opendata.euskadi.eus/contenidos/ds_informes_estudios/anillamiento_aranzadi/opendata/carga_citas_anillamientobizkaia2015.csv,datos_gob_es/1.csv,datos_gob_es,x,,,g,,2,0,1,0,,,
http://opendata.euskadi.eus/contenidos/estadistica/udalmap_indicador_120/es_def/adjuntos/indicator.csv,datos_gob_es/2.csv,datos_gob_es,x,c,,,,9,9,0,0,,,
