Hauptprobenummer,,Bezeichnung,,Probe-Entnahmeart,,Probenahme-Beginn Datum,,Probenahme-Beginn Zeit,,Probenahme-Ende Datum,,Probenahme-Ende Zeit,,Umweltbereich,,Messprogrammgruppe,,Entnahmestelle,,Herkunftsstaat,,Methode,,Pruefmerkmal,,Ergebnis,,Einheit,
201400240,,Wiesenbewuchs,,Einzelprobe,,20.06.2014,,11:00,,20.06.2014,,11:00,,Gras,Grashof Ruhpolding Federal Republic of Germany http://sws.geonames.org/2918003/,IMIS Routinemessprogramm,,hhlm11,,Deutschland,,Gammaspektrometrie (fest - TM),,Eisen-59 Fe-59,,n.n.,,Bq/kg(TM),
201400240,,Wiesenbewuchs,,Einzelprobe,,20.06.2014,,11:00,,20.06.2014,,11:00,,Gras,Grashof Ruhpolding Federal Republic of Germany http://sws.geonames.org/2918003/,IMIS Routinemessprogramm,,hhlm11,,Deutschland,,Gammaspektrometrie (fest - TM),,Neptunium-239 Np-239,,n.n.,,Bq/kg(TM),
201400240,,Wiesenbewuchs,,Einzelprobe,,20.06.2014,,11:00,,20.06.2014,,11:00,,Gras,Grashof Ruhpolding Federal Republic of Germany http://sws.geonames.org/2918003/,IMIS Routinemessprogramm,,hhlm11,,Deutschland,,Gammaspektrometrie (fest - TM),,Natrium-22 Na-22,,n.n.,,Bq/kg(TM),
201400240,,Wiesenbewuchs,,Einzelprobe,,20.06.2014,,11:00,,20.06.2014,,11:00,,Gras,Grashof Ruhpolding Federal Republic of Germany http://sws.geonames.org/2918003/,IMIS Routinemessprogramm,,hhlm11,,Deutschland,,Gammaspektrometrie (fest - TM),,Cobalt-57 Co-57,,n.n.,,Bq/kg(TM),
201400240,,Wiesenbewuchs,,Einzelprobe,,20.06.2014,,11:00,,20.06.2014,,11:00,,Gras,Grashof Ruhpolding Federal Republic of Germany http://sws.geonames.org/2918003/,IMIS Routinemessprogramm,,hhlm11,,Deutschland,,Gammaspektrometrie (fest - TM),,Iod-131 I-131,,n.n.,,Bq/kg(TM),
201400240,,Wiesenbewuchs,,Einzelprobe,,20.06.2014,,11:00,,20.06.2014,,11:00,,Gras,Grashof Ruhpolding Federal Republic of Germany http://sws.geonames.org/2918003/,IMIS Routinemessprogramm,,hhlm11,,Deutschland,,Gammaspektrometrie (fest - TM),,Indium-111 In-111,,n.n.,,Bq/kg(TM),
201400240,,Wiesenbewuchs,,Einzelprobe,,20.06.2014,,11:00,,20.06.2014,,11:00,,Gras,Grashof Ruhpolding Federal Republic of Germany http://sws.geonames.org/2918003/,IMIS Routinemessprogramm,,hhlm11,,Deutschland,,Gammaspektrometrie (fest - TM),,Tellur-132 Te-132,,n.n.,,Bq/kg(TM),
201400240,,Wiesenbewuchs,,Einzelprobe,,20.06.2014,,11:00,,20.06.2014,,11:00,,Gras,Grashof Ruhpolding Federal Republic of Germany http://sws.geonames.org/2918003/,IMIS Routinemessprogramm,,hhlm11,,Deutschland,,Gammaspektrometrie (fest - TM),,Technetium-99m Tc-99m,,n.n.,,Bq/kg(TM),
201400240,,Wiesenbewuchs,,Einzelprobe,,20.06.2014,,11:00,,20.06.2014,,11:00,,Gras,Grashof Ruhpolding Federal Republic of Germany http://sws.geonames.org/2918003/,IMIS Routinemessprogramm,,hhlm11,,Deutschland,,Gammaspektrometrie (fest - TM),,Cer-144 Ce-144,,n.n.,,Bq/kg(TM),
201400240,,Wiesenbewuchs,,Einzelprobe,,20.06.2014,,11:00,,20.06.2014,,11:00,,Gras,Grashof Ruhpolding Federal Republic of Germany http://sws.geonames.org/2918003/,IMIS Routinemessprogramm,,hhlm11,,Deutschland,,Gammaspektrometrie (fest - TM),,Zirkon-95 Zr-95,,n.n.,,Bq/kg(TM),
