Stadtbezirk,,Stadtbezirk Name,,Wahlberechtigte insgesamt,,Wahlberechtigte ohne Sperrvermerk,,Wahlberechtigte mit Sperrvermerk,,Wähler,,Briefwähler,,Gültige Stimmen,,Ungültige Stimmen,,CDU,,SPD,,GRÜNE,,FDP,,DIE LINKE,,REP,,PIRATEN,,Tierschutzpartei,,FREIE WÄHLER,,FAMILIE,,Volksabstimmung,,PBC,,IDP,,CM,,AUF,,DKP,,BP,,BüSo,,PSG,,AfD,,PRO NRW,,MLPD,,NPD,,Die Partei,
191,,Westend-Nord,http://sws.geonames.org/7118089/,3496,,2846,,650,,"53,1",,"15,4",,1852,,6,,"30,8",,"22,6",,18,,"11,5",,6,,"0,1",,"1,6",,"0,8",,"0,3",,"0,1",,"0,1",,0,,"0,2",,0,,0,,"0,2",,0,,0,,"0,1",,"6,2",,"0,1",,0,,"0,1",,"1,5",
483,,Riedwiese-Mertonviertel,,1024,,907,,117,,53,,"9,3",,539,,4,,"21,2",,"28,2",,"22,6",,"7,8",,"8,3",,0,,2,,"1,3",,"0,7",,"0,2",,"0,2",,0,,0,,0,,0,,0,,0,,"0,2",,0,,"6,5",,0,,0,,0,,"0,7",
192,,Westend-Nord,http://sws.geonames.org/7118089/,2207,,1928,,279,,"45,9",,"13,5",,1007,,5,,29,,"27,2",,"15,9",,"6,1",,"7,1",,"0,1",,2,,"0,7",,"0,7",,"0,2",,"0,4",,"0,2",,"0,3",,"0,3",,"0,1",,"0,2",,"0,1",,0,,0,,"7,8",,0,,"0,1",,"0,2",,"1,3",
552,,Griesheim-West,,3431,,3164,,267,,"32,8",,"7,6",,1111,,16,,"24,3",,"31,4",,"12,4",,"2,7",,"7,6",,1,,"1,6",,"2,3",,"0,8",,"0,5",,"0,5",,"0,1",,"0,5",,"0,4",,"0,1",,"0,2",,"0,1",,0,,"0,1",,"10,9",,0,,0,,"1,2",,"1,5",
213,,Nordend-West,http://sws.geonames.org/7118081/,720,,618,,102,,"49,6",,"12,8",,353,,4,,"20,1",,"25,5",,"25,5",,"7,1",,"9,3",,0,,"2,8",,"1,1",,"0,3",,"0,3",,0,,0,,"0,3",,0,,0,,0,,0,,0,,0,,"5,7",,0,,0,,0,,2,
272,,Bornheim,http://sws.geonames.org/6554834/,5920,,5303,,617,,"44,2",,"9,2",,2600,,17,,"18,9",,"27,4",,"24,8",,"3,7",,"12,3",,"0,3",,"1,9",,"1,3",,"0,6",,"0,1",,"0,4",,"0,2",,"0,4",,0,,"0,1",,"0,3",,0,,0,,0,,"5,4",,0,,0,,"0,3",,"1,6",
622,,Unterliederbach-Ost,,3428,,3264,,164,,"29,1",,"7,9",,989,,10,,"25,7",,"28,8",,"13,2",,3,,"9,5",,"0,6",,"2,4",,"1,7",,"1,3",,"0,6",,"0,2",,"0,1",,"0,6",,"0,3",,"0,2",,"0,2",,0,,"0,1",,0,,"8,7",,0,,0,,"1,7",,"0,9",
621,,Unterliederbach-Mitte,,4993,,4529,,464,,"46,2",,"8,5",,2291,,16,,"31,2",,"26,6",,"13,1",,"4,1",,"5,8",,"0,6",,"1,5",,"1,4",,1,,"0,3",,"0,3",,0,,"0,3",,0,,"0,3",,0,,0,,0,,0,,"11,8",,"0,1",,0,,"0,9",,"0,5",
282,,Bornheim,http://sws.geonames.org/6554834/,3420,,2937,,483,,"50,7",,"12,7",,1728,,6,,"16,6",,"26,4",,"26,3",,"4,8",,"13,5",,"0,2",,"2,1",,1,,"0,4",,"0,1",,"0,5",,"0,1",,"0,3",,0,,"0,1",,"0,2",,"0,1",,0,,0,,"4,8",,0,,0,,"0,2",,"2,4",
431,,Heddernheim-Ost,,5164,,4650,,514,,"49,1",,"9,3",,2524,,14,,"22,6",,"26,8",,"23,2",,"4,3",,"9,2",,"0,6",,"1,8",,"1,1",,"0,6",,"0,4",,"0,3",,"0,1",,"0,3",,0,,"0,1",,"0,1",,0,,0,,0,,"7,3",,0,,0,,"0,6",,"0,8",
