bezirk,,anzahl_kinder_je_familie,,familien_mit_kindern,,davon_alleinerziehende,,kinder_in_familien_insgesamt,,davon_bei_alleinerziehenden,,alleinlebende_kinder,
Lethert,,11,,0,,0,,0,,0,,0,
Kalkar,http://sws.geonames.org/2893837/,2,,23,,5,,46,,10,,0,
Wald,http://sws.geonames.org/2815208/,6,,1,,0,,6,,0,,0,
Mahlberg,http://sws.geonames.org/6558109/,8,,0,,0,,0,,0,,0,
Mutscheid,http://sws.geonames.org/2867332/,4,,0,,0,,0,,0,,0,
Nitterscheid,,10,,0,,0,,0,,0,,0,
Wald,http://sws.geonames.org/2815208/,10,,0,,0,,0,,0,,0,
Eichen,http://sws.geonames.org/2932398/,8,,0,,0,,0,,0,,0,
Esch,http://sws.geonames.org/2929192/,2,,10,,3,,20,,6,,0,
Eschweiler,http://sws.geonames.org/2928959/,10,,0,,0,,0,,0,,0,
