GESL,,GENA,,GASL,,GABE,,GENU,,GEMA,,ORTST,,WNUM,,BRW,,STAG,,BRKE,,BEDW,,PLZ,,BASBE,,BASMA,,YWERT,,XWERT,,BEZUG,,ENTW,,BEIT,,NUTA,,ERGNUTA,,BAUW,,GEZ,,WGFZ,,GRZ,,BMZ,,FLAE,,GTIE,,GBREI,,ERVE,,VERG,,VERF,,YVERG,,XVERG,,BOD,,ACZA,,GRZA,,AUFW,,WEER,,KOORWERT,,KOORVERF,,BEM,,FREI,,BRZNAME,,UMDART,,LUMNUM,
020000000221,,Hamburg,"Hamburg Hamburg, Freie und Hansestadt Federal Republic of Germany http://sws.geonames.org/2911298/",00001,,Gutachterausschuss für Grundstückswerte in Hamburg,,,,,,Nienstedten,Nienstedten Teufelsbrück Federal Republic of Germany http://sws.geonames.org/2862534/,05436024,,122.71,,31.12.1988,,2,,,,22609,,DK5,,5000,,32555737,,5934946,,ETRS89_UTM32,,B,,1,,M,,EFH,,eh,,,,,,,,,,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"          ;12;WR II     ;(2-geschossig)                                              ;  163,61;        ;        ;        ;        ;          ;    ;        ;          ;    ;        ;          ;    ;        ;          ;    ;        ;          ;    ;",,S211;Schliemannstraße;1;;Winckelmannstraße 2a;Altona;28002;,,0,,uf0200001-Bodenrichtwert-Erlaeuterung1988.pdf,
020000000705,,Hamburg,"Hamburg Hamburg, Freie und Hansestadt Federal Republic of Germany http://sws.geonames.org/2911298/",00001,,Gutachterausschuss für Grundstückswerte in Hamburg,,,,,,Wilstorf,Wilstorf Langenbek Federal Republic of Germany http://sws.geonames.org/2808409/,06624007,,143.16,,31.12.1988,,2,,,,21079,,DK5,,5000,,32566060,,5922321,,ETRS89_UTM32,,B,,1,,M,,WGH,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,oWE ohne Wohnungseigentum,,"          ;52;WA        ;ohne Eigent.whg. m.Gewerbe im Erdgeschoss und/oder Hinterhof;        ;  143,16;  138,05;        ;  150,32;          ;0,00;        ;Läden     ;0,30;  150,32;Wohnen    ;0,30;  138,05;Wohnen    ;0,30;  138,05;Wohnen    ;0,10;  138,05",,R086;Reeseberg;70;;Kniggestraße 2;Harburg;89003;,,0,,uf0200001-Bodenrichtwert-Erlaeuterung1988.pdf,
020000000601,,Hamburg,"Hamburg Hamburg, Freie und Hansestadt Federal Republic of Germany http://sws.geonames.org/2911298/",00001,,Gutachterausschuss für Grundstückswerte in Hamburg,,,,,,Lohbrügge,"Lohbrügge Hamburg, Freie und Hansestadt Federal Republic of Germany http://sws.geonames.org/2876349/",07830065,,71.58,,31.12.1988,,2,,,,21031,,DK5,,5000,,32579142,,5929948,,ETRS89_UTM32,,B,,1,,M,,EFH,,eh,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"          ;11;WR I      ;(1-geschossig)                                              ;   71,58;        ;        ;        ;        ;          ;    ;        ;          ;    ;        ;          ;    ;        ;          ;    ;        ;          ;    ;",,H018;Haempten;6;b;Reinbeker Redder 183a;Bergedorf;73003;,,0,,uf0200001-Bodenrichtwert-Erlaeuterung1988.pdf,
020000000504,,Hamburg,"Hamburg Hamburg, Freie und Hansestadt Federal Republic of Germany http://sws.geonames.org/2911298/",00001,,Gutachterausschuss für Grundstückswerte in Hamburg,,,,,,Eilbek,Eilbek Hamburg Federal Republic of Germany http://sws.geonames.org/2931877/,07036019,,143.16,,31.12.1988,,2,,,,22089,,DK5,,5000,,32569963,,5935974,,ETRS89_UTM32,,B,,1,,M,,MFH,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,oWE ohne Wohnungseigentum,,"          ;41;WR        ;ohne Eigentumswohnungen                                     ;        ;  143,16;  143,16;        ;        ;          ;    ;        ;          ;    ;        ;          ;    ;        ;          ;    ;        ;          ;    ;",,H084;Hammer Steindamm;20;;;Wandsbek;55006;,,0,,uf0200001-Bodenrichtwert-Erlaeuterung1988.pdf,
020000000519,,Hamburg,"Hamburg Hamburg, Freie und Hansestadt Federal Republic of Germany http://sws.geonames.org/2911298/",00001,,Gutachterausschuss für Grundstückswerte in Hamburg,,,,,,Poppenbüttel,Poppenbüttel Wandsbek Federal Republic of Germany http://sws.geonames.org/2852673/,07046032,,117.60,,31.12.1988,,2,,,,22391,,DK5,,5000,,32571393,,5944967,,ETRS89_UTM32,,B,,1,,M,,EFH,,eh,,,,,,,,,,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"          ;11;WR I      ;(1-geschossig)                                              ;  128,33;        ;        ;        ;        ;          ;    ;        ;          ;    ;        ;          ;    ;        ;          ;    ;        ;          ;    ;",,A126;Alte Landstraße;280;;Grevenau 13;Wandsbek;65013;,,0,,uf0200001-Bodenrichtwert-Erlaeuterung1988.pdf,
020000000223,,Hamburg,"Hamburg Hamburg, Freie und Hansestadt Federal Republic of Germany http://sws.geonames.org/2911298/",00001,,Gutachterausschuss für Grundstückswerte in Hamburg,,,,,,Blankenese,"Blankenese Hamburg, Freie und Hansestadt Federal Republic of Germany http://sws.geonames.org/10299508/",05238058,,230.08,,31.12.1988,,2,,,,22587,,DK5,,5000,,32553652,,5936258,,ETRS89_UTM32,,B,,1,,M,,MFH,,,,,,0.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ETW mit Eigentumswohnungen,,"          ;42;WR/WE     ;mit Eigentumswohnungen                                      ;        ;  298,59;  298,59;        ;        ;          ;    ;        ;          ;    ;        ;          ;    ;        ;          ;    ;        ;          ;    ;",,S733;Strauchweg;12;;;Altona;29003;,,0,,uf0200001-Bodenrichtwert-Erlaeuterung1988.pdf,
020000000519,,Hamburg,"Hamburg Hamburg, Freie und Hansestadt Federal Republic of Germany http://sws.geonames.org/2911298/",00001,,Gutachterausschuss für Grundstückswerte in Hamburg,,,,,,Poppenbüttel,Poppenbüttel Wandsbek Federal Republic of Germany http://sws.geonames.org/2852673/,07046004,,132.94,,31.12.1988,,2,,,,22391,,DK5,,5000,,32570385,,5944402,,ETRS89_UTM32,,B,,1,,M,,EFH,,eh,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"          ;12;WR II     ;(2-geschossig)                                              ;  132,94;        ;        ;        ;        ;          ;    ;        ;          ;    ;        ;          ;    ;        ;          ;    ;        ;          ;    ;",,V074;Vogtskamp;1;;;Wandsbek;65011;,,0,,uf0200001-Bodenrichtwert-Erlaeuterung1988.pdf,
020000000318,,Hamburg,"Hamburg Hamburg, Freie und Hansestadt Federal Republic of Germany http://sws.geonames.org/2911298/",00001,,Gutachterausschuss für Grundstückswerte in Hamburg,,,,,,Niendorf,Niendorf Hohenkirchen Federal Republic of Germany http://sws.geonames.org/2862598/,06244003,,92.03,,31.12.1988,,2,,,,22459,,DK5,,5000,,32562375,,5942091,,ETRS89_UTM32,,B,,1,,M,,MFH,,,,,,0.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,oWE ohne Wohnungseigentum,,"          ;41;WR        ;ohne Eigentumswohnungen                                     ;        ;  133,96;  133,96;        ;        ;          ;    ;        ;          ;    ;        ;          ;    ;        ;          ;    ;        ;          ;    ;",,O113;Ordulfstraße;51;;;Eimsbüttel;38016;,,0,,uf0200001-Bodenrichtwert-Erlaeuterung1988.pdf,
020000000306,,Hamburg,"Hamburg Hamburg, Freie und Hansestadt Federal Republic of Germany http://sws.geonames.org/2911298/",00001,,Gutachterausschuss für Grundstückswerte in Hamburg,,,,,,Eimsbüttel,Eimsbüttel Hamburg Federal Republic of Germany http://sws.geonames.org/2911293/,06238006,,127.82,,31.12.1988,,2,,,,20259,,DK5,,5000,,32563320,,5936162,,ETRS89_UTM32,,B,,1,,M,,MFH,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,oWE ohne Wohnungseigentum,,"          ;41;WR        ;ohne Eigentumswohnungen                                     ;        ;  127,82;  127,82;        ;        ;          ;    ;        ;          ;    ;        ;          ;    ;        ;          ;    ;        ;          ;    ;",,D147;Doormannsweg;16;;Fruchtallee 58;Eimsbüttel;33015;,,0,,uf0200001-Bodenrichtwert-Erlaeuterung1988.pdf,
020000000321,,Hamburg,"Hamburg Hamburg, Freie und Hansestadt Federal Republic of Germany http://sws.geonames.org/2911298/",00001,,Gutachterausschuss für Grundstückswerte in Hamburg,,,,,,Stellingen,Stellingen Hamburg Federal Republic of Germany http://sws.geonames.org/2827552/,06040054,,97.15,,31.12.1988,,2,,,,22527,,DK5,,5000,,32561293,,5939483,,ETRS89_UTM32,,B,,1,,M,,EFH,,eh,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"          ;11;WR I      ;(1-geschossig)                                              ;   97,15;        ;        ;        ;        ;          ;    ;        ;          ;    ;        ;          ;    ;        ;          ;    ;        ;          ;    ;",,W117;Wegenkamp;20;;Nordfriesländer Straße 13;Eimsbüttel;41001;,,0,,uf0200001-Bodenrichtwert-Erlaeuterung1988.pdf,
