Stadtteil,,Jahr,,übergegangene Schüler/-innen,
Wolfartsweier,http://sws.geonames.org/2806940/,2010,,30,
Grötzingen,http://sws.geonames.org/2914749/,2013,,64,
Neureut,http://sws.geonames.org/2864317/,2010,,147,
Rintheim,http://sws.geonames.org/2846518/,2016,,51,
Grünwinkel,http://sws.geonames.org/2914055/,2012,,57,
Nordweststadt,http://sws.geonames.org/8030343/,2016,,95,
Hohenwettersbach,http://sws.geonames.org/2901347/,2014,,48,
Innenstadt-West,,2012,,84,
Grünwettersbach,http://sws.geonames.org/2914057/,2016,,42,
Waldstadt,http://sws.geonames.org/3206753/,2013,,109,
