Stadtteil,,Jahr,,Schüler/-innen,
Oberreut,http://sws.geonames.org/8643497/,2012,,475,
Oststadt,http://sws.geonames.org/8030348/,2014,,,
Oststadt,http://sws.geonames.org/8030348/,2013,,,
Knielingen,http://sws.geonames.org/2887175/,2015,,,
Grünwinkel,http://sws.geonames.org/2914055/,2016,,,
Innenstadt-West,,2012,,411,
Daxlanden,http://sws.geonames.org/2938677/,2015,,,
Südweststadt,http://sws.geonames.org/8643498/,2014,,,
Stupferich,http://sws.geonames.org/2825359/,2016,,,
Stupferich,http://sws.geonames.org/2825359/,2015,,,
