Audkenni,,Borholunofn,,SVAEDISNAFN,,upphafsar,,Borun_fra,,Borun_til,,Verkkaupi,,Dypi,,HreppurOld,,HeitiHrepps,,HreppurNew,,HeitiNew,,TilgangurBorunar,,Landnumer,,Tegundborunar,,x,,y,,latTxt,,lonTxt,,GaediHnita,,eigandibors,,bornafn,,SkyrslaTil,,MyndTil,,MaxFDypi,,KronaMax,,KronaMin,,Stadarheiti,,idTilgangur,,EigandiHolu,
67309,,FV-49,,Fljótsdalsheiði,http://sws.geonames.org/2631714/,2001,,26.07.2001,,27.07.2001,,Landsvirkjun,,84.6,,7505,,Fljótsdalshreppur,http://sws.geonames.org/2631712/,7505,,Fljótsdalshreppur,http://sws.geonames.org/2631712/,Virkjanarannsóknir,,NULL,,Bora beina holu,,675990,,496129.1,,64°N  55.128',,15°W  16.697',,NULL,,Ræktunarsamband Flóa og Skeiða,,Litli-Landráður,,Já,,Nei,,3,,76,,76,,Fljótsdalsheiði: Við Axará,,R,,Ekki skráð,
5017,,R-17,,Laugarnes,http://sws.geonames.org/3414858/,1962,,31.10.1962,,07.02.1963,,Hitaveita Reykjavíkur,,633,,0,,Reykjavík,http://sws.geonames.org/3413829/,0,,Reykjavíkurborg,http://sws.geonames.org/3413831/,Heitavatnsöflun,,191982,,Bora beina holu,,359448.6,,407405.9,,64°N   8.437',,21°W  53.270',,2,,Jarðboranir hf. frá 1986,,Dofri Gufubor,,Nei,,Já,,95,,558.8,,558.8,,Laugarnes: Undraland 2,,H,,Ekki skráð,
65571,,VF-30,,Hróaldsstaðir,http://sws.geonames.org/2629925/,2002,,27.06.2002,,28.06.2002,,Vopnafjarðarhreppur,,51,,7502,,Vopnafjarðarhreppur,http://sws.geonames.org/2625192/,7502,,Vopnafjarðarhreppur,http://sws.geonames.org/2625192/,Hitastigulshola,,156490,,Bora beina holu,,686816.818,,595818.262,,65°N  48.314',,14°W  54.831',,NULL,,Jarðboranir hf.,,Hrímnir,,Já,,Nei,,6,,168.275,,139.7,,Hróaldsstaðir: Selárdalur,,T,,Ekki skráð,
89673,,BD-08A,,Sámsstaðir,http://sws.geonames.org/2627479/,1962,,17.07.1962,,19.07.1962,,Rafmagnsveitur ríkisins ? Orkudeild,,13.7,,8709,,Gnúpverjahreppur,http://sws.geonames.org/3416989/,8720,,Skeiða- og Gnúpverjahreppur,http://sws.geonames.org/3345276/,Virkjanarannsóknir,,NULL,,Bora beina holu,,462704.9,,401332,,64°N   6.774',,19°W  45.916',,NULL,,Jarðboranir ríkisins frá 1945.,,Sullivan 1,,Nei,,Nei,,NULL,,NULL,,NULL,,Sámsstaðir: Búrfell,,R,,Ekki skráð,
65984,,VAL-04,,Valþjófsstaður,http://sws.geonames.org/2625503/,NULL,,NULL,,NULL,,Landsvirkjun,,96,,7505,,Fljótsdalshreppur,http://sws.geonames.org/2631712/,7505,,Fljótsdalshreppur,http://sws.geonames.org/2631712/,Kaldavatnshola,,156972,,Bora beina holu,,687214.2,,506226.6,,65°N   0.185',,15°W   1.688',,2,,Alvarr hf.,,Blámi,,Nei,,Nei,,NULL,,NULL,,NULL,,Valþjófsstaður: ,,K,,Ekki skráð,
74191,,HN-01,,Selfoss,http://sws.geonames.org/3413607/,NULL,,NULL,,NULL,,NULL,,,,8705,,Selfosshreppur,http://sws.geonames.org/3413603/,8200,,Árborg,http://sws.geonames.org/3413604/,Rannsóknarhola,,161794,,Bora beina holu,,NULL,,NULL,,NULL,,NULL,,NULL,,Ræktunarsamband Flóa og Skeiða,,Litli-Landráður,,Nei,,Nei,,NULL,,NULL,,NULL,,Selfoss: Hnausar,,M,,Ekki skráð,
11343,,SK-04,,Straumsvík,http://sws.geonames.org/3412904/,1996,,10.02.1996,,11.02.1996,,Hafnarfjarðarhöfn,,28.2,,2100,,Hafnarfjörður,http://sws.geonames.org/3416707/,1400,,Hafnarfjarðarbær,,Mannvirkjagerð,,NULL,,Bora beina holu,,351665,,397335,,64°N   2.826',,22°W   2.256',,4,,Jarðboranir hf.,,Hrímnir,,Nei,,Nei,,NULL,,NULL,,NULL,,Straumsvík: Straumsvíkurhöfn,,Q,,Ekki skráð,
95850,,FH-00,,Fagrihvammur,http://sws.geonames.org/2631906/,NULL,,NULL,,NULL,,Ingimar Sigurðsson,,,,8716,,Hveragerði,http://sws.geonames.org/3415761/,8716,,Hveragerðisbær,http://sws.geonames.org/3415760/,Gufuöflun,,171617,,Bora beina holu,,393380,,390380,,64°N   0.012',,21°W  10.756',,4,,Ólafur L. Jóhannsson,,Snúningsbor,,Nei,,Já,,NULL,,NULL,,NULL,,Fagrihvammur: ,,G,,Ekki skráð,
82581,,ULO-81,,Skálmholt,http://sws.geonames.org/3413439/,NULL,,NULL,,NULL,,Landsvirkjun,,,,8707,,Villingaholtshreppur,http://sws.geonames.org/3412026/,8722,,Flóahreppur,http://sws.geonames.org/9192636/,Virkjanarannsóknir,,166375,,Bora beina holu,,424332,,385925,,63°N  58.106',,20°W  32.682',,2,,NULL,,NULL,,Nei,,Nei,,NULL,,NULL,,NULL,,Skálmholt: Flói,,R,,Ekki skráð,
31506,,GS-06,,Gufuskálar á Snæfellsnesi,,1988,,18.07.1988,,20.07.1988,,Orkustofnun Jarðhitadeild,,30,,3706,,Neshreppur utan Ennis,,3714,,Snæfellsbær,http://sws.geonames.org/3426209/,Leitarhola,,186624,,Bora beina holu,,267747,,499345,,64°N  54.788',,23°W  54.756',,NULL,,Jarðboranir hf. frá 1986,,Loki,,Já,,Nei,,NULL,,NULL,,NULL,,Gufuskálar á Snæfellsnesi: Prestahraun,,L,,Ekki skráð,
