Code département,,département,,circonscription,,élu premier tour,,Inscrits,,Votants,,Exprimés,,Blancs et nuls,,Parti communiste,,Parti Socialiste Unifié,,Section Française de l'Internationale Ouvrière,,Radicaux socialistes,,Radicaux centristes,,"Union pour la Nouvelle République, Union Pour le Travail ",,Divers gaullistes,,"Républicains Indépendants,Vème République",,"Mouvement Républicain Populaire, Vème République",,Mouvement Républicain Populaire,,Centre National des Indépendants,,Modérés,,Divers extrême droite,,Poujadiste,
53,,MAYENNE,http://sws.geonames.org/6454287/,3,,N,,48518,,37394,,36426,,968,,0,,0,,2892,,0,,0,,0,,0,,0,,15663,,0,,0,,17871,,0,,0,
40,,LANDES,http://sws.geonames.org/3007860/,1,,N,,54135,,40667,,39509,,1158,,0,,0,,21175,,0,,0,,18334,,0,,0,,0,,0,,0,,0,,0,,0,
75,,PARIS,http://sws.geonames.org/2988507/,3,,N,,62218,,40118,,39185,,933,,0,,13348,,0,,0,,0,,19597,,0,,0,,0,,0,,6240,,0,,0,,0,
67,,BAS-RHIN,,8,,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,COTES-D'ARMOR,http://sws.geonames.org/3023414/,4,,N,,62615,,50970,,50221,,749,,24105,,0,,0,,0,,0,,0,,0,,0,,26116,,0,,0,,0,,0,,0,
83,,VAR,http://sws.geonames.org/2970750/,3,,N,,70982,,40547,,37164,,3383,,14149,,0,,0,,0,,0,,23015,,0,,0,,0,,0,,0,,0,,0,,0,
75,,PARIS,http://sws.geonames.org/2988507/,28,,N,,47759,,31695,,30327,,1368,,14084,,0,,0,,0,,0,,16243,,0,,0,,0,,0,,0,,0,,0,,0,
67,,BAS-RHIN,,3,,N,,78983,,47810,,45856,,1954,,0,,0,,0,,0,,0,,26679,,0,,0,,0,,19177,,0,,0,,0,,0,
75,,PARIS,http://sws.geonames.org/2988507/,18,,N,,45894,,30975,,30391,,584,,6811,,0,,0,,0,,0,,16180,,0,,0,,0,,0,,7400,,0,,0,,0,
51,,MARNE,http://sws.geonames.org/2995605/,3,,N,,63223,,43856,,42103,,1753,,11448,,0,,0,,0,,0,,24497,,0,,0,,0,,6158,,0,,0,,0,,0,
