Code département,,Département,,Code canton,,Canton,,Inscrits,,Abstentions,,Votants,,taux de participation (%),,Blancs et nuls,,Exprimés,,NoDepot 01,,Nom 01,,Prenom 01,,Sexe 01,,Nuance 01,,Voix 01,,NoDepot 02,,Nom 02,,Prenom 02,,Sexe 02,,Nuance 02,,Voix 02,,NoDepot 03,,Nom 03,,Prenom 03,,Sexe 03,,Nuance 03,,Voix 03,,NoDepot 04,,Nom 04,,Prenom 04,,Sexe 04,,Nuance 04,,Voix 04,
23,,CREUSE,,1,,AHUN,Ahun Ahun Republic of France http://sws.geonames.org/3038562/,3623,,865,,2758,,"76,12",,166,,2592,,13,,TRUNDE,,Jean-claude,,M,,SOC,,1238,,44,,AUCLAIR,,Jean,,M,,UMP,,1354,,,,,,,,,,,,,,,,,,,,,,,,,
63,,PUY DE DOME,,30,,PONT-DU-CHÂTEAU,Pont-du-Château Pont-du-Château Republic of France http://sws.geonames.org/2986219/,15001,,4608,,10393,,"69,28",,639,,9754,,92,,BETENFELD,,Gérard,,M,,SOC,,6261,,50,,JELADE,,Alexis,,M,,UMP,,3493,,,,,,,,,,,,,,,,,,,,,,,,,
53,,MAYENNE,,17,,LAVAL-NORD-EST,,10263,,3244,,7019,,"68,39",,256,,6763,,32,,PEU,,NICOLE,,F,,SOC,,3421,,31,,RICHEFOU,,Olivier,,M,,UDF,,3342,,,,,,,,,,,,,,,,,,,,,,,,,
16,,CHARENTE,,14,,CONFOLENS-NORD,,3662,,811,,2851,,"77,85",,154,,2697,,112,,GERMANEAU,,GILBERT,,M,,SOC,,1270,,108,,DUTRIAT,,Jean-Louis,,M,,UMP,,1427,,,,,,,,,,,,,,,,,,,,,,,,,
21,,COTE D'OR,,15,,GEVREY-CHAMBERTIN,Gevrey-Chambertin Gevrey-Chambertin Republic of France http://sws.geonames.org/3016147/,10649,,3263,,7386,,"69,36",,375,,7011,,415,,ROBERT,,J.Claude,,M,,SOC,,4109,,145,,DAMY,,Pierre,,M,,DVD,,2902,,,,,,,,,,,,,,,,,,,,,,,,,
1,,AIN,,13,,FERNEY-VOLTAIRE,Ferney-Voltaire Arrondissement de Gex Republic of France http://sws.geonames.org/6615216/,14488,,6231,,8257,,"56,99",,369,,7888,,80,,BERTRAND,,HUBERT,,M,,RDG,,3744,,3,,BOCH,,Jocelyne,,F,,UMP,,4144,,,,,,,,,,,,,,,,,,,,,,,,,
91,,ESSONNE,,20,,MONTLHÉRY,Montlhéry Montlhéry Republic of France http://sws.geonames.org/2992309/,22258,,7251,,15007,,"67,42",,852,,14155,,40,,ANTONETTI,,DELPHINE,,F,,SOC,,6917,,19,,PELLETANT,,François,,M,,DVD,,7227,,61,,FRONTERA,,FRANCOIS,,M,,DVD,,11,,,,,,,,,,,,,
45,,LOIRET,,15,,JARGEAU,Jargeau Jargeau Republic of France http://sws.geonames.org/3012483/,12085,,3998,,8087,,"66,92",,500,,7587,,80,,GIBEY,,J.Marc,,M,,SOC,,3489,,75,,SORGNIARD,,Ivan,,M,,UMP,,4098,,,,,,,,,,,,,,,,,,,,,,,,,
74,,HAUTE SAVOIE,,34,,THONON-LES-BAINS-OUEST,,21829,,8818,,13011,,"59,6",,749,,12262,,80,,CONSTANTIN,,Georges,,M,,SOC,,5959,,109,,DENAIS,,Jean,,M,,DVD,,6303,,,,,,,,,,,,,,,,,,,,,,,,,
88,,VOSGES,,24,,SAINT-DIÉ-EST,,14143,,4591,,9552,,"67,54",,354,,9198,,81,,VINCENT,,Serge,,M,,SOC,,3838,,10,,BEDEL,,Roland,,M,,UMP,,4031,,28,,KUHN,,Georg,,M,,FN,,1329,,,,,,,,,,,,,
