Numéro de département,,Département,,Numéro de commune,,Nom de commune,,Inscrits,,Votants,,Exprimés,,Extrême gauche,,Parti communiste,,Gauche Plurielle,,Parti socialiste,,Divers gauche,,Verts,,Droite unie,,Divers droite,,Divers,,Front national,,Extrême droite,,Régionalistes,
56,,MORBIHAN,,178,,Pontivy,Pontivy Pontivy Republic of France http://sws.geonames.org/2986160/,9340,,5597,,5322,,215,,0,,2422,,0,,0,,210,,1763,,80,,0,,414,,0,,218,
92,,HAUTS DE SEINE,,73,,Suresnes,Suresnes Arrondissement de Nanterre Republic of France http://sws.geonames.org/6451982/,21450,,11975,,11657,,418,,0,,3877,,0,,0,,597,,3633,,0,,1563,,1569,,0,,0,
93,,SEINE SAINT-DENIS,,55,,Pantin,Pantin Arrondissement de Bobigny Republic of France http://sws.geonames.org/6452001/,19307,,10566,,10263,,867,,0,,4669,,0,,0,,330,,2138,,0,,410,,1849,,0,,0,
95,,VAL D'OISE,,199,,Domont,Domont Domont Republic of France http://sws.geonames.org/3021150/,9218,,5202,,5087,,180,,0,,1681,,0,,78,,319,,1510,,0,,90,,1002,,227,,0,
67,,BAS RHIN,,204,,Hoenheim,,7462,,3761,,3650,,111,,0,,867,,0,,0,,144,,1111,,234,,144,,858,,0,,181,
19,,CORREZE,,272,,Tulle,Tulle Tulle Republic of France http://sws.geonames.org/2971482/,10827,,6683,,6417,,0,,0,,3344,,0,,0,,125,,2114,,478,,0,,356,,0,,0,
92,,HAUTS DE SEINE,,19,,Châtenay-Malabry,Châtenay-Malabry Arrondissement d'Antony Republic of France http://sws.geonames.org/6613133/,17814,,9816,,9588,,423,,0,,3783,,0,,0,,558,,2959,,0,,726,,1139,,0,,0,
91,,ESSONNE,,386,,Mennecy,Mennecy Mennecy Republic of France http://sws.geonames.org/2994534/,8559,,4400,,4287,,226,,0,,1309,,0,,0,,236,,1330,,0,,416,,770,,0,,0,
92,,HAUTS DE SEINE,,75,,Vanves,Vanves Arrondissement d'Antony Republic of France http://sws.geonames.org/6613135/,15173,,9407,,9137,,336,,0,,3409,,0,,0,,451,,3070,,0,,882,,989,,0,,0,
56,,MORBIHAN,,260,,Vannes,Vannes Vannes Republic of France http://sws.geonames.org/2970777/,30745,,17292,,16884,,592,,0,,6215,,0,,0,,631,,6675,,289,,0,,1855,,0,,627,
