REGIONS,,FPH,,,,FPT,,,,Total,,,,,
POITOU-CHARENTES,Poitou-Charentes Republic of France Republic of France http://sws.geonames.org/2986492/,26 548,,26 340,,41 713,,42 014,,68 261,,68 354,,,
RHONE-ALPES,,89 223,,89 316,,131 941,,132 787,,221 164,,222 103,,,
NORD-PAS-DE-CALAIS,Nord-Pas-de-Calais Republic of France Republic of France http://sws.geonames.org/2990119/,58 405,,58 390,,88 436,,88 161,,146 841,,146 551,,,
REUNION,,6 866,,6 925,,12 976,,13 214,,19 842,,20 139,,,
BRETAGNE,Bretagne Département du Morbihan Republic of France http://sws.geonames.org/3030288/,48 315,,48 435,,69 363,,69 692,,117 678,,118 127,,,
LANGUEDOC-ROUSSILLON,Languedoc-Roussillon Département de l'Hérault Republic of France http://sws.geonames.org/3007669/,34 329,,34 025,,69 672,,70 085,,104 001,,104 110,,,
ILE-DE-FRANCE,,164 262,,163 612,,310 402,,309 053,,474 664,,472 665,,,
ST PIERRE ET MIQUELON,,159,,196,,275,,272,,434,,468,,,
AQUITAINE,Aquitaine Département du Lot-et-Garonne Republic of France http://sws.geonames.org/3037349/,45 487,,45 599,,79 111,,79 809,,124 598,,125 408,,,
GUADELOUPE,,4 938,,5 048,,11 880,,12 050,,16 818,,17 098,,,
