Etablissement,,Ville,,Code Etablissement,,Commune,,Secteur Public=1 Privé=2,,Effectif Présents Production,,Effectif Présents Services,,Effectif Présents Total secteurs,,Taux Brut de Réussite Production,,Taux Brut de Réussite Services,,Taux Brut de Réussite Total secteurs,,Taux Réussite Attendu/Acad Production,,Taux Réussite Attendu/Acad Services,,Taux Réussite Attendu/Acad Total secteurs,,Taux Réussite Attendu/France Production,,Taux Réussite Attendu/France Services,,Taux Réussite Attendu/France Total secteurs,,%Bachel/sort. 2de+1re+Term. Etab.,,%Bachel/sort. Terminales Etab.,,%Bachel/sort. 2de+1re+Term. Acad.,,%Bachel/sort. Terminales Acad.,,%Bachel/sort. 2de+1re+Term. France,,%Bachel/sort. Terminales France,,Effectif de seconde,,Effectif de première ,,Taux accès Brut seconde-BAC,,Taux accès Attendu/Acad seconde-BAC,,Taux accès Attendu/France seconde-BAC,,Taux accès Brut première-BAC,,Taux accès Attendu/Acad première-BAC,,Taux accès Attendu/France première-BAC,,Académie,,Département,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LYCEE PROFESSIONNEL FERDINAND FILLOD,,ST AMOUR,,0390914G,,39475,,PU,,15,, ,,15,,100,, ,,100,,90,, ,,90,,89,, ,,89,,68,,100,,66,,86,,64,,85,,25,,22,,64,,70,,67,,75,,84,,82,,BESANCON,,JURA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LYCEE PROFESSIONNEL LA SAGESSE,,VALENCIENNES,Valenciennes Valenciennes Republic of France http://sws.geonames.org/2971041/,0592967E,,59606,,PR,, ,,98,,98,, ,,90,,90,, ,,94,,94,, ,,91,,91,,75,,93,,59,,84,,64,,85,,117,,109,,70,,67,,71,,84,,80,,82,,LILLE,Lille Arrondissement de Lille Republic of France http://sws.geonames.org/6454414/,NORD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LYCEE L'ESSOURIAU (PROFESSIONNEL),,LES ULIS,Les Ulis Arrondissement de Palaiseau Republic of France http://sws.geonames.org/6455394/,0911492C,,91692,,PU,,55,,41,,96,,67,,76,,71,,76,,80,,78,,76,,81,,78,,62,,73,,64,,83,,64,,85,,114,,100,,61,,58,,56,,66,,72,,71,,VERSAILLES,Versailles Versailles Republic of France http://sws.geonames.org/2969679/,ESSONNE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LYCEE PROFESSIONNEL CAMILLE CLAUDEL,,FOURMIES,Fourmies Arrondissement d’Avesnes-sur-Helpe Republic of France http://sws.geonames.org/6438247/,0590083V,,59249,,PU,,66,,15,,81,,73,,93,,77,,75,,80,,76,,71,,80,,73,,47,,81,,59,,84,,64,,85,,101,,71,,40,,46,,49,,69,,66,,65,,LILLE,Lille Arrondissement de Lille Republic of France http://sws.geonames.org/6454414/,NORD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LYCEE PROFESSIONNEL BEAUPRE,,HAUBOURDIN,Haubourdin Arrondissement de Lille Republic of France http://sws.geonames.org/6454410/,0590093F,,59286,,PU,,21,,96,,117,,81,,93,,91,,77,,87,,85,,78,,86,,84,,62,,93,,59,,84,,64,,85,,131,,135,,55,,55,,60,,83,,74,,75,,LILLE,Lille Arrondissement de Lille Republic of France http://sws.geonames.org/6454414/,NORD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LYCEE PROFESSIONNEL SACRE COEUR,,PERONNE,Péronne-en-Mélantois Péronne-en-Mélantois Republic of France http://sws.geonames.org/2987926/,0801951L,,80620,,PR,,11,,10,,21,,100,,90,,95,,81,,83(1),,82,,89,,86,,88,,69,,100,,59,,81,,64,,85,,15,,11,,44,,44,,59,,88,,69,,74,,AMIENS,Amiens Arrondissement d’Amiens Republic of France http://sws.geonames.org/6455273/,SOMME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LYCEE PASTEUR (PROFESSIONNEL),,LE BLANC,Le Blanc Le Blanc Republic of France http://sws.geonames.org/3005270/,0360005K,,36018,,PU,,25,,12,,37,,72,,92,,78,,74,,85,,78,,81,,82,,82,,45,,76,,64,,84,,64,,85,,64,,65,,50,,55,,60,,64,,68,,73,,ORLEANS-TOURS,,INDRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LYCEE PROFESSIONNEL CARNOT,,ROANNE,Roanne Roanne Republic of France http://sws.geonames.org/2983362/,0420076E,,42187,,PU,,96,,21,,117,,74,,90,,77,,80,,92,,82,,81,,87,,82,,65,,84,,65,,86,,64,,85,,130,,124,,64,,61,,62,,74,,73,,75,,LYON,Lyon Arrondissement de Lyon Republic of France http://sws.geonames.org/6454573/,LOIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LYCEE JEAN PERRIN (PROFESSIONNEL),,MARSEILLE 10,Marseille 10 Marseille Republic of France http://sws.geonames.org/8285513/,0130053M,,13210,,PU,,38,, ,,38,,66,, ,,66,,78,, ,,78,,79,, ,,79,,57,,78,,64,,84,,64,,85,,43,,41,,52,,63,,58,,62,,74,,71,,AIX-MARSEILLE,,BOUCHES DU RHONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LYCEE PROFESSIONNEL ST VINCENT DE PAUL,,MARSEILLE 06,Marseille 06 Marseille Republic of France http://sws.geonames.org/7284887/,0132835L,,13206,,PR,, ,,40,,40,, ,,93,,93,, ,,85,,85,, ,,90,,90,,43,,88,,64,,84,,64,,85,,54,,46,,27,,58,,60,,49,,75,,78,,AIX-MARSEILLE,,BOUCHES DU RHONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
